2021-05-18 13:07:00,694 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='Subj', epoch=80, gpu=1, l2=0.001, lr=0.001, modelname='TextCNN', modelnum=0, resultnum=89, seed=2, use_aug=0)
2021-05-18 13:07:04,974 - classify.py[line:132] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 80, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.001, 'batch_size': 256, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 13:07:05,289 - classify.py[line:138] - INFO: before training: 0.522022008895874
2021-05-18 13:07:05,289 - classify.py[line:151] - INFO: ...start training...
2021-05-18 13:07:07,406 - classify.py[line:181] - INFO: Epoch 0, toal_loss 13.2803, aver loss 0.4150, train accuracy 0.8298, train auc 0.0000, test accuracy 0.8569, test auc 0.0000
2021-05-18 13:07:09,495 - classify.py[line:181] - INFO: Epoch 1, toal_loss 10.2191, aver loss 0.1597, train accuracy 0.8666, train auc 0.0000, test accuracy 0.8674, test auc 0.0000
2021-05-18 13:07:11,540 - classify.py[line:181] - INFO: Epoch 2, toal_loss 9.4430, aver loss 0.0984, train accuracy 0.8825, train auc 0.0000, test accuracy 0.8684, test auc 0.0000
2021-05-18 13:07:13,596 - classify.py[line:181] - INFO: Epoch 3, toal_loss 8.8889, aver loss 0.0694, train accuracy 0.8860, train auc 0.0000, test accuracy 0.8649, test auc 0.0000
2021-05-18 13:07:15,638 - classify.py[line:181] - INFO: Epoch 4, toal_loss 8.5273, aver loss 0.0533, train accuracy 0.8912, train auc 0.0000, test accuracy 0.8679, test auc 0.0000
2021-05-18 13:07:17,715 - classify.py[line:181] - INFO: Epoch 5, toal_loss 8.1282, aver loss 0.0423, train accuracy 0.8988, train auc 0.0000, test accuracy 0.8779, test auc 0.0000
2021-05-18 13:07:19,743 - classify.py[line:181] - INFO: Epoch 6, toal_loss 7.8651, aver loss 0.0351, train accuracy 0.9047, train auc 0.0000, test accuracy 0.8739, test auc 0.0000
2021-05-18 13:07:21,779 - classify.py[line:181] - INFO: Epoch 7, toal_loss 7.5456, aver loss 0.0295, train accuracy 0.9067, train auc 0.0000, test accuracy 0.8839, test auc 0.0000
2021-05-18 13:07:23,785 - classify.py[line:181] - INFO: Epoch 8, toal_loss 7.2590, aver loss 0.0252, train accuracy 0.9081, train auc 0.0000, test accuracy 0.8794, test auc 0.0000
2021-05-18 13:07:25,876 - classify.py[line:181] - INFO: Epoch 9, toal_loss 7.2609, aver loss 0.0227, train accuracy 0.9111, train auc 0.0000, test accuracy 0.8734, test auc 0.0000
2021-05-18 13:07:28,003 - classify.py[line:181] - INFO: Epoch 10, toal_loss 6.9675, aver loss 0.0198, train accuracy 0.9133, train auc 0.0000, test accuracy 0.8834, test auc 0.0000
2021-05-18 13:07:30,119 - classify.py[line:181] - INFO: Epoch 11, toal_loss 6.6800, aver loss 0.0174, train accuracy 0.9188, train auc 0.0000, test accuracy 0.8784, test auc 0.0000
2021-05-18 13:07:32,189 - classify.py[line:181] - INFO: Epoch 12, toal_loss 6.6448, aver loss 0.0160, train accuracy 0.9193, train auc 0.0000, test accuracy 0.8814, test auc 0.0000
2021-05-18 13:07:34,275 - classify.py[line:181] - INFO: Epoch 13, toal_loss 6.4447, aver loss 0.0144, train accuracy 0.9214, train auc 0.0000, test accuracy 0.8769, test auc 0.0000
2021-05-18 13:07:36,326 - classify.py[line:181] - INFO: Epoch 14, toal_loss 6.2614, aver loss 0.0130, train accuracy 0.9257, train auc 0.0000, test accuracy 0.8769, test auc 0.0000
