2021-05-18 13:09:49,863 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='Subj', epoch=80, gpu=1, l2=0.001, lr=0.001, modelname='TextCNN', modelnum=0, resultnum=89, seed=2, use_aug=1)
2021-05-18 13:09:54,130 - classify.py[line:120] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.0001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 5, 'poSampleNum': 1, 'max_bound': 1.0, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 13:09:54,434 - classify.py[line:138] - INFO: before training: 0.8453453183174133
2021-05-18 13:09:54,434 - classify.py[line:151] - INFO: ...start training...
2021-05-18 13:09:56,531 - classify.py[line:181] - INFO: Epoch 0, toal_loss 10.8585, aver loss 0.3393, train accuracy 0.8732, train auc 0.0000, test accuracy 0.8614, test auc 0.0000
2021-05-18 13:09:58,551 - classify.py[line:181] - INFO: Epoch 1, toal_loss 9.1604, aver loss 0.1431, train accuracy 0.8809, train auc 0.0000, test accuracy 0.8674, test auc 0.0000
2021-05-18 13:10:00,588 - classify.py[line:181] - INFO: Epoch 2, toal_loss 8.8657, aver loss 0.0924, train accuracy 0.8902, train auc 0.0000, test accuracy 0.8689, test auc 0.0000
2021-05-18 13:10:02,615 - classify.py[line:181] - INFO: Epoch 3, toal_loss 8.4558, aver loss 0.0661, train accuracy 0.8955, train auc 0.0000, test accuracy 0.8739, test auc 0.0000
2021-05-18 13:10:04,640 - classify.py[line:181] - INFO: Epoch 4, toal_loss 8.1220, aver loss 0.0508, train accuracy 0.9015, train auc 0.0000, test accuracy 0.8754, test auc 0.0000
2021-05-18 13:10:06,661 - classify.py[line:181] - INFO: Epoch 5, toal_loss 7.8685, aver loss 0.0410, train accuracy 0.9049, train auc 0.0000, test accuracy 0.8684, test auc 0.0000
2021-05-18 13:10:08,689 - classify.py[line:181] - INFO: Epoch 6, toal_loss 7.7075, aver loss 0.0344, train accuracy 0.9067, train auc 0.0000, test accuracy 0.8694, test auc 0.0000
2021-05-18 13:10:10,744 - classify.py[line:181] - INFO: Epoch 7, toal_loss 7.3841, aver loss 0.0288, train accuracy 0.9094, train auc 0.0000, test accuracy 0.8729, test auc 0.0000
2021-05-18 13:10:12,795 - classify.py[line:181] - INFO: Epoch 8, toal_loss 7.1707, aver loss 0.0249, train accuracy 0.9119, train auc 0.0000, test accuracy 0.8754, test auc 0.0000
2021-05-18 13:10:14,812 - classify.py[line:181] - INFO: Epoch 9, toal_loss 7.0907, aver loss 0.0222, train accuracy 0.9169, train auc 0.0000, test accuracy 0.8764, test auc 0.0000
2021-05-18 13:10:16,827 - classify.py[line:181] - INFO: Epoch 10, toal_loss 7.0934, aver loss 0.0202, train accuracy 0.9171, train auc 0.0000, test accuracy 0.8749, test auc 0.0000
2021-05-18 13:10:18,855 - classify.py[line:181] - INFO: Epoch 11, toal_loss 6.7336, aver loss 0.0175, train accuracy 0.9177, train auc 0.0000, test accuracy 0.8749, test auc 0.0000
2021-05-18 13:10:20,804 - classify.py[line:181] - INFO: Epoch 12, toal_loss 6.5555, aver loss 0.0158, train accuracy 0.9194, train auc 0.0000, test accuracy 0.8724, test auc 0.0000
2021-05-18 13:10:22,750 - classify.py[line:181] - INFO: Epoch 13, toal_loss 6.4783, aver loss 0.0145, train accuracy 0.9214, train auc 0.0000, test accuracy 0.8779, test auc 0.0000
2021-05-18 13:10:24,796 - classify.py[line:181] - INFO: Epoch 14, toal_loss 6.4485, aver loss 0.0134, train accuracy 0.9253, train auc 0.0000, test accuracy 0.8749, test auc 0.0000
2021-05-18 13:10:26,822 - classify.py[line:181] - INFO: Epoch 15, toal_loss 6.3252, aver loss 0.0124, train accuracy 0.9265, train auc 0.0000, test accuracy 0.8784, test auc 0.0000
2021-05-18 13:10:28,851 - classify.py[line:181] - INFO: Epoch 16, toal_loss 6.2648, aver loss 0.0115, train accuracy 0.9261, train auc 0.0000, test accuracy 0.8759, test auc 0.0000
2021-05-18 13:10:30,826 - classify.py[line:181] - INFO: Epoch 17, toal_loss 6.1290, aver loss 0.0106, train accuracy 0.9274, train auc 0.0000, test accuracy 0.8739, test auc 0.0000
2021-05-18 13:10:32,798 - classify.py[line:181] - INFO: Epoch 18, toal_loss 5.9164, aver loss 0.0097, train accuracy 0.9277, train auc 0.0000, test accuracy 0.8754, test auc 0.0000
2021-05-18 13:10:34,721 - classify.py[line:181] - INFO: Epoch 19, toal_loss 5.9097, aver loss 0.0092, train accuracy 0.9323, train auc 0.0000, test accuracy 0.8794, test auc 0.0000
2021-05-18 13:10:36,755 - classify.py[line:181] - INFO: Epoch 20, toal_loss 5.8839, aver loss 0.0088, train accuracy 0.9288, train auc 0.0000, test accuracy 0.8724, test auc 0.0000
2021-05-18 13:10:38,773 - classify.py[line:181] - INFO: Epoch 21, toal_loss 5.6898, aver loss 0.0081, train accuracy 0.9326, train auc 0.0000, test accuracy 0.8734, test auc 0.0000
2021-05-18 13:10:40,849 - classify.py[line:181] - INFO: Epoch 22, toal_loss 5.8450, aver loss 0.0079, train accuracy 0.9333, train auc 0.0000, test accuracy 0.8789, test auc 0.0000
