2021-05-18 13:29:33,455 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='TREC', epoch=80, gpu=1, l2=0.001, lr=0.0001, modelname='TextCNN', modelnum=0, resultnum=90, seed=2, use_aug=0)
2021-05-18 13:29:36,761 - classify.py[line:132] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 80, 'dropout': 0.1, 'label_num': 6, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 256, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 13:29:37,040 - classify.py[line:138] - INFO: before training: 0.1680000126361847
2021-05-18 13:29:37,040 - classify.py[line:151] - INFO: ...start training...
2021-05-18 13:29:37,714 - classify.py[line:181] - INFO: Epoch 0, toal_loss 37.8645, aver loss 1.7211, train accuracy 0.2404, train auc 0.0000, test accuracy 0.3420, test auc 0.0000
2021-05-18 13:29:38,406 - classify.py[line:181] - INFO: Epoch 1, toal_loss 35.3608, aver loss 0.8037, train accuracy 0.3286, train auc 0.0000, test accuracy 0.3880, test auc 0.0000
2021-05-18 13:29:39,094 - classify.py[line:181] - INFO: Epoch 2, toal_loss 33.5144, aver loss 0.5078, train accuracy 0.3891, train auc 0.0000, test accuracy 0.4940, test auc 0.0000
2021-05-18 13:29:39,817 - classify.py[line:181] - INFO: Epoch 3, toal_loss 32.1729, aver loss 0.3656, train accuracy 0.4331, train auc 0.0000, test accuracy 0.5100, test auc 0.0000
2021-05-18 13:29:40,673 - classify.py[line:181] - INFO: Epoch 4, toal_loss 30.8126, aver loss 0.2801, train accuracy 0.4812, train auc 0.0000, test accuracy 0.5320, test auc 0.0000
2021-05-18 13:29:41,474 - classify.py[line:181] - INFO: Epoch 5, toal_loss 29.8822, aver loss 0.2264, train accuracy 0.5117, train auc 0.0000, test accuracy 0.5380, test auc 0.0000
2021-05-18 13:29:42,216 - classify.py[line:181] - INFO: Epoch 6, toal_loss 28.9680, aver loss 0.1881, train accuracy 0.5236, train auc 0.0000, test accuracy 0.5240, test auc 0.0000
2021-05-18 13:29:42,907 - classify.py[line:181] - INFO: Epoch 7, toal_loss 28.1066, aver loss 0.1597, train accuracy 0.5378, train auc 0.0000, test accuracy 0.5400, test auc 0.0000
2021-05-18 13:29:43,611 - classify.py[line:181] - INFO: Epoch 8, toal_loss 27.3503, aver loss 0.1381, train accuracy 0.5354, train auc 0.0000, test accuracy 0.5760, test auc 0.0000
2021-05-18 13:29:44,313 - classify.py[line:181] - INFO: Epoch 9, toal_loss 26.7698, aver loss 0.1217, train accuracy 0.5415, train auc 0.0000, test accuracy 0.5600, test auc 0.0000
2021-05-18 13:29:45,011 - classify.py[line:181] - INFO: Epoch 10, toal_loss 26.1733, aver loss 0.1082, train accuracy 0.5521, train auc 0.0000, test accuracy 0.5920, test auc 0.0000
