2021-05-18 13:30:33,551 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='TREC', epoch=80, gpu=1, l2=0.001, lr=0.0001, modelname='TextCNN', modelnum=0, resultnum=90, seed=2, use_aug=1)
2021-05-18 13:30:36,905 - classify.py[line:120] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 6, 'learning_rate1': 0.0001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 5, 'poSampleNum': 1, 'max_bound': 1.0, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 13:30:37,177 - classify.py[line:138] - INFO: before training: 0.2600000202655792
2021-05-18 13:30:37,178 - classify.py[line:151] - INFO: ...start training...
2021-05-18 13:30:37,856 - classify.py[line:181] - INFO: Epoch 0, toal_loss 114.0201, aver loss 5.1827, train accuracy 0.2848, train auc 0.0000, test accuracy 0.2580, test auc 0.0000
2021-05-18 13:30:38,554 - classify.py[line:181] - INFO: Epoch 1, toal_loss 100.5439, aver loss 2.2851, train accuracy 0.2966, train auc 0.0000, test accuracy 0.2640, test auc 0.0000
2021-05-18 13:30:39,287 - classify.py[line:181] - INFO: Epoch 2, toal_loss 88.7653, aver loss 1.3449, train accuracy 0.3080, train auc 0.0000, test accuracy 0.2780, test auc 0.0000
2021-05-18 13:30:39,964 - classify.py[line:181] - INFO: Epoch 3, toal_loss 76.9226, aver loss 0.8741, train accuracy 0.3116, train auc 0.0000, test accuracy 0.2740, test auc 0.0000
2021-05-18 13:30:40,604 - classify.py[line:181] - INFO: Epoch 4, toal_loss 67.2366, aver loss 0.6112, train accuracy 0.3248, train auc 0.0000, test accuracy 0.2820, test auc 0.0000
2021-05-18 13:30:41,309 - classify.py[line:181] - INFO: Epoch 5, toal_loss 57.9400, aver loss 0.4389, train accuracy 0.3192, train auc 0.0000, test accuracy 0.2800, test auc 0.0000
2021-05-18 13:30:41,985 - classify.py[line:181] - INFO: Epoch 6, toal_loss 49.9882, aver loss 0.3246, train accuracy 0.3327, train auc 0.0000, test accuracy 0.2840, test auc 0.0000
2021-05-18 13:30:42,653 - classify.py[line:181] - INFO: Epoch 7, toal_loss 43.6786, aver loss 0.2482, train accuracy 0.3439, train auc 0.0000, test accuracy 0.2820, test auc 0.0000
2021-05-18 13:30:43,323 - classify.py[line:181] - INFO: Epoch 8, toal_loss 38.6801, aver loss 0.1954, train accuracy 0.3587, train auc 0.0000, test accuracy 0.3000, test auc 0.0000
2021-05-18 13:30:43,991 - classify.py[line:181] - INFO: Epoch 9, toal_loss 35.4785, aver loss 0.1613, train accuracy 0.3844, train auc 0.0000, test accuracy 0.3000, test auc 0.0000
2021-05-18 13:30:44,711 - classify.py[line:181] - INFO: Epoch 10, toal_loss 33.4534, aver loss 0.1382, train accuracy 0.4163, train auc 0.0000, test accuracy 0.3480, test auc 0.0000
