2021-05-18 13:40:00,661 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='TREC', epoch=80, gpu=1, l2=0.001, lr=0.001, modelname='TextCNN', modelnum=0, resultnum=91, seed=2, use_aug=0)
2021-05-18 13:40:04,712 - classify.py[line:132] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 80, 'dropout': 0.1, 'label_num': 6, 'learning_rate1': 1e-05, 'learning_rate2': 0.001, 'batch_size': 256, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 13:40:05,095 - classify.py[line:138] - INFO: before training: 0.164000004529953
2021-05-18 13:40:05,095 - classify.py[line:151] - INFO: ...start training...
2021-05-18 13:40:05,813 - classify.py[line:181] - INFO: Epoch 0, toal_loss 33.3877, aver loss 1.5176, train accuracy 0.4040, train auc 0.0000, test accuracy 0.5700, test auc 0.0000
2021-05-18 13:40:06,512 - classify.py[line:181] - INFO: Epoch 1, toal_loss 26.7960, aver loss 0.6090, train accuracy 0.5555, train auc 0.0000, test accuracy 0.6700, test auc 0.0000
2021-05-18 13:40:07,138 - classify.py[line:181] - INFO: Epoch 2, toal_loss 23.7886, aver loss 0.3604, train accuracy 0.6013, train auc 0.0000, test accuracy 0.6600, test auc 0.0000
2021-05-18 13:40:07,810 - classify.py[line:181] - INFO: Epoch 3, toal_loss 22.2437, aver loss 0.2528, train accuracy 0.6227, train auc 0.0000, test accuracy 0.6860, test auc 0.0000
2021-05-18 13:40:08,467 - classify.py[line:181] - INFO: Epoch 4, toal_loss 21.0713, aver loss 0.1916, train accuracy 0.6396, train auc 0.0000, test accuracy 0.6940, test auc 0.0000
2021-05-18 13:40:09,150 - classify.py[line:181] - INFO: Epoch 5, toal_loss 20.2412, aver loss 0.1533, train accuracy 0.6470, train auc 0.0000, test accuracy 0.6940, test auc 0.0000
2021-05-18 13:40:09,824 - classify.py[line:181] - INFO: Epoch 6, toal_loss 19.7962, aver loss 0.1285, train accuracy 0.6564, train auc 0.0000, test accuracy 0.6820, test auc 0.0000
2021-05-18 13:40:10,510 - classify.py[line:181] - INFO: Epoch 7, toal_loss 19.4960, aver loss 0.1108, train accuracy 0.6589, train auc 0.0000, test accuracy 0.6820, test auc 0.0000
2021-05-18 13:40:11,171 - classify.py[line:181] - INFO: Epoch 8, toal_loss 18.7947, aver loss 0.0949, train accuracy 0.6746, train auc 0.0000, test accuracy 0.7100, test auc 0.0000
2021-05-18 13:40:11,833 - classify.py[line:181] - INFO: Epoch 9, toal_loss 18.7469, aver loss 0.0852, train accuracy 0.6704, train auc 0.0000, test accuracy 0.7120, test auc 0.0000
2021-05-18 13:40:12,555 - classify.py[line:181] - INFO: Epoch 10, toal_loss 18.3546, aver loss 0.0758, train accuracy 0.6692, train auc 0.0000, test accuracy 0.7220, test auc 0.0000
2021-05-18 13:40:13,184 - classify.py[line:181] - INFO: Epoch 11, toal_loss 18.3846, aver loss 0.0696, train accuracy 0.6786, train auc 0.0000, test accuracy 0.7380, test auc 0.0000
2021-05-18 13:40:13,875 - classify.py[line:181] - INFO: Epoch 12, toal_loss 18.0368, aver loss 0.0631, train accuracy 0.6803, train auc 0.0000, test accuracy 0.7220, test auc 0.0000
2021-05-18 13:40:14,582 - classify.py[line:181] - INFO: Epoch 13, toal_loss 17.9633, aver loss 0.0583, train accuracy 0.6843, train auc 0.0000, test accuracy 0.7280, test auc 0.0000
2021-05-18 13:40:15,256 - classify.py[line:181] - INFO: Epoch 14, toal_loss 17.8798, aver loss 0.0542, train accuracy 0.6877, train auc 0.0000, test accuracy 0.7260, test auc 0.0000
2021-05-18 13:40:15,974 - classify.py[line:181] - INFO: Epoch 15, toal_loss 17.6799, aver loss 0.0502, train accuracy 0.6885, train auc 0.0000, test accuracy 0.7380, test auc 0.0000
2021-05-18 13:40:16,617 - classify.py[line:181] - INFO: Epoch 16, toal_loss 17.6021, aver loss 0.0471, train accuracy 0.6899, train auc 0.0000, test accuracy 0.7300, test auc 0.0000
2021-05-18 13:40:17,265 - classify.py[line:181] - INFO: Epoch 17, toal_loss 17.4266, aver loss 0.0440, train accuracy 0.6929, train auc 0.0000, test accuracy 0.7280, test auc 0.0000
2021-05-18 13:40:17,954 - classify.py[line:181] - INFO: Epoch 18, toal_loss 17.3904, aver loss 0.0416, train accuracy 0.6906, train auc 0.0000, test accuracy 0.7220, test auc 0.0000
2021-05-18 13:40:18,625 - classify.py[line:181] - INFO: Epoch 19, toal_loss 17.3254, aver loss 0.0394, train accuracy 0.6919, train auc 0.0000, test accuracy 0.7480, test auc 0.0000
2021-05-18 13:40:19,291 - classify.py[line:181] - INFO: Epoch 20, toal_loss 17.2126, aver loss 0.0373, train accuracy 0.6998, train auc 0.0000, test accuracy 0.7600, test auc 0.0000
2021-05-18 13:40:19,962 - classify.py[line:181] - INFO: Epoch 21, toal_loss 16.9735, aver loss 0.0351, train accuracy 0.6962, train auc 0.0000, test accuracy 0.7540, test auc 0.0000
2021-05-18 13:40:20,685 - classify.py[line:181] - INFO: Epoch 22, toal_loss 16.9590, aver loss 0.0335, train accuracy 0.6966, train auc 0.0000, test accuracy 0.7480, test auc 0.0000
2021-05-18 13:40:21,372 - classify.py[line:181] - INFO: Epoch 23, toal_loss 16.8456, aver loss 0.0319, train accuracy 0.7099, train auc 0.0000, test accuracy 0.7760, test auc 0.0000
2021-05-18 13:40:22,044 - classify.py[line:181] - INFO: Epoch 24, toal_loss 16.7679, aver loss 0.0305, train accuracy 0.7000, train auc 0.0000, test accuracy 0.7500, test auc 0.0000
2021-05-18 13:40:22,734 - classify.py[line:181] - INFO: Epoch 25, toal_loss 16.5767, aver loss 0.0290, train accuracy 0.7048, train auc 0.0000, test accuracy 0.7480, test auc 0.0000
2021-05-18 13:40:23,388 - classify.py[line:181] - INFO: Epoch 26, toal_loss 16.5113, aver loss 0.0278, train accuracy 0.7034, train auc 0.0000, test accuracy 0.7640, test auc 0.0000
2021-05-18 13:40:24,095 - classify.py[line:181] - INFO: Epoch 27, toal_loss 16.3080, aver loss 0.0265, train accuracy 0.7014, train auc 0.0000, test accuracy 0.7480, test auc 0.0000
