2021-05-18 13:42:03,155 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='TREC', epoch=80, gpu=1, l2=0.001, lr=0.001, modelname='TextCNN', modelnum=0, resultnum=91, seed=2, use_aug=1)
2021-05-18 13:42:10,863 - classify.py[line:120] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 6, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 4, 'poSampleNum': 1, 'max_bound': 0.1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 13:42:11,515 - classify.py[line:138] - INFO: before training: 0.22600001096725464
2021-05-18 13:42:11,515 - classify.py[line:151] - INFO: ...start training...
2021-05-18 13:42:13,946 - classify.py[line:181] - INFO: Epoch 0, toal_loss 36.3562, aver loss 1.6526, train accuracy 0.2776, train auc 0.0000, test accuracy 0.3440, test auc 0.0000
2021-05-18 13:42:16,219 - classify.py[line:181] - INFO: Epoch 1, toal_loss 29.2334, aver loss 0.6644, train accuracy 0.4312, train auc 0.0000, test accuracy 0.4740, test auc 0.0000
2021-05-18 13:42:18,543 - classify.py[line:181] - INFO: Epoch 2, toal_loss 26.2764, aver loss 0.3981, train accuracy 0.5314, train auc 0.0000, test accuracy 0.5180, test auc 0.0000
2021-05-18 13:42:20,034 - classify.py[line:181] - INFO: Epoch 3, toal_loss 24.2776, aver loss 0.2759, train accuracy 0.5680, train auc 0.0000, test accuracy 0.6080, test auc 0.0000
2021-05-18 13:42:21,981 - classify.py[line:181] - INFO: Epoch 4, toal_loss 23.1091, aver loss 0.2101, train accuracy 0.6083, train auc 0.0000, test accuracy 0.6380, test auc 0.0000
2021-05-18 13:42:24,026 - classify.py[line:181] - INFO: Epoch 5, toal_loss 21.9544, aver loss 0.1663, train accuracy 0.6214, train auc 0.0000, test accuracy 0.6860, test auc 0.0000
2021-05-18 13:42:26,207 - classify.py[line:181] - INFO: Epoch 6, toal_loss 21.2661, aver loss 0.1381, train accuracy 0.6291, train auc 0.0000, test accuracy 0.6500, test auc 0.0000
2021-05-18 13:42:28,342 - classify.py[line:181] - INFO: Epoch 7, toal_loss 20.7134, aver loss 0.1177, train accuracy 0.6228, train auc 0.0000, test accuracy 0.6840, test auc 0.0000
2021-05-18 13:42:30,513 - classify.py[line:181] - INFO: Epoch 8, toal_loss 20.2509, aver loss 0.1023, train accuracy 0.6446, train auc 0.0000, test accuracy 0.6800, test auc 0.0000
2021-05-18 13:42:32,690 - classify.py[line:181] - INFO: Epoch 9, toal_loss 19.9669, aver loss 0.0908, train accuracy 0.6372, train auc 0.0000, test accuracy 0.6820, test auc 0.0000
2021-05-18 13:42:34,958 - classify.py[line:181] - INFO: Epoch 10, toal_loss 19.6883, aver loss 0.0814, train accuracy 0.6503, train auc 0.0000, test accuracy 0.6860, test auc 0.0000
