2021-05-18 15:09:16,752 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='PC', epoch=80, gpu=1, l2=0.001, lr=0.001, modelname='TextCNN', modelnum=0, resultnum=92, seed=2, use_aug=0)
2021-05-18 15:09:26,497 - classify.py[line:132] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 80, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.001, 'batch_size': 256, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 15:09:27,179 - classify.py[line:138] - INFO: before training: 0.4594564139842987
2021-05-18 15:09:27,180 - classify.py[line:152] - INFO: ...start training...
2021-05-18 15:09:39,031 - classify.py[line:182] - INFO: Epoch 0, toal_loss 36.3817, aver loss 0.2580, train accuracy 0.8991, train auc 0.0000, test accuracy 0.8462, test auc 0.0000
2021-05-18 15:09:50,012 - classify.py[line:182] - INFO: Epoch 1, toal_loss 28.3974, aver loss 0.1007, train accuracy 0.9224, train auc 0.0000, test accuracy 0.8465, test auc 0.0000
2021-05-18 15:10:02,901 - classify.py[line:182] - INFO: Epoch 2, toal_loss 26.4096, aver loss 0.0624, train accuracy 0.9271, train auc 0.0000, test accuracy 0.8484, test auc 0.0000
2021-05-18 15:10:14,374 - classify.py[line:182] - INFO: Epoch 3, toal_loss 25.2270, aver loss 0.0447, train accuracy 0.9310, train auc 0.0000, test accuracy 0.8449, test auc 0.0000
2021-05-18 15:10:25,730 - classify.py[line:182] - INFO: Epoch 4, toal_loss 24.3916, aver loss 0.0346, train accuracy 0.9339, train auc 0.0000, test accuracy 0.8418, test auc 0.0000
2021-05-18 15:10:37,573 - classify.py[line:182] - INFO: Epoch 5, toal_loss 23.8303, aver loss 0.0282, train accuracy 0.9356, train auc 0.0000, test accuracy 0.8444, test auc 0.0000
2021-05-18 15:10:49,086 - classify.py[line:182] - INFO: Epoch 6, toal_loss 22.9164, aver loss 0.0232, train accuracy 0.9362, train auc 0.0000, test accuracy 0.8452, test auc 0.0000
2021-05-18 15:11:00,391 - classify.py[line:182] - INFO: Epoch 7, toal_loss 22.7384, aver loss 0.0202, train accuracy 0.9394, train auc 0.0000, test accuracy 0.8434, test auc 0.0000
2021-05-18 15:11:11,944 - classify.py[line:182] - INFO: Epoch 8, toal_loss 22.2863, aver loss 0.0176, train accuracy 0.9396, train auc 0.0000, test accuracy 0.8450, test auc 0.0000
2021-05-18 15:11:24,565 - classify.py[line:182] - INFO: Epoch 9, toal_loss 21.9214, aver loss 0.0155, train accuracy 0.9423, train auc 0.0000, test accuracy 0.8459, test auc 0.0000
2021-05-18 15:11:28,770 - classify.py[line:182] - INFO: Epoch 10, toal_loss 21.4484, aver loss 0.0138, train accuracy 0.9421, train auc 0.0000, test accuracy 0.8446, test auc 0.0000
2021-05-18 15:11:32,881 - classify.py[line:182] - INFO: Epoch 11, toal_loss 21.3276, aver loss 0.0126, train accuracy 0.9438, train auc 0.0000, test accuracy 0.8446, test auc 0.0000
2021-05-18 15:11:36,857 - classify.py[line:182] - INFO: Epoch 12, toal_loss 21.0159, aver loss 0.0115, train accuracy 0.9429, train auc 0.0000, test accuracy 0.8453, test auc 0.0000
2021-05-18 15:11:41,098 - classify.py[line:182] - INFO: Epoch 13, toal_loss 20.6087, aver loss 0.0104, train accuracy 0.9458, train auc 0.0000, test accuracy 0.8443, test auc 0.0000
2021-05-18 15:11:45,224 - classify.py[line:182] - INFO: Epoch 14, toal_loss 20.5118, aver loss 0.0097, train accuracy 0.9455, train auc 0.0000, test accuracy 0.8446, test auc 0.0000
2021-05-18 15:11:49,576 - classify.py[line:182] - INFO: Epoch 15, toal_loss 20.1629, aver loss 0.0089, train accuracy 0.9463, train auc 0.0000, test accuracy 0.8410, test auc 0.0000
2021-05-18 15:11:53,974 - classify.py[line:182] - INFO: Epoch 16, toal_loss 19.8903, aver loss 0.0083, train accuracy 0.9465, train auc 0.0000, test accuracy 0.8420, test auc 0.0000
2021-05-18 15:11:58,180 - classify.py[line:182] - INFO: Epoch 17, toal_loss 20.0352, aver loss 0.0079, train accuracy 0.9471, train auc 0.0000, test accuracy 0.8414, test auc 0.0000
2021-05-18 15:12:02,306 - classify.py[line:182] - INFO: Epoch 18, toal_loss 19.6491, aver loss 0.0073, train accuracy 0.9472, train auc 0.0000, test accuracy 0.8403, test auc 0.0000
2021-05-18 15:12:06,345 - classify.py[line:182] - INFO: Epoch 19, toal_loss 19.4157, aver loss 0.0069, train accuracy 0.9478, train auc 0.0000, test accuracy 0.8421, test auc 0.0000
2021-05-18 15:12:15,845 - classify.py[line:182] - INFO: Epoch 20, toal_loss 19.4348, aver loss 0.0066, train accuracy 0.9483, train auc 0.0000, test accuracy 0.8403, test auc 0.0000
2021-05-18 15:12:27,469 - classify.py[line:182] - INFO: Epoch 21, toal_loss 19.2587, aver loss 0.0062, train accuracy 0.9496, train auc 0.0000, test accuracy 0.8408, test auc 0.0000
2021-05-18 15:12:38,899 - classify.py[line:182] - INFO: Epoch 22, toal_loss 19.0305, aver loss 0.0059, train accuracy 0.9496, train auc 0.0000, test accuracy 0.8378, test auc 0.0000
2021-05-18 15:12:50,708 - classify.py[line:182] - INFO: Epoch 23, toal_loss 18.8782, aver loss 0.0056, train accuracy 0.9507, train auc 0.0000, test accuracy 0.8422, test auc 0.0000
2021-05-18 15:13:02,172 - classify.py[line:182] - INFO: Epoch 24, toal_loss 18.6094, aver loss 0.0053, train accuracy 0.9503, train auc 0.0000, test accuracy 0.8401, test auc 0.0000
2021-05-18 15:13:13,541 - classify.py[line:182] - INFO: Epoch 25, toal_loss 18.4948, aver loss 0.0050, train accuracy 0.9497, train auc 0.0000, test accuracy 0.8420, test auc 0.0000
2021-05-18 15:13:25,726 - classify.py[line:182] - INFO: Epoch 26, toal_loss 18.5857, aver loss 0.0049, train accuracy 0.9503, train auc 0.0000, test accuracy 0.8392, test auc 0.0000
2021-05-18 15:13:36,902 - classify.py[line:182] - INFO: Epoch 27, toal_loss 18.3771, aver loss 0.0047, train accuracy 0.9510, train auc 0.0000, test accuracy 0.8411, test auc 0.0000
2021-05-18 15:13:49,051 - classify.py[line:182] - INFO: Epoch 28, toal_loss 18.3054, aver loss 0.0045, train accuracy 0.9506, train auc 0.0000, test accuracy 0.8360, test auc 0.0000
2021-05-18 15:14:00,772 - classify.py[line:182] - INFO: Epoch 29, toal_loss 18.5957, aver loss 0.0044, train accuracy 0.9514, train auc 0.0000, test accuracy 0.8387, test auc 0.0000
2021-05-18 15:14:12,985 - classify.py[line:182] - INFO: Epoch 30, toal_loss 17.9605, aver loss 0.0041, train accuracy 0.9512, train auc 0.0000, test accuracy 0.8370, test auc 0.0000
2021-05-18 15:14:24,100 - classify.py[line:182] - INFO: Epoch 31, toal_loss 17.7001, aver loss 0.0039, train accuracy 0.9517, train auc 0.0000, test accuracy 0.8366, test auc 0.0000
2021-05-18 15:14:35,783 - classify.py[line:182] - INFO: Epoch 32, toal_loss 17.9700, aver loss 0.0039, train accuracy 0.9537, train auc 0.0000, test accuracy 0.8323, test auc 0.0000
2021-05-18 15:14:44,880 - classify.py[line:182] - INFO: Epoch 33, toal_loss 17.6457, aver loss 0.0037, train accuracy 0.9523, train auc 0.0000, test accuracy 0.8347, test auc 0.0000
2021-05-18 15:14:49,079 - classify.py[line:182] - INFO: Epoch 34, toal_loss 17.8138, aver loss 0.0036, train accuracy 0.9532, train auc 0.0000, test accuracy 0.8325, test auc 0.0000
2021-05-18 15:14:53,097 - classify.py[line:182] - INFO: Epoch 35, toal_loss 17.8531, aver loss 0.0035, train accuracy 0.9525, train auc 0.0000, test accuracy 0.8375, test auc 0.0000
2021-05-18 15:14:57,037 - classify.py[line:182] - INFO: Epoch 36, toal_loss 17.5636, aver loss 0.0034, train accuracy 0.9515, train auc 0.0000, test accuracy 0.8334, test auc 0.0000
2021-05-18 15:15:01,142 - classify.py[line:182] - INFO: Epoch 37, toal_loss 17.4467, aver loss 0.0033, train accuracy 0.9533, train auc 0.0000, test accuracy 0.8391, test auc 0.0000
2021-05-18 15:15:05,211 - classify.py[line:182] - INFO: Epoch 38, toal_loss 17.5791, aver loss 0.0032, train accuracy 0.9532, train auc 0.0000, test accuracy 0.8331, test auc 0.0000
2021-05-18 15:15:09,237 - classify.py[line:182] - INFO: Epoch 39, toal_loss 17.4476, aver loss 0.0031, train accuracy 0.9526, train auc 0.0000, test accuracy 0.8364, test auc 0.0000
2021-05-18 15:15:13,200 - classify.py[line:182] - INFO: Epoch 40, toal_loss 17.5113, aver loss 0.0030, train accuracy 0.9533, train auc 0.0000, test accuracy 0.8357, test auc 0.0000
2021-05-18 15:15:17,442 - classify.py[line:182] - INFO: Epoch 41, toal_loss 17.1958, aver loss 0.0029, train accuracy 0.9541, train auc 0.0000, test accuracy 0.8291, test auc 0.0000
2021-05-18 15:15:21,662 - classify.py[line:182] - INFO: Epoch 42, toal_loss 17.2653, aver loss 0.0028, train accuracy 0.9538, train auc 0.0000, test accuracy 0.8384, test auc 0.0000
2021-05-18 15:15:25,670 - classify.py[line:182] - INFO: Epoch 43, toal_loss 17.0712, aver loss 0.0028, train accuracy 0.9542, train auc 0.0000, test accuracy 0.8373, test auc 0.0000
2021-05-18 15:15:36,663 - classify.py[line:182] - INFO: Epoch 44, toal_loss 16.8439, aver loss 0.0027, train accuracy 0.9548, train auc 0.0000, test accuracy 0.8361, test auc 0.0000
2021-05-18 15:15:48,551 - classify.py[line:182] - INFO: Epoch 45, toal_loss 16.8845, aver loss 0.0026, train accuracy 0.9539, train auc 0.0000, test accuracy 0.8393, test auc 0.0000
2021-05-18 15:16:00,330 - classify.py[line:182] - INFO: Epoch 46, toal_loss 17.0935, aver loss 0.0026, train accuracy 0.9552, train auc 0.0000, test accuracy 0.8376, test auc 0.0000
2021-05-18 15:16:11,774 - classify.py[line:182] - INFO: Epoch 47, toal_loss 16.7786, aver loss 0.0025, train accuracy 0.9555, train auc 0.0000, test accuracy 0.8370, test auc 0.0000
2021-05-18 15:16:23,291 - classify.py[line:182] - INFO: Epoch 48, toal_loss 16.5426, aver loss 0.0024, train accuracy 0.9547, train auc 0.0000, test accuracy 0.8377, test auc 0.0000
2021-05-18 15:16:34,956 - classify.py[line:182] - INFO: Epoch 49, toal_loss 16.8414, aver loss 0.0024, train accuracy 0.9560, train auc 0.0000, test accuracy 0.8349, test auc 0.0000
2021-05-18 15:16:46,609 - classify.py[line:182] - INFO: Epoch 50, toal_loss 16.6282, aver loss 0.0023, train accuracy 0.9550, train auc 0.0000, test accuracy 0.8364, test auc 0.0000
2021-05-18 15:16:58,543 - classify.py[line:182] - INFO: Epoch 51, toal_loss 16.5456, aver loss 0.0023, train accuracy 0.9557, train auc 0.0000, test accuracy 0.8328, test auc 0.0000
2021-05-18 15:17:09,856 - classify.py[line:182] - INFO: Epoch 52, toal_loss 16.7896, aver loss 0.0022, train accuracy 0.9566, train auc 0.0000, test accuracy 0.8361, test auc 0.0000
2021-05-18 15:17:21,777 - classify.py[line:182] - INFO: Epoch 53, toal_loss 16.3342, aver loss 0.0021, train accuracy 0.9552, train auc 0.0000, test accuracy 0.8364, test auc 0.0000
2021-05-18 15:17:33,268 - classify.py[line:182] - INFO: Epoch 54, toal_loss 16.2185, aver loss 0.0021, train accuracy 0.9562, train auc 0.0000, test accuracy 0.8344, test auc 0.0000
2021-05-18 15:17:38,068 - classify.py[line:182] - INFO: Epoch 55, toal_loss 16.3620, aver loss 0.0021, train accuracy 0.9557, train auc 0.0000, test accuracy 0.8361, test auc 0.0000
2021-05-18 15:17:42,507 - classify.py[line:182] - INFO: Epoch 56, toal_loss 16.4974, aver loss 0.0021, train accuracy 0.9543, train auc 0.0000, test accuracy 0.8374, test auc 0.0000
2021-05-18 15:17:47,080 - classify.py[line:182] - INFO: Epoch 57, toal_loss 16.4346, aver loss 0.0020, train accuracy 0.9552, train auc 0.0000, test accuracy 0.8359, test auc 0.0000
2021-05-18 15:17:51,422 - classify.py[line:182] - INFO: Epoch 58, toal_loss 16.2374, aver loss 0.0020, train accuracy 0.9553, train auc 0.0000, test accuracy 0.8390, test auc 0.0000
2021-05-18 15:17:56,208 - classify.py[line:182] - INFO: Epoch 59, toal_loss 16.0833, aver loss 0.0019, train accuracy 0.9554, train auc 0.0000, test accuracy 0.8367, test auc 0.0000
2021-05-18 15:18:00,865 - classify.py[line:182] - INFO: Epoch 60, toal_loss 16.2964, aver loss 0.0019, train accuracy 0.9562, train auc 0.0000, test accuracy 0.8356, test auc 0.0000
2021-05-18 15:18:05,200 - classify.py[line:182] - INFO: Epoch 61, toal_loss 16.2822, aver loss 0.0019, train accuracy 0.9564, train auc 0.0000, test accuracy 0.8358, test auc 0.0000
2021-05-18 15:18:09,717 - classify.py[line:182] - INFO: Epoch 62, toal_loss 16.1314, aver loss 0.0018, train accuracy 0.9569, train auc 0.0000, test accuracy 0.8386, test auc 0.0000
2021-05-18 15:18:14,085 - classify.py[line:182] - INFO: Epoch 63, toal_loss 16.1617, aver loss 0.0018, train accuracy 0.9575, train auc 0.0000, test accuracy 0.8387, test auc 0.0000
2021-05-18 15:18:24,427 - classify.py[line:182] - INFO: Epoch 64, toal_loss 16.1879, aver loss 0.0018, train accuracy 0.9570, train auc 0.0000, test accuracy 0.8359, test auc 0.0000
2021-05-18 15:18:35,405 - classify.py[line:182] - INFO: Epoch 65, toal_loss 16.3142, aver loss 0.0018, train accuracy 0.9561, train auc 0.0000, test accuracy 0.8360, test auc 0.0000
2021-05-18 15:18:46,984 - classify.py[line:182] - INFO: Epoch 66, toal_loss 16.0974, aver loss 0.0017, train accuracy 0.9558, train auc 0.0000, test accuracy 0.8405, test auc 0.0000
2021-05-18 15:18:59,457 - classify.py[line:182] - INFO: Epoch 67, toal_loss 16.1997, aver loss 0.0017, train accuracy 0.9564, train auc 0.0000, test accuracy 0.8360, test auc 0.0000
2021-05-18 15:19:11,274 - classify.py[line:182] - INFO: Epoch 68, toal_loss 16.0286, aver loss 0.0016, train accuracy 0.9562, train auc 0.0000, test accuracy 0.8377, test auc 0.0000
2021-05-18 15:19:23,945 - classify.py[line:182] - INFO: Epoch 69, toal_loss 15.7593, aver loss 0.0016, train accuracy 0.9569, train auc 0.0000, test accuracy 0.8351, test auc 0.0000
2021-05-18 15:19:35,631 - classify.py[line:182] - INFO: Epoch 70, toal_loss 15.7406, aver loss 0.0016, train accuracy 0.9564, train auc 0.0000, test accuracy 0.8341, test auc 0.0000
2021-05-18 15:19:47,301 - classify.py[line:182] - INFO: Epoch 71, toal_loss 15.6846, aver loss 0.0015, train accuracy 0.9570, train auc 0.0000, test accuracy 0.8395, test auc 0.0000
2021-05-18 15:19:58,616 - classify.py[line:182] - INFO: Epoch 72, toal_loss 15.7840, aver loss 0.0015, train accuracy 0.9570, train auc 0.0000, test accuracy 0.8356, test auc 0.0000
2021-05-18 15:20:10,515 - classify.py[line:182] - INFO: Epoch 73, toal_loss 15.4963, aver loss 0.0015, train accuracy 0.9571, train auc 0.0000, test accuracy 0.8373, test auc 0.0000
2021-05-18 15:20:22,688 - classify.py[line:182] - INFO: Epoch 74, toal_loss 15.5916, aver loss 0.0015, train accuracy 0.9575, train auc 0.0000, test accuracy 0.8322, test auc 0.0000
2021-05-18 15:20:29,337 - classify.py[line:182] - INFO: Epoch 75, toal_loss 15.7070, aver loss 0.0015, train accuracy 0.9568, train auc 0.0000, test accuracy 0.8326, test auc 0.0000
2021-05-18 15:20:33,567 - classify.py[line:182] - INFO: Epoch 76, toal_loss 15.4693, aver loss 0.0014, train accuracy 0.9586, train auc 0.0000, test accuracy 0.8339, test auc 0.0000
2021-05-18 15:20:37,641 - classify.py[line:182] - INFO: Epoch 77, toal_loss 15.5148, aver loss 0.0014, train accuracy 0.9582, train auc 0.0000, test accuracy 0.8367, test auc 0.0000
2021-05-18 15:20:41,445 - classify.py[line:182] - INFO: Epoch 78, toal_loss 15.4889, aver loss 0.0014, train accuracy 0.9575, train auc 0.0000, test accuracy 0.8382, test auc 0.0000
2021-05-18 15:20:45,229 - classify.py[line:182] - INFO: Epoch 79, toal_loss 15.6984, aver loss 0.0014, train accuracy 0.9591, train auc 0.0000, test accuracy 0.8384, test auc 0.0000
