2021-05-18 15:20:46,571 - classify.py[line:66] - INFO: Namespace(batch_size=256, dataset='PC', epoch=80, gpu=1, l2=0.001, lr=0.001, modelname='TextCNN', modelnum=0, resultnum=92, seed=2, use_aug=1)
2021-05-18 15:20:55,081 - classify.py[line:120] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 4, 'poSampleNum': 1, 'max_bound': 0.1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 15:20:55,607 - classify.py[line:138] - INFO: before training: 0.4658847451210022
2021-05-18 15:20:55,607 - classify.py[line:152] - INFO: ...start training...
2021-05-18 15:21:00,194 - classify.py[line:182] - INFO: Epoch 0, toal_loss 104.2271, aver loss 0.7392, train accuracy 0.5051, train auc 0.0000, test accuracy 0.5665, test auc 0.0000
2021-05-18 15:21:04,701 - classify.py[line:182] - INFO: Epoch 1, toal_loss 42.7196, aver loss 0.1515, train accuracy 0.8701, train auc 0.0000, test accuracy 0.8282, test auc 0.0000
2021-05-18 15:21:09,251 - classify.py[line:182] - INFO: Epoch 2, toal_loss 30.8034, aver loss 0.0728, train accuracy 0.9093, train auc 0.0000, test accuracy 0.8365, test auc 0.0000
2021-05-18 15:21:21,633 - classify.py[line:182] - INFO: Epoch 3, toal_loss 29.0303, aver loss 0.0515, train accuracy 0.9167, train auc 0.0000, test accuracy 0.8403, test auc 0.0000
2021-05-18 15:21:33,664 - classify.py[line:182] - INFO: Epoch 4, toal_loss 27.7390, aver loss 0.0393, train accuracy 0.9216, train auc 0.0000, test accuracy 0.8422, test auc 0.0000
2021-05-18 15:21:45,519 - classify.py[line:182] - INFO: Epoch 5, toal_loss 26.9688, aver loss 0.0319, train accuracy 0.9244, train auc 0.0000, test accuracy 0.8473, test auc 0.0000
2021-05-18 15:21:57,659 - classify.py[line:182] - INFO: Epoch 6, toal_loss 25.7888, aver loss 0.0261, train accuracy 0.9291, train auc 0.0000, test accuracy 0.8446, test auc 0.0000
2021-05-18 15:22:09,819 - classify.py[line:182] - INFO: Epoch 7, toal_loss 25.4719, aver loss 0.0226, train accuracy 0.9293, train auc 0.0000, test accuracy 0.8458, test auc 0.0000
2021-05-18 15:22:21,982 - classify.py[line:182] - INFO: Epoch 8, toal_loss 24.8619, aver loss 0.0196, train accuracy 0.9314, train auc 0.0000, test accuracy 0.8440, test auc 0.0000
2021-05-18 15:22:33,951 - classify.py[line:182] - INFO: Epoch 9, toal_loss 24.5108, aver loss 0.0174, train accuracy 0.9343, train auc 0.0000, test accuracy 0.8448, test auc 0.0000
2021-05-18 15:22:44,976 - classify.py[line:182] - INFO: Epoch 10, toal_loss 23.8534, aver loss 0.0154, train accuracy 0.9341, train auc 0.0000, test accuracy 0.8475, test auc 0.0000
2021-05-18 15:22:56,663 - classify.py[line:182] - INFO: Epoch 11, toal_loss 23.7098, aver loss 0.0140, train accuracy 0.9357, train auc 0.0000, test accuracy 0.8446, test auc 0.0000
2021-05-18 15:23:09,009 - classify.py[line:182] - INFO: Epoch 12, toal_loss 23.1547, aver loss 0.0126, train accuracy 0.9359, train auc 0.0000, test accuracy 0.8478, test auc 0.0000
2021-05-18 15:23:15,846 - classify.py[line:182] - INFO: Epoch 13, toal_loss 22.8578, aver loss 0.0116, train accuracy 0.9364, train auc 0.0000, test accuracy 0.8448, test auc 0.0000
2021-05-18 15:23:20,241 - classify.py[line:182] - INFO: Epoch 14, toal_loss 22.5814, aver loss 0.0107, train accuracy 0.9377, train auc 0.0000, test accuracy 0.8474, test auc 0.0000
2021-05-18 15:23:24,768 - classify.py[line:182] - INFO: Epoch 15, toal_loss 22.0827, aver loss 0.0098, train accuracy 0.9382, train auc 0.0000, test accuracy 0.8453, test auc 0.0000
2021-05-18 15:23:29,462 - classify.py[line:182] - INFO: Epoch 16, toal_loss 21.8299, aver loss 0.0091, train accuracy 0.9386, train auc 0.0000, test accuracy 0.8436, test auc 0.0000
2021-05-18 15:23:33,853 - classify.py[line:182] - INFO: Epoch 17, toal_loss 21.7606, aver loss 0.0086, train accuracy 0.9397, train auc 0.0000, test accuracy 0.8456, test auc 0.0000
2021-05-18 15:23:38,494 - classify.py[line:182] - INFO: Epoch 18, toal_loss 21.3600, aver loss 0.0080, train accuracy 0.9412, train auc 0.0000, test accuracy 0.8447, test auc 0.0000
2021-05-18 15:23:43,078 - classify.py[line:182] - INFO: Epoch 19, toal_loss 21.1393, aver loss 0.0075, train accuracy 0.9406, train auc 0.0000, test accuracy 0.8417, test auc 0.0000
2021-05-18 15:23:47,720 - classify.py[line:182] - INFO: Epoch 20, toal_loss 21.0827, aver loss 0.0071, train accuracy 0.9415, train auc 0.0000, test accuracy 0.8391, test auc 0.0000
2021-05-18 15:23:52,470 - classify.py[line:182] - INFO: Epoch 21, toal_loss 20.7842, aver loss 0.0067, train accuracy 0.9426, train auc 0.0000, test accuracy 0.8408, test auc 0.0000
2021-05-18 15:23:57,067 - classify.py[line:182] - INFO: Epoch 22, toal_loss 20.7200, aver loss 0.0064, train accuracy 0.9425, train auc 0.0000, test accuracy 0.8379, test auc 0.0000
2021-05-18 15:24:08,885 - classify.py[line:182] - INFO: Epoch 23, toal_loss 20.5118, aver loss 0.0061, train accuracy 0.9446, train auc 0.0000, test accuracy 0.8437, test auc 0.0000
