2021-05-18 17:09:20,287 - classify.py[line:66] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=80, gpu=1, l2=0.0001, lr=0.0001, modelname='TextCNN', modelnum=0, resultnum=93, seed=1, use_aug=0)
2021-05-18 17:09:31,620 - classify.py[line:132] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 80, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 17:09:32,354 - classify.py[line:138] - INFO: before training: 0.5
2021-05-18 17:09:32,356 - classify.py[line:152] - INFO: ...start training...
2021-05-18 17:09:37,547 - classify.py[line:182] - INFO: Epoch 0, toal_loss 86.3044, aver loss 0.6904, train accuracy 0.6535, train auc 0.0000, test accuracy 0.7718, test auc 0.0000
2021-05-18 17:09:40,215 - classify.py[line:182] - INFO: Epoch 1, toal_loss 55.9917, aver loss 0.2240, train accuracy 0.8095, train auc 0.0000, test accuracy 0.8213, test auc 0.0000
2021-05-18 17:09:43,035 - classify.py[line:182] - INFO: Epoch 2, toal_loss 49.2094, aver loss 0.1312, train accuracy 0.8298, train auc 0.0000, test accuracy 0.8283, test auc 0.0000
2021-05-18 17:09:45,788 - classify.py[line:182] - INFO: Epoch 3, toal_loss 44.6915, aver loss 0.0894, train accuracy 0.8493, train auc 0.0000, test accuracy 0.8308, test auc 0.0000
2021-05-18 17:09:48,466 - classify.py[line:182] - INFO: Epoch 4, toal_loss 42.6112, aver loss 0.0682, train accuracy 0.8561, train auc 0.0000, test accuracy 0.8388, test auc 0.0000
2021-05-18 17:09:51,221 - classify.py[line:182] - INFO: Epoch 5, toal_loss 41.1575, aver loss 0.0549, train accuracy 0.8646, train auc 0.0000, test accuracy 0.8534, test auc 0.0000
2021-05-18 17:09:54,020 - classify.py[line:182] - INFO: Epoch 6, toal_loss 40.4039, aver loss 0.0462, train accuracy 0.8686, train auc 0.0000, test accuracy 0.8448, test auc 0.0000
2021-05-18 17:09:56,770 - classify.py[line:182] - INFO: Epoch 7, toal_loss 39.2169, aver loss 0.0392, train accuracy 0.8734, train auc 0.0000, test accuracy 0.8509, test auc 0.0000
2021-05-18 17:09:59,585 - classify.py[line:182] - INFO: Epoch 8, toal_loss 38.1062, aver loss 0.0339, train accuracy 0.8765, train auc 0.0000, test accuracy 0.8524, test auc 0.0000
2021-05-18 17:10:02,257 - classify.py[line:182] - INFO: Epoch 9, toal_loss 36.6649, aver loss 0.0293, train accuracy 0.8810, train auc 0.0000, test accuracy 0.8544, test auc 0.0000
2021-05-18 17:10:05,052 - classify.py[line:182] - INFO: Epoch 10, toal_loss 35.8569, aver loss 0.0261, train accuracy 0.8835, train auc 0.0000, test accuracy 0.8574, test auc 0.0000
2021-05-18 17:10:07,830 - classify.py[line:182] - INFO: Epoch 11, toal_loss 35.1311, aver loss 0.0234, train accuracy 0.8876, train auc 0.0000, test accuracy 0.8624, test auc 0.0000
2021-05-18 17:10:10,453 - classify.py[line:182] - INFO: Epoch 12, toal_loss 34.6291, aver loss 0.0213, train accuracy 0.8854, train auc 0.0000, test accuracy 0.8524, test auc 0.0000
2021-05-18 17:10:13,292 - classify.py[line:182] - INFO: Epoch 13, toal_loss 34.2553, aver loss 0.0196, train accuracy 0.8891, train auc 0.0000, test accuracy 0.8589, test auc 0.0000
2021-05-18 17:10:15,995 - classify.py[line:182] - INFO: Epoch 14, toal_loss 33.1065, aver loss 0.0177, train accuracy 0.8915, train auc 0.0000, test accuracy 0.8639, test auc 0.0000
2021-05-18 17:10:18,730 - classify.py[line:182] - INFO: Epoch 15, toal_loss 32.4068, aver loss 0.0162, train accuracy 0.8965, train auc 0.0000, test accuracy 0.8734, test auc 0.0000
2021-05-18 17:10:21,334 - classify.py[line:182] - INFO: Epoch 16, toal_loss 32.5010, aver loss 0.0153, train accuracy 0.8944, train auc 0.0000, test accuracy 0.8609, test auc 0.0000
2021-05-18 17:10:23,870 - classify.py[line:182] - INFO: Epoch 17, toal_loss 31.9738, aver loss 0.0142, train accuracy 0.8919, train auc 0.0000, test accuracy 0.8669, test auc 0.0000
2021-05-18 17:10:27,506 - classify.py[line:182] - INFO: Epoch 18, toal_loss 31.5403, aver loss 0.0133, train accuracy 0.9005, train auc 0.0000, test accuracy 0.8649, test auc 0.0000
2021-05-18 17:10:36,618 - classify.py[line:182] - INFO: Epoch 19, toal_loss 31.5794, aver loss 0.0126, train accuracy 0.8987, train auc 0.0000, test accuracy 0.8649, test auc 0.0000
2021-05-18 17:10:45,231 - classify.py[line:182] - INFO: Epoch 20, toal_loss 30.6897, aver loss 0.0117, train accuracy 0.9000, train auc 0.0000, test accuracy 0.8679, test auc 0.0000
2021-05-18 17:10:54,429 - classify.py[line:182] - INFO: Epoch 21, toal_loss 30.5205, aver loss 0.0111, train accuracy 0.9014, train auc 0.0000, test accuracy 0.8724, test auc 0.0000
2021-05-18 17:11:03,034 - classify.py[line:182] - INFO: Epoch 22, toal_loss 29.8827, aver loss 0.0104, train accuracy 0.9066, train auc 0.0000, test accuracy 0.8639, test auc 0.0000
2021-05-18 17:11:12,429 - classify.py[line:182] - INFO: Epoch 23, toal_loss 29.5032, aver loss 0.0098, train accuracy 0.9084, train auc 0.0000, test accuracy 0.8679, test auc 0.0000
2021-05-18 17:11:21,200 - classify.py[line:182] - INFO: Epoch 24, toal_loss 29.6577, aver loss 0.0095, train accuracy 0.9056, train auc 0.0000, test accuracy 0.8664, test auc 0.0000
2021-05-18 17:11:31,154 - classify.py[line:182] - INFO: Epoch 25, toal_loss 29.8253, aver loss 0.0092, train accuracy 0.9097, train auc 0.0000, test accuracy 0.8599, test auc 0.0000
2021-05-18 17:11:40,512 - classify.py[line:182] - INFO: Epoch 26, toal_loss 28.7775, aver loss 0.0085, train accuracy 0.9060, train auc 0.0000, test accuracy 0.8709, test auc 0.0000
2021-05-18 17:11:48,744 - classify.py[line:182] - INFO: Epoch 27, toal_loss 28.9263, aver loss 0.0083, train accuracy 0.9065, train auc 0.0000, test accuracy 0.8719, test auc 0.0000
2021-05-18 17:11:57,480 - classify.py[line:182] - INFO: Epoch 28, toal_loss 28.5083, aver loss 0.0079, train accuracy 0.9067, train auc 0.0000, test accuracy 0.8664, test auc 0.0000
2021-05-18 17:12:06,995 - classify.py[line:182] - INFO: Epoch 29, toal_loss 27.3787, aver loss 0.0073, train accuracy 0.9119, train auc 0.0000, test accuracy 0.8674, test auc 0.0000
2021-05-18 17:12:16,209 - classify.py[line:182] - INFO: Epoch 30, toal_loss 28.0831, aver loss 0.0072, train accuracy 0.9136, train auc 0.0000, test accuracy 0.8689, test auc 0.0000
2021-05-18 17:12:25,656 - classify.py[line:182] - INFO: Epoch 31, toal_loss 26.9864, aver loss 0.0067, train accuracy 0.9110, train auc 0.0000, test accuracy 0.8619, test auc 0.0000
2021-05-18 17:12:35,619 - classify.py[line:182] - INFO: Epoch 32, toal_loss 27.9435, aver loss 0.0068, train accuracy 0.9147, train auc 0.0000, test accuracy 0.8649, test auc 0.0000
2021-05-18 17:12:44,897 - classify.py[line:182] - INFO: Epoch 33, toal_loss 26.6526, aver loss 0.0063, train accuracy 0.9127, train auc 0.0000, test accuracy 0.8699, test auc 0.0000
2021-05-18 17:12:53,978 - classify.py[line:182] - INFO: Epoch 34, toal_loss 26.0152, aver loss 0.0059, train accuracy 0.9160, train auc 0.0000, test accuracy 0.8694, test auc 0.0000
2021-05-18 17:13:03,641 - classify.py[line:182] - INFO: Epoch 35, toal_loss 26.5008, aver loss 0.0059, train accuracy 0.9136, train auc 0.0000, test accuracy 0.8654, test auc 0.0000
2021-05-18 17:13:12,134 - classify.py[line:182] - INFO: Epoch 36, toal_loss 26.2157, aver loss 0.0057, train accuracy 0.9201, train auc 0.0000, test accuracy 0.8679, test auc 0.0000
2021-05-18 17:13:21,458 - classify.py[line:182] - INFO: Epoch 37, toal_loss 26.0315, aver loss 0.0055, train accuracy 0.9177, train auc 0.0000, test accuracy 0.8639, test auc 0.0000
2021-05-18 17:13:28,857 - classify.py[line:182] - INFO: Epoch 38, toal_loss 25.6640, aver loss 0.0053, train accuracy 0.9207, train auc 0.0000, test accuracy 0.8624, test auc 0.0000
2021-05-18 17:13:31,650 - classify.py[line:182] - INFO: Epoch 39, toal_loss 25.2072, aver loss 0.0050, train accuracy 0.9181, train auc 0.0000, test accuracy 0.8694, test auc 0.0000
2021-05-18 17:13:34,667 - classify.py[line:182] - INFO: Epoch 40, toal_loss 25.2099, aver loss 0.0049, train accuracy 0.9181, train auc 0.0000, test accuracy 0.8664, test auc 0.0000
2021-05-18 17:13:37,605 - classify.py[line:182] - INFO: Epoch 41, toal_loss 25.1727, aver loss 0.0048, train accuracy 0.9261, train auc 0.0000, test accuracy 0.8679, test auc 0.0000
2021-05-18 17:13:40,469 - classify.py[line:182] - INFO: Epoch 42, toal_loss 25.1866, aver loss 0.0047, train accuracy 0.9230, train auc 0.0000, test accuracy 0.8654, test auc 0.0000
2021-05-18 17:13:43,206 - classify.py[line:182] - INFO: Epoch 43, toal_loss 24.6347, aver loss 0.0045, train accuracy 0.9260, train auc 0.0000, test accuracy 0.8664, test auc 0.0000
2021-05-18 17:13:46,174 - classify.py[line:182] - INFO: Epoch 44, toal_loss 24.0603, aver loss 0.0043, train accuracy 0.9250, train auc 0.0000, test accuracy 0.8704, test auc 0.0000
2021-05-18 17:13:48,996 - classify.py[line:182] - INFO: Epoch 45, toal_loss 24.0672, aver loss 0.0042, train accuracy 0.9242, train auc 0.0000, test accuracy 0.8594, test auc 0.0000
2021-05-18 17:13:51,895 - classify.py[line:182] - INFO: Epoch 46, toal_loss 23.9610, aver loss 0.0041, train accuracy 0.9252, train auc 0.0000, test accuracy 0.8684, test auc 0.0000
2021-05-18 17:13:54,829 - classify.py[line:182] - INFO: Epoch 47, toal_loss 22.9712, aver loss 0.0038, train accuracy 0.9254, train auc 0.0000, test accuracy 0.8634, test auc 0.0000
2021-05-18 17:13:57,681 - classify.py[line:182] - INFO: Epoch 48, toal_loss 23.3554, aver loss 0.0038, train accuracy 0.9247, train auc 0.0000, test accuracy 0.8614, test auc 0.0000
2021-05-18 17:14:00,646 - classify.py[line:182] - INFO: Epoch 49, toal_loss 23.0868, aver loss 0.0037, train accuracy 0.9264, train auc 0.0000, test accuracy 0.8704, test auc 0.0000
2021-05-18 17:14:03,692 - classify.py[line:182] - INFO: Epoch 50, toal_loss 23.2651, aver loss 0.0036, train accuracy 0.9274, train auc 0.0000, test accuracy 0.8719, test auc 0.0000
2021-05-18 17:14:06,500 - classify.py[line:182] - INFO: Epoch 51, toal_loss 23.0667, aver loss 0.0035, train accuracy 0.9261, train auc 0.0000, test accuracy 0.8604, test auc 0.0000
2021-05-18 17:14:09,347 - classify.py[line:182] - INFO: Epoch 52, toal_loss 23.0178, aver loss 0.0035, train accuracy 0.9277, train auc 0.0000, test accuracy 0.8619, test auc 0.0000
2021-05-18 17:14:12,138 - classify.py[line:182] - INFO: Epoch 53, toal_loss 22.5834, aver loss 0.0033, train accuracy 0.9309, train auc 0.0000, test accuracy 0.8649, test auc 0.0000
2021-05-18 17:14:15,124 - classify.py[line:182] - INFO: Epoch 54, toal_loss 22.5595, aver loss 0.0033, train accuracy 0.9300, train auc 0.0000, test accuracy 0.8719, test auc 0.0000
2021-05-18 17:14:18,040 - classify.py[line:182] - INFO: Epoch 55, toal_loss 22.6788, aver loss 0.0032, train accuracy 0.9311, train auc 0.0000, test accuracy 0.8724, test auc 0.0000
2021-05-18 17:14:24,616 - classify.py[line:182] - INFO: Epoch 56, toal_loss 22.0941, aver loss 0.0031, train accuracy 0.9341, train auc 0.0000, test accuracy 0.8624, test auc 0.0000
2021-05-18 17:14:34,624 - classify.py[line:182] - INFO: Epoch 57, toal_loss 22.1224, aver loss 0.0031, train accuracy 0.9304, train auc 0.0000, test accuracy 0.8674, test auc 0.0000
2021-05-18 17:14:43,036 - classify.py[line:182] - INFO: Epoch 58, toal_loss 22.4212, aver loss 0.0030, train accuracy 0.9351, train auc 0.0000, test accuracy 0.8659, test auc 0.0000
2021-05-18 17:14:51,478 - classify.py[line:182] - INFO: Epoch 59, toal_loss 21.5739, aver loss 0.0029, train accuracy 0.9335, train auc 0.0000, test accuracy 0.8664, test auc 0.0000
2021-05-18 17:15:00,489 - classify.py[line:182] - INFO: Epoch 60, toal_loss 20.7494, aver loss 0.0027, train accuracy 0.9357, train auc 0.0000, test accuracy 0.8659, test auc 0.0000
2021-05-18 17:15:09,170 - classify.py[line:182] - INFO: Epoch 61, toal_loss 21.8118, aver loss 0.0028, train accuracy 0.9344, train auc 0.0000, test accuracy 0.8629, test auc 0.0000
2021-05-18 17:15:18,738 - classify.py[line:182] - INFO: Epoch 62, toal_loss 21.6564, aver loss 0.0028, train accuracy 0.9367, train auc 0.0000, test accuracy 0.8614, test auc 0.0000
2021-05-18 17:15:27,123 - classify.py[line:182] - INFO: Epoch 63, toal_loss 21.3332, aver loss 0.0027, train accuracy 0.9347, train auc 0.0000, test accuracy 0.8654, test auc 0.0000
2021-05-18 17:15:35,763 - classify.py[line:182] - INFO: Epoch 64, toal_loss 20.7072, aver loss 0.0025, train accuracy 0.9370, train auc 0.0000, test accuracy 0.8584, test auc 0.0000
2021-05-18 17:15:45,520 - classify.py[line:182] - INFO: Epoch 65, toal_loss 20.6657, aver loss 0.0025, train accuracy 0.9357, train auc 0.0000, test accuracy 0.8659, test auc 0.0000
2021-05-18 17:15:53,625 - classify.py[line:182] - INFO: Epoch 66, toal_loss 21.4296, aver loss 0.0026, train accuracy 0.9312, train auc 0.0000, test accuracy 0.8714, test auc 0.0000
