2021-05-18 17:17:06,743 - classify.py[line:66] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=80, gpu=1, l2=0.0001, lr=0.0001, modelname='TextCNN', modelnum=0, resultnum=93, seed=1, use_aug=1)
2021-05-18 17:17:15,023 - classify.py[line:120] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 2, 'poSampleNum': 3, 'max_bound': 0.1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 17:17:15,562 - classify.py[line:138] - INFO: before training: 0.32382380962371826
2021-05-18 17:17:15,563 - classify.py[line:152] - INFO: ...start training...
2021-05-18 17:17:18,298 - classify.py[line:182] - INFO: Epoch 0, toal_loss 94.1657, aver loss 0.7533, train accuracy 0.4203, train auc 0.0000, test accuracy 0.4985, test auc 0.0000
2021-05-18 17:17:21,037 - classify.py[line:182] - INFO: Epoch 1, toal_loss 88.2220, aver loss 0.3529, train accuracy 0.4998, train auc 0.0000, test accuracy 0.5000, test auc 0.0000
2021-05-18 17:17:23,901 - classify.py[line:182] - INFO: Epoch 2, toal_loss 85.6201, aver loss 0.2283, train accuracy 0.5024, train auc 0.0000, test accuracy 0.5195, test auc 0.0000
2021-05-18 17:17:26,552 - classify.py[line:182] - INFO: Epoch 3, toal_loss 77.3141, aver loss 0.1546, train accuracy 0.6685, train auc 0.0000, test accuracy 0.7738, test auc 0.0000
2021-05-18 17:17:29,361 - classify.py[line:182] - INFO: Epoch 4, toal_loss 62.6131, aver loss 0.1002, train accuracy 0.8040, train auc 0.0000, test accuracy 0.8068, test auc 0.0000
2021-05-18 17:17:32,096 - classify.py[line:182] - INFO: Epoch 5, toal_loss 52.1971, aver loss 0.0696, train accuracy 0.8260, train auc 0.0000, test accuracy 0.8308, test auc 0.0000
2021-05-18 17:17:34,879 - classify.py[line:182] - INFO: Epoch 6, toal_loss 47.5611, aver loss 0.0544, train accuracy 0.8460, train auc 0.0000, test accuracy 0.8293, test auc 0.0000
2021-05-18 17:17:37,626 - classify.py[line:182] - INFO: Epoch 7, toal_loss 44.8232, aver loss 0.0448, train accuracy 0.8497, train auc 0.0000, test accuracy 0.8438, test auc 0.0000
2021-05-18 17:17:40,524 - classify.py[line:182] - INFO: Epoch 8, toal_loss 43.0505, aver loss 0.0383, train accuracy 0.8539, train auc 0.0000, test accuracy 0.8428, test auc 0.0000
2021-05-18 17:17:46,278 - classify.py[line:182] - INFO: Epoch 9, toal_loss 41.0426, aver loss 0.0328, train accuracy 0.8619, train auc 0.0000, test accuracy 0.8554, test auc 0.0000
2021-05-18 17:17:48,924 - classify.py[line:182] - INFO: Epoch 10, toal_loss 40.0803, aver loss 0.0291, train accuracy 0.8685, train auc 0.0000, test accuracy 0.8594, test auc 0.0000
