2021-05-18 22:03:15,007 - classify.py[line:67] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=80, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=95, seed=1, use_aug=0)
2021-05-18 22:03:19,397 - classify.py[line:133] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 80, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 22:03:19,708 - classify.py[line:139] - INFO: before training: 0.5
2021-05-18 22:03:19,708 - classify.py[line:153] - INFO: ...start training...
2021-05-18 22:03:19,949 - classify.py[line:183] - INFO: Epoch 0, toal_loss 14.7022, aver loss 1.1309, train accuracy 0.5148, train auc 0.0000, test accuracy 0.5010, test auc 0.0000
2021-05-18 22:03:20,209 - classify.py[line:183] - INFO: Epoch 1, toal_loss 11.2991, aver loss 0.4346, train accuracy 0.5221, train auc 0.0000, test accuracy 0.5140, test auc 0.0000
2021-05-18 22:03:20,441 - classify.py[line:183] - INFO: Epoch 2, toal_loss 9.6763, aver loss 0.2481, train accuracy 0.5582, train auc 0.0000, test accuracy 0.5596, test auc 0.0000
2021-05-18 22:03:20,669 - classify.py[line:183] - INFO: Epoch 3, toal_loss 8.1975, aver loss 0.1576, train accuracy 0.6218, train auc 0.0000, test accuracy 0.6231, test auc 0.0000
2021-05-18 22:03:20,898 - classify.py[line:183] - INFO: Epoch 4, toal_loss 7.5010, aver loss 0.1154, train accuracy 0.7003, train auc 0.0000, test accuracy 0.6872, test auc 0.0000
2021-05-18 22:03:21,167 - classify.py[line:183] - INFO: Epoch 5, toal_loss 6.9898, aver loss 0.0896, train accuracy 0.7486, train auc 0.0000, test accuracy 0.7307, test auc 0.0000
2021-05-18 22:03:21,407 - classify.py[line:183] - INFO: Epoch 6, toal_loss 6.3414, aver loss 0.0697, train accuracy 0.7809, train auc 0.0000, test accuracy 0.7382, test auc 0.0000
2021-05-18 22:03:21,633 - classify.py[line:183] - INFO: Epoch 7, toal_loss 6.1953, aver loss 0.0596, train accuracy 0.7823, train auc 0.0000, test accuracy 0.7457, test auc 0.0000
2021-05-18 22:03:21,900 - classify.py[line:183] - INFO: Epoch 8, toal_loss 5.7617, aver loss 0.0492, train accuracy 0.8124, train auc 0.0000, test accuracy 0.7457, test auc 0.0000
2021-05-18 22:03:22,178 - classify.py[line:183] - INFO: Epoch 9, toal_loss 5.5795, aver loss 0.0429, train accuracy 0.8329, train auc 0.0000, test accuracy 0.7633, test auc 0.0000
2021-05-18 22:03:22,462 - classify.py[line:183] - INFO: Epoch 10, toal_loss 5.4837, aver loss 0.0383, train accuracy 0.8314, train auc 0.0000, test accuracy 0.7728, test auc 0.0000
2021-05-18 22:03:22,773 - classify.py[line:183] - INFO: Epoch 11, toal_loss 5.3004, aver loss 0.0340, train accuracy 0.8435, train auc 0.0000, test accuracy 0.7788, test auc 0.0000
2021-05-18 22:03:23,041 - classify.py[line:183] - INFO: Epoch 12, toal_loss 5.2716, aver loss 0.0312, train accuracy 0.8352, train auc 0.0000, test accuracy 0.7768, test auc 0.0000
2021-05-18 22:03:23,306 - classify.py[line:183] - INFO: Epoch 13, toal_loss 4.9542, aver loss 0.0272, train accuracy 0.8508, train auc 0.0000, test accuracy 0.7838, test auc 0.0000
2021-05-18 22:03:23,583 - classify.py[line:183] - INFO: Epoch 14, toal_loss 4.7384, aver loss 0.0243, train accuracy 0.8606, train auc 0.0000, test accuracy 0.7838, test auc 0.0000
2021-05-18 22:03:23,863 - classify.py[line:183] - INFO: Epoch 15, toal_loss 4.5973, aver loss 0.0221, train accuracy 0.8690, train auc 0.0000, test accuracy 0.7903, test auc 0.0000
2021-05-18 22:03:24,155 - classify.py[line:183] - INFO: Epoch 16, toal_loss 4.4652, aver loss 0.0202, train accuracy 0.8676, train auc 0.0000, test accuracy 0.7968, test auc 0.0000
2021-05-18 22:03:24,431 - classify.py[line:183] - INFO: Epoch 17, toal_loss 4.5620, aver loss 0.0195, train accuracy 0.8652, train auc 0.0000, test accuracy 0.7913, test auc 0.0000
2021-05-18 22:03:24,701 - classify.py[line:183] - INFO: Epoch 18, toal_loss 4.1672, aver loss 0.0169, train accuracy 0.8700, train auc 0.0000, test accuracy 0.7893, test auc 0.0000
2021-05-18 22:03:24,982 - classify.py[line:183] - INFO: Epoch 19, toal_loss 4.2543, aver loss 0.0164, train accuracy 0.8689, train auc 0.0000, test accuracy 0.8008, test auc 0.0000
2021-05-18 22:03:25,251 - classify.py[line:183] - INFO: Epoch 20, toal_loss 4.1818, aver loss 0.0153, train accuracy 0.8930, train auc 0.0000, test accuracy 0.7993, test auc 0.0000
2021-05-18 22:03:25,523 - classify.py[line:183] - INFO: Epoch 21, toal_loss 4.0244, aver loss 0.0141, train accuracy 0.8786, train auc 0.0000, test accuracy 0.7953, test auc 0.0000
2021-05-18 22:03:25,843 - classify.py[line:183] - INFO: Epoch 22, toal_loss 3.8408, aver loss 0.0128, train accuracy 0.8881, train auc 0.0000, test accuracy 0.7923, test auc 0.0000
2021-05-18 22:03:26,138 - classify.py[line:183] - INFO: Epoch 23, toal_loss 3.8719, aver loss 0.0124, train accuracy 0.8917, train auc 0.0000, test accuracy 0.7993, test auc 0.0000
2021-05-18 22:03:26,418 - classify.py[line:183] - INFO: Epoch 24, toal_loss 3.8514, aver loss 0.0119, train accuracy 0.8869, train auc 0.0000, test accuracy 0.8018, test auc 0.0000
2021-05-18 22:03:26,698 - classify.py[line:183] - INFO: Epoch 25, toal_loss 3.7383, aver loss 0.0111, train accuracy 0.8905, train auc 0.0000, test accuracy 0.8148, test auc 0.0000
2021-05-18 22:03:26,980 - classify.py[line:183] - INFO: Epoch 26, toal_loss 3.9057, aver loss 0.0111, train accuracy 0.9037, train auc 0.0000, test accuracy 0.8038, test auc 0.0000
2021-05-18 22:03:27,296 - classify.py[line:183] - INFO: Epoch 27, toal_loss 3.6018, aver loss 0.0099, train accuracy 0.8953, train auc 0.0000, test accuracy 0.8003, test auc 0.0000
2021-05-18 22:03:27,571 - classify.py[line:183] - INFO: Epoch 28, toal_loss 3.6288, aver loss 0.0096, train accuracy 0.9026, train auc 0.0000, test accuracy 0.8013, test auc 0.0000
2021-05-18 22:03:27,846 - classify.py[line:183] - INFO: Epoch 29, toal_loss 3.5488, aver loss 0.0091, train accuracy 0.9026, train auc 0.0000, test accuracy 0.8188, test auc 0.0000
2021-05-18 22:03:28,131 - classify.py[line:183] - INFO: Epoch 30, toal_loss 3.4671, aver loss 0.0086, train accuracy 0.9038, train auc 0.0000, test accuracy 0.8093, test auc 0.0000
2021-05-18 22:03:28,404 - classify.py[line:183] - INFO: Epoch 31, toal_loss 3.6178, aver loss 0.0087, train accuracy 0.9134, train auc 0.0000, test accuracy 0.8223, test auc 0.0000
2021-05-18 22:03:28,710 - classify.py[line:183] - INFO: Epoch 32, toal_loss 3.3363, aver loss 0.0078, train accuracy 0.9195, train auc 0.0000, test accuracy 0.8078, test auc 0.0000
2021-05-18 22:03:28,988 - classify.py[line:183] - INFO: Epoch 33, toal_loss 3.3183, aver loss 0.0075, train accuracy 0.9134, train auc 0.0000, test accuracy 0.8008, test auc 0.0000
2021-05-18 22:03:29,259 - classify.py[line:183] - INFO: Epoch 34, toal_loss 3.2572, aver loss 0.0072, train accuracy 0.9207, train auc 0.0000, test accuracy 0.8158, test auc 0.0000
2021-05-18 22:03:29,541 - classify.py[line:183] - INFO: Epoch 35, toal_loss 3.1885, aver loss 0.0068, train accuracy 0.9194, train auc 0.0000, test accuracy 0.8163, test auc 0.0000
2021-05-18 22:03:29,832 - classify.py[line:183] - INFO: Epoch 36, toal_loss 3.2145, aver loss 0.0067, train accuracy 0.9243, train auc 0.0000, test accuracy 0.8123, test auc 0.0000
2021-05-18 22:03:30,127 - classify.py[line:183] - INFO: Epoch 37, toal_loss 3.2267, aver loss 0.0065, train accuracy 0.9315, train auc 0.0000, test accuracy 0.8063, test auc 0.0000
