2021-05-18 23:12:09,639 - classify.py[line:67] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='88_model.pt', modelname='TextCNN', modelnum=0, resultnum=98, seed=1, use_aug=1)
2021-05-18 23:12:17,104 - classify.py[line:121] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.0001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 5, 'poSampleNum': 3, 'max_bound': 1.0, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 23:12:17,529 - classify.py[line:139] - INFO: before training: 0.4954954981803894
2021-05-18 23:12:17,530 - classify.py[line:153] - INFO: ...start training...
2021-05-18 23:12:18,087 - classify.py[line:183] - INFO: Epoch 0, toal_loss 5.1891, aver loss 0.7413, train accuracy 0.5009, train auc 0.0000, test accuracy 0.5676, test auc 0.0000
2021-05-18 23:12:18,560 - classify.py[line:183] - INFO: Epoch 1, toal_loss 4.7527, aver loss 0.3395, train accuracy 0.6182, train auc 0.0000, test accuracy 0.6021, test auc 0.0000
2021-05-18 23:12:19,007 - classify.py[line:183] - INFO: Epoch 2, toal_loss 4.3550, aver loss 0.2074, train accuracy 0.6522, train auc 0.0000, test accuracy 0.6401, test auc 0.0000
2021-05-18 23:12:19,583 - classify.py[line:183] - INFO: Epoch 3, toal_loss 4.1249, aver loss 0.1473, train accuracy 0.7153, train auc 0.0000, test accuracy 0.6767, test auc 0.0000
2021-05-18 23:12:20,086 - classify.py[line:183] - INFO: Epoch 4, toal_loss 3.9509, aver loss 0.1129, train accuracy 0.7449, train auc 0.0000, test accuracy 0.7017, test auc 0.0000
2021-05-18 23:12:20,560 - classify.py[line:183] - INFO: Epoch 5, toal_loss 3.7638, aver loss 0.0896, train accuracy 0.7695, train auc 0.0000, test accuracy 0.7082, test auc 0.0000
2021-05-18 23:12:20,995 - classify.py[line:183] - INFO: Epoch 6, toal_loss 3.4267, aver loss 0.0699, train accuracy 0.8058, train auc 0.0000, test accuracy 0.7407, test auc 0.0000
2021-05-18 23:12:21,563 - classify.py[line:183] - INFO: Epoch 7, toal_loss 3.2944, aver loss 0.0588, train accuracy 0.7957, train auc 0.0000, test accuracy 0.7367, test auc 0.0000
2021-05-18 23:12:22,105 - classify.py[line:183] - INFO: Epoch 8, toal_loss 3.1898, aver loss 0.0506, train accuracy 0.8186, train auc 0.0000, test accuracy 0.7533, test auc 0.0000
2021-05-18 23:12:22,683 - classify.py[line:183] - INFO: Epoch 9, toal_loss 3.0104, aver loss 0.0430, train accuracy 0.8286, train auc 0.0000, test accuracy 0.7623, test auc 0.0000
2021-05-18 23:12:22,852 - classify.py[line:183] - INFO: Epoch 10, toal_loss 2.8382, aver loss 0.0369, train accuracy 0.8460, train auc 0.0000, test accuracy 0.7563, test auc 0.0000
2021-05-18 23:12:23,011 - classify.py[line:183] - INFO: Epoch 11, toal_loss 2.7280, aver loss 0.0325, train accuracy 0.8683, train auc 0.0000, test accuracy 0.7748, test auc 0.0000
2021-05-18 23:12:23,250 - classify.py[line:183] - INFO: Epoch 12, toal_loss 2.6927, aver loss 0.0296, train accuracy 0.8527, train auc 0.0000, test accuracy 0.7858, test auc 0.0000
2021-05-18 23:12:23,770 - classify.py[line:183] - INFO: Epoch 13, toal_loss 2.6308, aver loss 0.0268, train accuracy 0.8638, train auc 0.0000, test accuracy 0.7798, test auc 0.0000
2021-05-18 23:12:24,252 - classify.py[line:183] - INFO: Epoch 14, toal_loss 2.5547, aver loss 0.0243, train accuracy 0.8772, train auc 0.0000, test accuracy 0.7813, test auc 0.0000
2021-05-18 23:12:24,797 - classify.py[line:183] - INFO: Epoch 15, toal_loss 2.5267, aver loss 0.0226, train accuracy 0.8661, train auc 0.0000, test accuracy 0.8003, test auc 0.0000
2021-05-18 23:12:25,320 - classify.py[line:183] - INFO: Epoch 16, toal_loss 2.4469, aver loss 0.0206, train accuracy 0.8750, train auc 0.0000, test accuracy 0.7938, test auc 0.0000
2021-05-18 23:12:25,857 - classify.py[line:183] - INFO: Epoch 17, toal_loss 2.3249, aver loss 0.0185, train accuracy 0.8661, train auc 0.0000, test accuracy 0.7978, test auc 0.0000
2021-05-18 23:12:26,426 - classify.py[line:183] - INFO: Epoch 18, toal_loss 2.2986, aver loss 0.0173, train accuracy 0.8839, train auc 0.0000, test accuracy 0.7943, test auc 0.0000
2021-05-18 23:12:27,012 - classify.py[line:183] - INFO: Epoch 19, toal_loss 2.1774, aver loss 0.0156, train accuracy 0.8817, train auc 0.0000, test accuracy 0.7993, test auc 0.0000
2021-05-18 23:12:27,601 - classify.py[line:183] - INFO: Epoch 20, toal_loss 2.2259, aver loss 0.0151, train accuracy 0.8795, train auc 0.0000, test accuracy 0.7948, test auc 0.0000
2021-05-18 23:12:28,064 - classify.py[line:183] - INFO: Epoch 21, toal_loss 2.1159, aver loss 0.0137, train accuracy 0.8728, train auc 0.0000, test accuracy 0.8033, test auc 0.0000
2021-05-18 23:12:28,543 - classify.py[line:183] - INFO: Epoch 22, toal_loss 2.0571, aver loss 0.0128, train accuracy 0.8884, train auc 0.0000, test accuracy 0.8088, test auc 0.0000
2021-05-18 23:12:29,013 - classify.py[line:183] - INFO: Epoch 23, toal_loss 2.0981, aver loss 0.0125, train accuracy 0.9040, train auc 0.0000, test accuracy 0.8083, test auc 0.0000
2021-05-18 23:12:29,528 - classify.py[line:183] - INFO: Epoch 24, toal_loss 2.0391, aver loss 0.0117, train accuracy 0.8750, train auc 0.0000, test accuracy 0.8028, test auc 0.0000
2021-05-18 23:12:30,094 - classify.py[line:183] - INFO: Epoch 25, toal_loss 2.0267, aver loss 0.0111, train accuracy 0.9085, train auc 0.0000, test accuracy 0.8058, test auc 0.0000
2021-05-18 23:12:30,546 - classify.py[line:183] - INFO: Epoch 26, toal_loss 2.0116, aver loss 0.0106, train accuracy 0.8996, train auc 0.0000, test accuracy 0.8078, test auc 0.0000
2021-05-18 23:12:31,046 - classify.py[line:183] - INFO: Epoch 27, toal_loss 1.9447, aver loss 0.0099, train accuracy 0.9018, train auc 0.0000, test accuracy 0.8088, test auc 0.0000
2021-05-18 23:12:31,526 - classify.py[line:183] - INFO: Epoch 28, toal_loss 1.9067, aver loss 0.0094, train accuracy 0.8750, train auc 0.0000, test accuracy 0.8093, test auc 0.0000
2021-05-18 23:12:32,128 - classify.py[line:183] - INFO: Epoch 29, toal_loss 1.8210, aver loss 0.0087, train accuracy 0.8951, train auc 0.0000, test accuracy 0.8123, test auc 0.0000
2021-05-18 23:12:32,779 - classify.py[line:183] - INFO: Epoch 30, toal_loss 1.8761, aver loss 0.0086, train accuracy 0.9040, train auc 0.0000, test accuracy 0.8198, test auc 0.0000
2021-05-18 23:12:33,140 - classify.py[line:183] - INFO: Epoch 31, toal_loss 1.6257, aver loss 0.0073, train accuracy 0.9018, train auc 0.0000, test accuracy 0.8088, test auc 0.0000
2021-05-18 23:12:33,745 - classify.py[line:183] - INFO: Epoch 32, toal_loss 1.7712, aver loss 0.0077, train accuracy 0.9174, train auc 0.0000, test accuracy 0.8063, test auc 0.0000
2021-05-18 23:12:34,246 - classify.py[line:183] - INFO: Epoch 33, toal_loss 1.8032, aver loss 0.0076, train accuracy 0.9079, train auc 0.0000, test accuracy 0.8188, test auc 0.0000
2021-05-18 23:12:34,856 - classify.py[line:183] - INFO: Epoch 34, toal_loss 1.6942, aver loss 0.0069, train accuracy 0.9219, train auc 0.0000, test accuracy 0.8198, test auc 0.0000
2021-05-18 23:12:35,301 - classify.py[line:183] - INFO: Epoch 35, toal_loss 1.7025, aver loss 0.0068, train accuracy 0.9196, train auc 0.0000, test accuracy 0.8128, test auc 0.0000
2021-05-18 23:12:35,819 - classify.py[line:183] - INFO: Epoch 36, toal_loss 1.6254, aver loss 0.0063, train accuracy 0.9308, train auc 0.0000, test accuracy 0.8133, test auc 0.0000
2021-05-18 23:12:36,346 - classify.py[line:183] - INFO: Epoch 37, toal_loss 1.6326, aver loss 0.0061, train accuracy 0.9308, train auc 0.0000, test accuracy 0.8163, test auc 0.0000
2021-05-18 23:12:36,951 - classify.py[line:183] - INFO: Epoch 38, toal_loss 1.6951, aver loss 0.0062, train accuracy 0.9263, train auc 0.0000, test accuracy 0.8158, test auc 0.0000
2021-05-18 23:12:37,469 - classify.py[line:183] - INFO: Epoch 39, toal_loss 1.6891, aver loss 0.0060, train accuracy 0.9196, train auc 0.0000, test accuracy 0.8188, test auc 0.0000
2021-05-18 23:12:37,928 - classify.py[line:183] - INFO: Epoch 40, toal_loss 1.6158, aver loss 0.0056, train accuracy 0.9330, train auc 0.0000, test accuracy 0.8198, test auc 0.0000
2021-05-18 23:12:38,533 - classify.py[line:183] - INFO: Epoch 41, toal_loss 1.6046, aver loss 0.0055, train accuracy 0.9308, train auc 0.0000, test accuracy 0.8183, test auc 0.0000
2021-05-18 23:12:39,011 - classify.py[line:183] - INFO: Epoch 42, toal_loss 1.5510, aver loss 0.0052, train accuracy 0.9263, train auc 0.0000, test accuracy 0.8163, test auc 0.0000
2021-05-18 23:12:39,587 - classify.py[line:183] - INFO: Epoch 43, toal_loss 1.4560, aver loss 0.0047, train accuracy 0.9308, train auc 0.0000, test accuracy 0.8168, test auc 0.0000
2021-05-18 23:12:40,049 - classify.py[line:183] - INFO: Epoch 44, toal_loss 1.5317, aver loss 0.0049, train accuracy 0.9196, train auc 0.0000, test accuracy 0.8163, test auc 0.0000
2021-05-18 23:12:40,209 - classify.py[line:183] - INFO: Epoch 45, toal_loss 1.4514, aver loss 0.0045, train accuracy 0.9375, train auc 0.0000, test accuracy 0.8263, test auc 0.0000
2021-05-18 23:12:40,361 - classify.py[line:183] - INFO: Epoch 46, toal_loss 1.4697, aver loss 0.0045, train accuracy 0.9286, train auc 0.0000, test accuracy 0.8118, test auc 0.0000
2021-05-18 23:12:40,605 - classify.py[line:183] - INFO: Epoch 47, toal_loss 1.3978, aver loss 0.0042, train accuracy 0.9353, train auc 0.0000, test accuracy 0.8173, test auc 0.0000
2021-05-18 23:12:41,008 - classify.py[line:183] - INFO: Epoch 48, toal_loss 1.4317, aver loss 0.0042, train accuracy 0.9353, train auc 0.0000, test accuracy 0.8218, test auc 0.0000
2021-05-18 23:12:41,664 - classify.py[line:183] - INFO: Epoch 49, toal_loss 1.3199, aver loss 0.0038, train accuracy 0.9397, train auc 0.0000, test accuracy 0.8143, test auc 0.0000
2021-05-18 23:12:42,783 - classify.py[line:121] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.0001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 5, 'poSampleNum': 3, 'max_bound': 1.0, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 23:12:42,807 - classify.py[line:139] - INFO: before training: 0.5190190076828003
2021-05-18 23:12:42,808 - classify.py[line:153] - INFO: ...start training...
2021-05-18 23:12:43,970 - classify.py[line:183] - INFO: Epoch 0, toal_loss 9.3414, aver loss 0.7186, train accuracy 0.5732, train auc 0.0000, test accuracy 0.6011, test auc 0.0000
2021-05-18 23:12:44,943 - classify.py[line:183] - INFO: Epoch 1, toal_loss 8.2283, aver loss 0.3165, train accuracy 0.6502, train auc 0.0000, test accuracy 0.6722, test auc 0.0000
2021-05-18 23:12:45,939 - classify.py[line:183] - INFO: Epoch 2, toal_loss 7.4032, aver loss 0.1898, train accuracy 0.7227, train auc 0.0000, test accuracy 0.7077, test auc 0.0000
2021-05-18 23:12:46,945 - classify.py[line:183] - INFO: Epoch 3, toal_loss 6.7063, aver loss 0.1290, train accuracy 0.7733, train auc 0.0000, test accuracy 0.7497, test auc 0.0000
2021-05-18 23:12:47,866 - classify.py[line:183] - INFO: Epoch 4, toal_loss 6.2645, aver loss 0.0964, train accuracy 0.7878, train auc 0.0000, test accuracy 0.7623, test auc 0.0000
2021-05-18 23:12:48,923 - classify.py[line:183] - INFO: Epoch 5, toal_loss 5.9912, aver loss 0.0768, train accuracy 0.8204, train auc 0.0000, test accuracy 0.7728, test auc 0.0000
2021-05-18 23:12:49,897 - classify.py[line:183] - INFO: Epoch 6, toal_loss 5.6292, aver loss 0.0619, train accuracy 0.8156, train auc 0.0000, test accuracy 0.7908, test auc 0.0000
2021-05-18 23:12:50,793 - classify.py[line:183] - INFO: Epoch 7, toal_loss 5.3147, aver loss 0.0511, train accuracy 0.8313, train auc 0.0000, test accuracy 0.8078, test auc 0.0000
2021-05-18 23:12:51,739 - classify.py[line:183] - INFO: Epoch 8, toal_loss 5.1848, aver loss 0.0443, train accuracy 0.8266, train auc 0.0000, test accuracy 0.8103, test auc 0.0000
2021-05-18 23:12:52,600 - classify.py[line:183] - INFO: Epoch 9, toal_loss 4.9526, aver loss 0.0381, train accuracy 0.8288, train auc 0.0000, test accuracy 0.8293, test auc 0.0000
