2021-05-19 13:43:57,867 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='PC', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=103, seed=2, use_aug=0)
2021-05-19 13:44:09,079 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 50, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-19 13:44:09,463 - classify.py[line:140] - INFO: before training: 0.5107702612876892
2021-05-19 13:44:09,464 - classify.py[line:154] - INFO: ...start training...
2021-05-19 13:44:11,410 - classify.py[line:184] - INFO: Epoch 0, toal_loss 18.5945, aver loss 0.6412, train accuracy 0.6399, train auc 0.0000, test accuracy 0.6579, test auc 0.0000
2021-05-19 13:44:13,258 - classify.py[line:184] - INFO: Epoch 1, toal_loss 14.9637, aver loss 0.2580, train accuracy 0.8182, train auc 0.0000, test accuracy 0.7440, test auc 0.0000
2021-05-19 13:44:15,431 - classify.py[line:184] - INFO: Epoch 2, toal_loss 12.8318, aver loss 0.1475, train accuracy 0.8637, train auc 0.0000, test accuracy 0.7719, test auc 0.0000
2021-05-19 13:44:16,901 - classify.py[line:184] - INFO: Epoch 3, toal_loss 11.1890, aver loss 0.0965, train accuracy 0.8815, train auc 0.0000, test accuracy 0.7888, test auc 0.0000
2021-05-19 13:44:18,696 - classify.py[line:184] - INFO: Epoch 4, toal_loss 10.1362, aver loss 0.0699, train accuracy 0.8895, train auc 0.0000, test accuracy 0.7979, test auc 0.0000
2021-05-19 13:44:20,818 - classify.py[line:184] - INFO: Epoch 5, toal_loss 9.2404, aver loss 0.0531, train accuracy 0.8966, train auc 0.0000, test accuracy 0.8057, test auc 0.0000
2021-05-19 13:44:22,690 - classify.py[line:184] - INFO: Epoch 6, toal_loss 8.5779, aver loss 0.0423, train accuracy 0.8976, train auc 0.0000, test accuracy 0.8131, test auc 0.0000
2021-05-19 13:44:24,403 - classify.py[line:184] - INFO: Epoch 7, toal_loss 8.0182, aver loss 0.0346, train accuracy 0.9062, train auc 0.0000, test accuracy 0.8114, test auc 0.0000
2021-05-19 13:44:26,460 - classify.py[line:184] - INFO: Epoch 8, toal_loss 7.5608, aver loss 0.0290, train accuracy 0.9073, train auc 0.0000, test accuracy 0.8148, test auc 0.0000
2021-05-19 13:44:28,492 - classify.py[line:184] - INFO: Epoch 9, toal_loss 7.2231, aver loss 0.0249, train accuracy 0.9176, train auc 0.0000, test accuracy 0.8199, test auc 0.0000
2021-05-19 13:44:30,295 - classify.py[line:184] - INFO: Epoch 10, toal_loss 7.0003, aver loss 0.0219, train accuracy 0.9116, train auc 0.0000, test accuracy 0.8205, test auc 0.0000
2021-05-19 13:44:31,730 - classify.py[line:184] - INFO: Epoch 11, toal_loss 6.7818, aver loss 0.0195, train accuracy 0.9197, train auc 0.0000, test accuracy 0.8202, test auc 0.0000
2021-05-19 13:44:32,829 - classify.py[line:184] - INFO: Epoch 12, toal_loss 6.5401, aver loss 0.0173, train accuracy 0.9192, train auc 0.0000, test accuracy 0.8214, test auc 0.0000
2021-05-19 13:44:33,393 - classify.py[line:184] - INFO: Epoch 13, toal_loss 6.1842, aver loss 0.0152, train accuracy 0.9262, train auc 0.0000, test accuracy 0.8234, test auc 0.0000
2021-05-19 13:44:34,679 - classify.py[line:184] - INFO: Epoch 14, toal_loss 5.9565, aver loss 0.0137, train accuracy 0.9246, train auc 0.0000, test accuracy 0.8261, test auc 0.0000
2021-05-19 13:44:36,284 - classify.py[line:184] - INFO: Epoch 15, toal_loss 5.8239, aver loss 0.0126, train accuracy 0.9230, train auc 0.0000, test accuracy 0.8276, test auc 0.0000
2021-05-19 13:44:37,900 - classify.py[line:184] - INFO: Epoch 16, toal_loss 5.5715, aver loss 0.0113, train accuracy 0.9273, train auc 0.0000, test accuracy 0.8275, test auc 0.0000
2021-05-19 13:44:39,425 - classify.py[line:184] - INFO: Epoch 17, toal_loss 5.5138, aver loss 0.0106, train accuracy 0.9273, train auc 0.0000, test accuracy 0.8281, test auc 0.0000
2021-05-19 13:44:40,901 - classify.py[line:184] - INFO: Epoch 18, toal_loss 5.4593, aver loss 0.0099, train accuracy 0.9267, train auc 0.0000, test accuracy 0.8286, test auc 0.0000
2021-05-19 13:44:42,384 - classify.py[line:184] - INFO: Epoch 19, toal_loss 5.3173, aver loss 0.0092, train accuracy 0.9316, train auc 0.0000, test accuracy 0.8273, test auc 0.0000
2021-05-19 13:44:43,818 - classify.py[line:184] - INFO: Epoch 20, toal_loss 5.1499, aver loss 0.0085, train accuracy 0.9386, train auc 0.0000, test accuracy 0.8313, test auc 0.0000
2021-05-19 13:44:45,278 - classify.py[line:184] - INFO: Epoch 21, toal_loss 5.0680, aver loss 0.0079, train accuracy 0.9364, train auc 0.0000, test accuracy 0.8277, test auc 0.0000
2021-05-19 13:44:46,621 - classify.py[line:184] - INFO: Epoch 22, toal_loss 4.8982, aver loss 0.0073, train accuracy 0.9391, train auc 0.0000, test accuracy 0.8289, test auc 0.0000
2021-05-19 13:44:47,105 - classify.py[line:184] - INFO: Epoch 23, toal_loss 4.8251, aver loss 0.0069, train accuracy 0.9386, train auc 0.0000, test accuracy 0.8300, test auc 0.0000
2021-05-19 13:44:48,493 - classify.py[line:184] - INFO: Epoch 24, toal_loss 4.8712, aver loss 0.0067, train accuracy 0.9386, train auc 0.0000, test accuracy 0.8324, test auc 0.0000
2021-05-19 13:44:50,120 - classify.py[line:184] - INFO: Epoch 25, toal_loss 4.6327, aver loss 0.0061, train accuracy 0.9429, train auc 0.0000, test accuracy 0.8311, test auc 0.0000
2021-05-19 13:44:51,792 - classify.py[line:184] - INFO: Epoch 26, toal_loss 4.5786, aver loss 0.0058, train accuracy 0.9386, train auc 0.0000, test accuracy 0.8314, test auc 0.0000
2021-05-19 13:44:53,340 - classify.py[line:184] - INFO: Epoch 27, toal_loss 4.5110, aver loss 0.0056, train accuracy 0.9423, train auc 0.0000, test accuracy 0.8335, test auc 0.0000
2021-05-19 13:44:54,936 - classify.py[line:184] - INFO: Epoch 28, toal_loss 4.5433, aver loss 0.0054, train accuracy 0.9440, train auc 0.0000, test accuracy 0.8322, test auc 0.0000
2021-05-19 13:44:56,220 - classify.py[line:184] - INFO: Epoch 29, toal_loss 4.3561, aver loss 0.0050, train accuracy 0.9450, train auc 0.0000, test accuracy 0.8320, test auc 0.0000
2021-05-19 13:44:57,783 - classify.py[line:184] - INFO: Epoch 30, toal_loss 4.2473, aver loss 0.0047, train accuracy 0.9450, train auc 0.0000, test accuracy 0.8321, test auc 0.0000
2021-05-19 13:44:58,272 - classify.py[line:184] - INFO: Epoch 31, toal_loss 4.1149, aver loss 0.0044, train accuracy 0.9477, train auc 0.0000, test accuracy 0.8324, test auc 0.0000
2021-05-19 13:44:59,618 - classify.py[line:184] - INFO: Epoch 32, toal_loss 4.2143, aver loss 0.0044, train accuracy 0.9483, train auc 0.0000, test accuracy 0.8330, test auc 0.0000
