2021-05-19 16:47:00,282 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='PC', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='104_model_1_5_0.839.pt', modelname='TextCNN', modelnum=0, resultnum=103, seed=2, use_aug=1)
2021-05-19 16:47:06,159 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 15, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 5, 'poSampleNum': 1, 'max_bound': 0.8, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-19 16:47:06,443 - classify.py[line:140] - INFO: before training: 0.8370361924171448
2021-05-19 16:47:06,444 - classify.py[line:154] - INFO: ...start training...
2021-05-19 16:47:07,080 - classify.py[line:184] - INFO: Epoch 0, toal_loss 7.0000, aver loss 0.2414, train accuracy 0.9150, train auc 0.0000, test accuracy 0.8375, test auc 0.0000
2021-05-19 16:47:07,763 - classify.py[line:184] - INFO: Epoch 1, toal_loss 6.5850, aver loss 0.1135, train accuracy 0.9227, train auc 0.0000, test accuracy 0.8392, test auc 0.0000
2021-05-19 16:47:08,416 - classify.py[line:184] - INFO: Epoch 2, toal_loss 6.2525, aver loss 0.0719, train accuracy 0.9314, train auc 0.0000, test accuracy 0.8381, test auc 0.0000
2021-05-19 16:47:08,970 - classify.py[line:184] - INFO: Epoch 3, toal_loss 5.9886, aver loss 0.0516, train accuracy 0.9324, train auc 0.0000, test accuracy 0.8391, test auc 0.0000
2021-05-19 16:47:09,700 - classify.py[line:184] - INFO: Epoch 4, toal_loss 5.7645, aver loss 0.0398, train accuracy 0.9351, train auc 0.0000, test accuracy 0.8374, test auc 0.0000
2021-05-19 16:47:10,405 - classify.py[line:184] - INFO: Epoch 5, toal_loss 5.7604, aver loss 0.0331, train accuracy 0.9333, train auc 0.0000, test accuracy 0.8378, test auc 0.0000
2021-05-19 16:47:11,100 - classify.py[line:184] - INFO: Epoch 6, toal_loss 5.5197, aver loss 0.0272, train accuracy 0.9389, train auc 0.0000, test accuracy 0.8378, test auc 0.0000
2021-05-19 16:47:11,815 - classify.py[line:184] - INFO: Epoch 7, toal_loss 5.3344, aver loss 0.0230, train accuracy 0.9400, train auc 0.0000, test accuracy 0.8403, test auc 0.0000
2021-05-19 16:47:12,363 - classify.py[line:184] - INFO: Epoch 8, toal_loss 5.0930, aver loss 0.0195, train accuracy 0.9394, train auc 0.0000, test accuracy 0.8386, test auc 0.0000
2021-05-19 16:47:13,033 - classify.py[line:184] - INFO: Epoch 9, toal_loss 5.1045, aver loss 0.0176, train accuracy 0.9450, train auc 0.0000, test accuracy 0.8414, test auc 0.0000
2021-05-19 16:47:13,752 - classify.py[line:184] - INFO: Epoch 10, toal_loss 4.9932, aver loss 0.0157, train accuracy 0.9413, train auc 0.0000, test accuracy 0.8430, test auc 0.0000
2021-05-19 16:47:14,341 - classify.py[line:184] - INFO: Epoch 11, toal_loss 4.8470, aver loss 0.0139, train accuracy 0.9483, train auc 0.0000, test accuracy 0.8415, test auc 0.0000
2021-05-19 16:47:15,035 - classify.py[line:184] - INFO: Epoch 12, toal_loss 4.8410, aver loss 0.0128, train accuracy 0.9434, train auc 0.0000, test accuracy 0.8401, test auc 0.0000
2021-05-19 16:47:15,728 - classify.py[line:184] - INFO: Epoch 13, toal_loss 4.7997, aver loss 0.0118, train accuracy 0.9434, train auc 0.0000, test accuracy 0.8419, test auc 0.0000
2021-05-19 16:47:16,283 - classify.py[line:184] - INFO: Epoch 14, toal_loss 4.5563, aver loss 0.0105, train accuracy 0.9483, train auc 0.0000, test accuracy 0.8419, test auc 0.0000
2021-05-19 16:47:16,920 - classify.py[line:184] - INFO: Epoch 15, toal_loss 4.4819, aver loss 0.0097, train accuracy 0.9520, train auc 0.0000, test accuracy 0.8412, test auc 0.0000
2021-05-19 16:47:17,555 - classify.py[line:184] - INFO: Epoch 16, toal_loss 4.5483, aver loss 0.0092, train accuracy 0.9488, train auc 0.0000, test accuracy 0.8414, test auc 0.0000
2021-05-19 16:47:18,209 - classify.py[line:184] - INFO: Epoch 17, toal_loss 4.4751, aver loss 0.0086, train accuracy 0.9515, train auc 0.0000, test accuracy 0.8387, test auc 0.0000
2021-05-19 16:47:18,928 - classify.py[line:184] - INFO: Epoch 18, toal_loss 4.3733, aver loss 0.0079, train accuracy 0.9461, train auc 0.0000, test accuracy 0.8391, test auc 0.0000
2021-05-19 16:47:19,470 - classify.py[line:184] - INFO: Epoch 19, toal_loss 4.3432, aver loss 0.0075, train accuracy 0.9564, train auc 0.0000, test accuracy 0.8417, test auc 0.0000
2021-05-19 16:47:20,132 - classify.py[line:184] - INFO: Epoch 20, toal_loss 4.1487, aver loss 0.0068, train accuracy 0.9526, train auc 0.0000, test accuracy 0.8397, test auc 0.0000
2021-05-19 16:47:20,829 - classify.py[line:184] - INFO: Epoch 21, toal_loss 4.1624, aver loss 0.0065, train accuracy 0.9537, train auc 0.0000, test accuracy 0.8410, test auc 0.0000
2021-05-19 16:47:21,413 - classify.py[line:184] - INFO: Epoch 22, toal_loss 4.0478, aver loss 0.0061, train accuracy 0.9526, train auc 0.0000, test accuracy 0.8406, test auc 0.0000
2021-05-19 16:47:22,101 - classify.py[line:184] - INFO: Epoch 23, toal_loss 3.9255, aver loss 0.0056, train accuracy 0.9526, train auc 0.0000, test accuracy 0.8400, test auc 0.0000
2021-05-19 16:47:22,731 - classify.py[line:184] - INFO: Epoch 24, toal_loss 3.8355, aver loss 0.0053, train accuracy 0.9531, train auc 0.0000, test accuracy 0.8404, test auc 0.0000
2021-05-19 16:47:23,365 - classify.py[line:184] - INFO: Epoch 25, toal_loss 3.9183, aver loss 0.0052, train accuracy 0.9585, train auc 0.0000, test accuracy 0.8387, test auc 0.0000
2021-05-19 16:47:23,650 - classify.py[line:184] - INFO: Epoch 26, toal_loss 3.7746, aver loss 0.0048, train accuracy 0.9612, train auc 0.0000, test accuracy 0.8413, test auc 0.0000
2021-05-19 16:47:23,993 - classify.py[line:184] - INFO: Epoch 27, toal_loss 3.8743, aver loss 0.0048, train accuracy 0.9574, train auc 0.0000, test accuracy 0.8424, test auc 0.0000
2021-05-19 16:47:24,395 - classify.py[line:184] - INFO: Epoch 28, toal_loss 3.7228, aver loss 0.0044, train accuracy 0.9591, train auc 0.0000, test accuracy 0.8390, test auc 0.0000
