2021-05-20 10:54:43,432 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='IMDB', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=109, seed=1, use_aug=0)
2021-05-20 10:55:21,215 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 50, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-20 10:55:22,145 - classify.py[line:140] - INFO: before training: 0.499500036239624
2021-05-20 10:55:22,146 - classify.py[line:154] - INFO: ...start training...
2021-05-20 10:55:22,927 - classify.py[line:184] - INFO: Epoch 0, toal_loss 2.9891, aver loss 0.7473, train accuracy 0.5098, train auc 0.0000, test accuracy 0.5130, test auc 0.0000
2021-05-20 10:55:23,776 - classify.py[line:184] - INFO: Epoch 1, toal_loss 2.6338, aver loss 0.3292, train accuracy 0.5974, train auc 0.0000, test accuracy 0.5105, test auc 0.0000
2021-05-20 10:55:24,747 - classify.py[line:184] - INFO: Epoch 2, toal_loss 2.6432, aver loss 0.2203, train accuracy 0.6220, train auc 0.0000, test accuracy 0.5265, test auc 0.0000
2021-05-20 10:55:25,835 - classify.py[line:184] - INFO: Epoch 3, toal_loss 2.6116, aver loss 0.1632, train accuracy 0.6482, train auc 0.0000, test accuracy 0.5265, test auc 0.0000
2021-05-20 10:55:27,024 - classify.py[line:184] - INFO: Epoch 4, toal_loss 2.5918, aver loss 0.1296, train accuracy 0.6732, train auc 0.0000, test accuracy 0.5450, test auc 0.0000
2021-05-20 10:55:28,106 - classify.py[line:184] - INFO: Epoch 5, toal_loss 2.4653, aver loss 0.1027, train accuracy 0.6979, train auc 0.0000, test accuracy 0.5515, test auc 0.0000
2021-05-20 10:55:29,183 - classify.py[line:184] - INFO: Epoch 6, toal_loss 2.3640, aver loss 0.0844, train accuracy 0.7076, train auc 0.0000, test accuracy 0.5360, test auc 0.0000
2021-05-20 10:55:30,174 - classify.py[line:184] - INFO: Epoch 7, toal_loss 2.4191, aver loss 0.0756, train accuracy 0.6979, train auc 0.0000, test accuracy 0.5330, test auc 0.0000
2021-05-20 10:55:31,411 - classify.py[line:184] - INFO: Epoch 8, toal_loss 2.3454, aver loss 0.0651, train accuracy 0.7045, train auc 0.0000, test accuracy 0.5410, test auc 0.0000
2021-05-20 10:55:32,480 - classify.py[line:184] - INFO: Epoch 9, toal_loss 2.2846, aver loss 0.0571, train accuracy 0.7600, train auc 0.0000, test accuracy 0.5665, test auc 0.0000
2021-05-20 10:55:33,712 - classify.py[line:184] - INFO: Epoch 10, toal_loss 2.0898, aver loss 0.0475, train accuracy 0.7729, train auc 0.0000, test accuracy 0.5755, test auc 0.0000
2021-05-20 10:55:35,027 - classify.py[line:184] - INFO: Epoch 11, toal_loss 2.1073, aver loss 0.0439, train accuracy 0.7651, train auc 0.0000, test accuracy 0.5530, test auc 0.0000
2021-05-20 10:55:36,190 - classify.py[line:184] - INFO: Epoch 12, toal_loss 2.0721, aver loss 0.0398, train accuracy 0.8416, train auc 0.0000, test accuracy 0.5700, test auc 0.0000
2021-05-20 10:55:37,261 - classify.py[line:184] - INFO: Epoch 13, toal_loss 2.0138, aver loss 0.0360, train accuracy 0.8483, train auc 0.0000, test accuracy 0.5675, test auc 0.0000
2021-05-20 10:55:38,330 - classify.py[line:184] - INFO: Epoch 14, toal_loss 1.9737, aver loss 0.0329, train accuracy 0.8159, train auc 0.0000, test accuracy 0.5575, test auc 0.0000
2021-05-20 10:55:39,026 - classify.py[line:184] - INFO: Epoch 15, toal_loss 1.9509, aver loss 0.0305, train accuracy 0.7951, train auc 0.0000, test accuracy 0.5750, test auc 0.0000
2021-05-20 10:55:39,712 - classify.py[line:184] - INFO: Epoch 16, toal_loss 1.9583, aver loss 0.0288, train accuracy 0.8413, train auc 0.0000, test accuracy 0.5795, test auc 0.0000
2021-05-20 10:55:40,436 - classify.py[line:184] - INFO: Epoch 17, toal_loss 1.8314, aver loss 0.0254, train accuracy 0.7729, train auc 0.0000, test accuracy 0.5900, test auc 0.0000
