2021-05-20 12:28:51,107 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='IMDB', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='109_model_1_8_0.723.pt', modelname='TextCNN', modelnum=0, resultnum=109, seed=1, use_aug=1)
2021-05-20 12:29:24,875 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 30, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 128, 'cuda': True, 'negSampleNum': 8, 'poSampleNum': 1, 'max_bound': 0.7, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-20 12:29:25,452 - classify.py[line:140] - INFO: before training: 0.733500063419342
2021-05-20 12:29:25,452 - classify.py[line:154] - INFO: ...start training...
2021-05-20 12:29:26,420 - classify.py[line:184] - INFO: Epoch 0, toal_loss 4.6325, aver loss 1.1581, train accuracy 0.8202, train auc 0.0000, test accuracy 0.7460, test auc 0.0000
2021-05-20 12:29:27,663 - classify.py[line:184] - INFO: Epoch 1, toal_loss 4.5388, aver loss 0.5674, train accuracy 0.8397, train auc 0.0000, test accuracy 0.7425, test auc 0.0000
2021-05-20 12:29:28,877 - classify.py[line:184] - INFO: Epoch 2, toal_loss 4.3894, aver loss 0.3658, train accuracy 0.8592, train auc 0.0000, test accuracy 0.7450, test auc 0.0000
2021-05-20 12:29:29,429 - classify.py[line:184] - INFO: Epoch 3, toal_loss 3.9026, aver loss 0.2439, train accuracy 0.8268, train auc 0.0000, test accuracy 0.7475, test auc 0.0000
2021-05-20 12:29:30,539 - classify.py[line:184] - INFO: Epoch 4, toal_loss 3.6329, aver loss 0.1816, train accuracy 0.8561, train auc 0.0000, test accuracy 0.7530, test auc 0.0000
2021-05-20 12:29:31,659 - classify.py[line:184] - INFO: Epoch 5, toal_loss 3.8260, aver loss 0.1594, train accuracy 0.8600, train auc 0.0000, test accuracy 0.7400, test auc 0.0000
2021-05-20 12:29:32,587 - classify.py[line:184] - INFO: Epoch 6, toal_loss 3.6859, aver loss 0.1316, train accuracy 0.8636, train auc 0.0000, test accuracy 0.7445, test auc 0.0000
2021-05-20 12:29:33,904 - classify.py[line:184] - INFO: Epoch 7, toal_loss 3.8492, aver loss 0.1203, train accuracy 0.8557, train auc 0.0000, test accuracy 0.7365, test auc 0.0000
2021-05-20 12:29:34,984 - classify.py[line:184] - INFO: Epoch 8, toal_loss 3.4835, aver loss 0.0968, train accuracy 0.8757, train auc 0.0000, test accuracy 0.7440, test auc 0.0000
2021-05-20 12:29:36,092 - classify.py[line:184] - INFO: Epoch 9, toal_loss 3.0979, aver loss 0.0774, train accuracy 0.8644, train auc 0.0000, test accuracy 0.7470, test auc 0.0000
2021-05-20 12:29:37,040 - classify.py[line:184] - INFO: Epoch 10, toal_loss 3.1321, aver loss 0.0712, train accuracy 0.8956, train auc 0.0000, test accuracy 0.7390, test auc 0.0000
2021-05-20 12:29:37,930 - classify.py[line:184] - INFO: Epoch 11, toal_loss 2.9765, aver loss 0.0620, train accuracy 0.8636, train auc 0.0000, test accuracy 0.7485, test auc 0.0000
2021-05-20 12:29:38,636 - classify.py[line:184] - INFO: Epoch 12, toal_loss 2.7880, aver loss 0.0536, train accuracy 0.8749, train auc 0.0000, test accuracy 0.7500, test auc 0.0000
2021-05-20 12:29:39,549 - classify.py[line:184] - INFO: Epoch 13, toal_loss 2.6547, aver loss 0.0474, train accuracy 0.8917, train auc 0.0000, test accuracy 0.7445, test auc 0.0000
2021-05-20 12:29:40,534 - classify.py[line:184] - INFO: Epoch 14, toal_loss 2.4792, aver loss 0.0413, train accuracy 0.8925, train auc 0.0000, test accuracy 0.7530, test auc 0.0000
2021-05-20 12:29:41,374 - classify.py[line:184] - INFO: Epoch 15, toal_loss 2.3952, aver loss 0.0374, train accuracy 0.8917, train auc 0.0000, test accuracy 0.7505, test auc 0.0000
2021-05-20 12:29:42,408 - classify.py[line:184] - INFO: Epoch 16, toal_loss 2.3851, aver loss 0.0351, train accuracy 0.8726, train auc 0.0000, test accuracy 0.7400, test auc 0.0000
2021-05-20 12:29:43,353 - classify.py[line:184] - INFO: Epoch 17, toal_loss 2.2758, aver loss 0.0316, train accuracy 0.8843, train auc 0.0000, test accuracy 0.7480, test auc 0.0000
2021-05-20 12:29:44,568 - classify.py[line:184] - INFO: Epoch 18, toal_loss 2.2461, aver loss 0.0296, train accuracy 0.8913, train auc 0.0000, test accuracy 0.7590, test auc 0.0000
2021-05-20 12:29:45,685 - classify.py[line:184] - INFO: Epoch 19, toal_loss 1.8829, aver loss 0.0235, train accuracy 0.8960, train auc 0.0000, test accuracy 0.7495, test auc 0.0000
2021-05-20 12:29:46,641 - classify.py[line:184] - INFO: Epoch 20, toal_loss 1.9117, aver loss 0.0228, train accuracy 0.9042, train auc 0.0000, test accuracy 0.7440, test auc 0.0000
2021-05-20 12:29:47,642 - classify.py[line:184] - INFO: Epoch 21, toal_loss 1.5978, aver loss 0.0182, train accuracy 0.8917, train auc 0.0000, test accuracy 0.7560, test auc 0.0000
2021-05-20 12:29:48,745 - classify.py[line:184] - INFO: Epoch 22, toal_loss 1.7290, aver loss 0.0188, train accuracy 0.8968, train auc 0.0000, test accuracy 0.7540, test auc 0.0000
2021-05-20 12:29:49,603 - classify.py[line:184] - INFO: Epoch 23, toal_loss 1.5244, aver loss 0.0159, train accuracy 0.9077, train auc 0.0000, test accuracy 0.7485, test auc 0.0000
2021-05-20 12:29:50,579 - classify.py[line:184] - INFO: Epoch 24, toal_loss 1.3419, aver loss 0.0134, train accuracy 0.9242, train auc 0.0000, test accuracy 0.7570, test auc 0.0000
2021-05-20 12:29:51,902 - classify.py[line:184] - INFO: Epoch 25, toal_loss 1.4629, aver loss 0.0141, train accuracy 0.9124, train auc 0.0000, test accuracy 0.7610, test auc 0.0000
2021-05-20 12:29:52,913 - classify.py[line:184] - INFO: Epoch 26, toal_loss 1.3597, aver loss 0.0126, train accuracy 0.9081, train auc 0.0000, test accuracy 0.7620, test auc 0.0000
2021-05-20 12:29:54,191 - classify.py[line:184] - INFO: Epoch 27, toal_loss 1.3885, aver loss 0.0124, train accuracy 0.9289, train auc 0.0000, test accuracy 0.7555, test auc 0.0000
2021-05-20 12:29:55,209 - classify.py[line:184] - INFO: Epoch 28, toal_loss 1.2552, aver loss 0.0108, train accuracy 0.9242, train auc 0.0000, test accuracy 0.7605, test auc 0.0000
2021-05-20 12:29:56,220 - classify.py[line:184] - INFO: Epoch 29, toal_loss 1.2227, aver loss 0.0102, train accuracy 0.9285, train auc 0.0000, test accuracy 0.7520, test auc 0.0000
2021-05-20 12:29:57,423 - classify.py[line:184] - INFO: Epoch 30, toal_loss 1.1283, aver loss 0.0091, train accuracy 0.9242, train auc 0.0000, test accuracy 0.7520, test auc 0.0000
2021-05-20 12:29:57,941 - classify.py[line:184] - INFO: Epoch 31, toal_loss 1.2204, aver loss 0.0095, train accuracy 0.9246, train auc 0.0000, test accuracy 0.7670, test auc 0.0000
2021-05-20 12:29:59,048 - classify.py[line:184] - INFO: Epoch 32, toal_loss 1.2328, aver loss 0.0093, train accuracy 0.9159, train auc 0.0000, test accuracy 0.7660, test auc 0.0000
2021-05-20 12:30:00,167 - classify.py[line:184] - INFO: Epoch 33, toal_loss 1.1185, aver loss 0.0082, train accuracy 0.9328, train auc 0.0000, test accuracy 0.7560, test auc 0.0000
2021-05-20 12:30:01,357 - classify.py[line:184] - INFO: Epoch 34, toal_loss 1.0072, aver loss 0.0072, train accuracy 0.9289, train auc 0.0000, test accuracy 0.7565, test auc 0.0000
2021-05-20 12:30:02,434 - classify.py[line:184] - INFO: Epoch 35, toal_loss 0.8757, aver loss 0.0061, train accuracy 0.9207, train auc 0.0000, test accuracy 0.7640, test auc 0.0000
2021-05-20 12:30:03,612 - classify.py[line:184] - INFO: Epoch 36, toal_loss 0.9458, aver loss 0.0064, train accuracy 0.9324, train auc 0.0000, test accuracy 0.7645, test auc 0.0000
2021-05-20 12:30:04,535 - classify.py[line:184] - INFO: Epoch 37, toal_loss 0.8350, aver loss 0.0055, train accuracy 0.9168, train auc 0.0000, test accuracy 0.7565, test auc 0.0000
