2021-05-20 15:45:37,804 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='IMDB', epoch=30, gpu=1, l2=0.0001, lr=0.0001, modelfilename='110_Epoch_20_model_1_12_0.752.pt', modelname='TextCNN', modelnum=0, resultnum=110, seed=1, use_aug=1)
2021-05-20 15:45:52,199 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 13, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.0005, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 12, 'poSampleNum': 1, 'max_bound': 0.8, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-20 15:45:52,661 - classify.py[line:140] - INFO: before training: 0.7390000224113464
2021-05-20 15:45:52,661 - classify.py[line:154] - INFO: ...start training...
2021-05-20 15:45:53,209 - classify.py[line:184] - INFO: Epoch 0, toal_loss 3.5170, aver loss 0.8793, train accuracy 0.8561, train auc 0.0000, test accuracy 0.7540, test auc 0.0000
2021-05-20 15:45:53,718 - classify.py[line:184] - INFO: Epoch 1, toal_loss 3.4640, aver loss 0.4330, train accuracy 0.8671, train auc 0.0000, test accuracy 0.7570, test auc 0.0000
2021-05-20 15:45:54,222 - classify.py[line:184] - INFO: Epoch 2, toal_loss 3.2820, aver loss 0.2735, train accuracy 0.8631, train auc 0.0000, test accuracy 0.7460, test auc 0.0000
2021-05-20 15:45:54,734 - classify.py[line:184] - INFO: Epoch 3, toal_loss 3.0221, aver loss 0.1889, train accuracy 0.8467, train auc 0.0000, test accuracy 0.7580, test auc 0.0000
2021-05-20 15:45:55,241 - classify.py[line:184] - INFO: Epoch 4, toal_loss 2.6888, aver loss 0.1344, train accuracy 0.8600, train auc 0.0000, test accuracy 0.7555, test auc 0.0000
2021-05-20 15:45:55,759 - classify.py[line:184] - INFO: Epoch 5, toal_loss 2.6801, aver loss 0.1117, train accuracy 0.8561, train auc 0.0000, test accuracy 0.7535, test auc 0.0000
2021-05-20 15:45:56,327 - classify.py[line:184] - INFO: Epoch 6, toal_loss 2.4585, aver loss 0.0878, train accuracy 0.8800, train auc 0.0000, test accuracy 0.7525, test auc 0.0000
2021-05-20 15:45:56,853 - classify.py[line:184] - INFO: Epoch 7, toal_loss 2.5804, aver loss 0.0806, train accuracy 0.8800, train auc 0.0000, test accuracy 0.7500, test auc 0.0000
2021-05-20 15:45:57,390 - classify.py[line:184] - INFO: Epoch 8, toal_loss 2.2633, aver loss 0.0629, train accuracy 0.8882, train auc 0.0000, test accuracy 0.7550, test auc 0.0000
2021-05-20 15:45:57,900 - classify.py[line:184] - INFO: Epoch 9, toal_loss 1.9850, aver loss 0.0496, train accuracy 0.8886, train auc 0.0000, test accuracy 0.7600, test auc 0.0000
2021-05-20 15:45:58,620 - classify.py[line:184] - INFO: Epoch 10, toal_loss 1.8777, aver loss 0.0427, train accuracy 0.8917, train auc 0.0000, test accuracy 0.7555, test auc 0.0000
