2021-05-20 19:20:44,523 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='TREC', epoch=30, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=115, seed=1, use_aug=0)
2021-05-20 19:20:47,961 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 30, 'dropout': 0.1, 'label_num': 6, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-20 19:20:48,254 - classify.py[line:140] - INFO: before training: 0.18200001120567322
2021-05-20 19:20:48,255 - classify.py[line:154] - INFO: ...start training...
2021-05-20 19:20:48,311 - classify.py[line:184] - INFO: Epoch 0, toal_loss 9.2763, aver loss 1.8553, train accuracy 0.1688, train auc 0.0000, test accuracy 0.1680, test auc 0.0000
2021-05-20 19:20:48,388 - classify.py[line:184] - INFO: Epoch 1, toal_loss 9.0048, aver loss 0.9005, train accuracy 0.2188, train auc 0.0000, test accuracy 0.2300, test auc 0.0000
2021-05-20 19:20:48,459 - classify.py[line:184] - INFO: Epoch 2, toal_loss 8.8475, aver loss 0.5898, train accuracy 0.2656, train auc 0.0000, test accuracy 0.1980, test auc 0.0000
2021-05-20 19:20:48,551 - classify.py[line:184] - INFO: Epoch 3, toal_loss 8.7351, aver loss 0.4368, train accuracy 0.2750, train auc 0.0000, test accuracy 0.2080, test auc 0.0000
2021-05-20 19:20:48,640 - classify.py[line:184] - INFO: Epoch 4, toal_loss 8.6395, aver loss 0.3456, train accuracy 0.2906, train auc 0.0000, test accuracy 0.1940, test auc 0.0000
2021-05-20 19:20:48,742 - classify.py[line:184] - INFO: Epoch 5, toal_loss 8.5130, aver loss 0.2838, train accuracy 0.3187, train auc 0.0000, test accuracy 0.2220, test auc 0.0000
2021-05-20 19:20:48,826 - classify.py[line:184] - INFO: Epoch 6, toal_loss 8.4657, aver loss 0.2419, train accuracy 0.3406, train auc 0.0000, test accuracy 0.2400, test auc 0.0000
2021-05-20 19:20:48,871 - classify.py[line:184] - INFO: Epoch 7, toal_loss 8.3522, aver loss 0.2088, train accuracy 0.3812, train auc 0.0000, test accuracy 0.2700, test auc 0.0000
2021-05-20 19:20:48,912 - classify.py[line:184] - INFO: Epoch 8, toal_loss 8.2980, aver loss 0.1844, train accuracy 0.4375, train auc 0.0000, test accuracy 0.3020, test auc 0.0000
2021-05-20 19:20:48,959 - classify.py[line:184] - INFO: Epoch 9, toal_loss 8.2726, aver loss 0.1655, train accuracy 0.4125, train auc 0.0000, test accuracy 0.3340, test auc 0.0000
2021-05-20 19:20:49,002 - classify.py[line:184] - INFO: Epoch 10, toal_loss 8.1912, aver loss 0.1489, train accuracy 0.4375, train auc 0.0000, test accuracy 0.3100, test auc 0.0000
2021-05-20 19:20:49,043 - classify.py[line:184] - INFO: Epoch 11, toal_loss 8.0760, aver loss 0.1346, train accuracy 0.4156, train auc 0.0000, test accuracy 0.3420, test auc 0.0000
2021-05-20 19:20:49,090 - classify.py[line:184] - INFO: Epoch 12, toal_loss 8.1292, aver loss 0.1251, train accuracy 0.4500, train auc 0.0000, test accuracy 0.3280, test auc 0.0000
2021-05-20 19:20:49,130 - classify.py[line:184] - INFO: Epoch 13, toal_loss 7.9842, aver loss 0.1141, train accuracy 0.4594, train auc 0.0000, test accuracy 0.3300, test auc 0.0000
2021-05-20 19:20:49,171 - classify.py[line:184] - INFO: Epoch 14, toal_loss 7.9553, aver loss 0.1061, train accuracy 0.4406, train auc 0.0000, test accuracy 0.3300, test auc 0.0000
2021-05-20 19:20:49,211 - classify.py[line:184] - INFO: Epoch 15, toal_loss 7.8786, aver loss 0.0985, train accuracy 0.4656, train auc 0.0000, test accuracy 0.3260, test auc 0.0000
2021-05-20 19:20:49,251 - classify.py[line:184] - INFO: Epoch 16, toal_loss 7.8596, aver loss 0.0925, train accuracy 0.4531, train auc 0.0000, test accuracy 0.3400, test auc 0.0000
2021-05-20 19:20:49,299 - classify.py[line:184] - INFO: Epoch 17, toal_loss 7.7940, aver loss 0.0866, train accuracy 0.4500, train auc 0.0000, test accuracy 0.3480, test auc 0.0000
2021-05-20 19:20:49,362 - classify.py[line:184] - INFO: Epoch 18, toal_loss 7.7260, aver loss 0.0813, train accuracy 0.4344, train auc 0.0000, test accuracy 0.3400, test auc 0.0000
2021-05-20 19:20:49,429 - classify.py[line:184] - INFO: Epoch 19, toal_loss 7.7030, aver loss 0.0770, train accuracy 0.4375, train auc 0.0000, test accuracy 0.3660, test auc 0.0000
2021-05-20 19:20:49,484 - classify.py[line:184] - INFO: Epoch 20, toal_loss 7.6862, aver loss 0.0732, train accuracy 0.4813, train auc 0.0000, test accuracy 0.3600, test auc 0.0000
2021-05-20 19:20:49,556 - classify.py[line:184] - INFO: Epoch 21, toal_loss 7.6056, aver loss 0.0691, train accuracy 0.4750, train auc 0.0000, test accuracy 0.3540, test auc 0.0000
