2021-05-20 19:23:56,863 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='TREC', epoch=30, gpu=1, l2=0.0001, lr=0.0001, modelfilename='115_Epoch_8_model_1_12_0.302.pt', modelname='TextCNN', modelnum=0, resultnum=115, seed=1, use_aug=1)
2021-05-20 19:24:00,232 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 13, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 6, 'learning_rate1': 0.0001, 'learning_rate2': 1e-05, 'batch_size': 128, 'cuda': True, 'negSampleNum': 12, 'poSampleNum': 1, 'max_bound': 1.0, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-20 19:24:00,488 - classify.py[line:140] - INFO: before training: 0.3580000102519989
2021-05-20 19:24:00,489 - classify.py[line:154] - INFO: ...start training...
2021-05-20 19:24:00,555 - classify.py[line:184] - INFO: Epoch 0, toal_loss 17.6436, aver loss 3.5287, train accuracy 0.3031, train auc 0.0000, test accuracy 0.3480, test auc 0.0000
2021-05-20 19:24:00,614 - classify.py[line:184] - INFO: Epoch 1, toal_loss 17.2191, aver loss 1.7219, train accuracy 0.3156, train auc 0.0000, test accuracy 0.3440, test auc 0.0000
2021-05-20 19:24:00,681 - classify.py[line:184] - INFO: Epoch 2, toal_loss 16.5680, aver loss 1.1045, train accuracy 0.3031, train auc 0.0000, test accuracy 0.3400, test auc 0.0000
2021-05-20 19:24:00,736 - classify.py[line:184] - INFO: Epoch 3, toal_loss 16.3376, aver loss 0.8169, train accuracy 0.3094, train auc 0.0000, test accuracy 0.3240, test auc 0.0000
2021-05-20 19:24:00,792 - classify.py[line:184] - INFO: Epoch 4, toal_loss 16.1163, aver loss 0.6447, train accuracy 0.3344, train auc 0.0000, test accuracy 0.3480, test auc 0.0000
2021-05-20 19:24:00,851 - classify.py[line:184] - INFO: Epoch 5, toal_loss 15.4725, aver loss 0.5158, train accuracy 0.3375, train auc 0.0000, test accuracy 0.3400, test auc 0.0000
2021-05-20 19:24:00,912 - classify.py[line:184] - INFO: Epoch 6, toal_loss 14.5936, aver loss 0.4170, train accuracy 0.3250, train auc 0.0000, test accuracy 0.3300, test auc 0.0000
2021-05-20 19:24:00,971 - classify.py[line:184] - INFO: Epoch 7, toal_loss 14.2342, aver loss 0.3559, train accuracy 0.3312, train auc 0.0000, test accuracy 0.3420, test auc 0.0000
2021-05-20 19:24:01,033 - classify.py[line:184] - INFO: Epoch 8, toal_loss 14.1850, aver loss 0.3152, train accuracy 0.3312, train auc 0.0000, test accuracy 0.3520, test auc 0.0000
2021-05-20 19:24:01,092 - classify.py[line:184] - INFO: Epoch 9, toal_loss 13.4577, aver loss 0.2692, train accuracy 0.3094, train auc 0.0000, test accuracy 0.3540, test auc 0.0000
2021-05-20 19:24:01,154 - classify.py[line:184] - INFO: Epoch 10, toal_loss 12.9982, aver loss 0.2363, train accuracy 0.3250, train auc 0.0000, test accuracy 0.3660, test auc 0.0000
2021-05-20 19:24:01,214 - classify.py[line:184] - INFO: Epoch 11, toal_loss 12.9263, aver loss 0.2154, train accuracy 0.3219, train auc 0.0000, test accuracy 0.3540, test auc 0.0000
2021-05-20 19:24:01,273 - classify.py[line:184] - INFO: Epoch 12, toal_loss 12.7124, aver loss 0.1956, train accuracy 0.3156, train auc 0.0000, test accuracy 0.3560, test auc 0.0000
2021-05-20 19:24:01,329 - classify.py[line:184] - INFO: Epoch 13, toal_loss 12.1893, aver loss 0.1741, train accuracy 0.3312, train auc 0.0000, test accuracy 0.3700, test auc 0.0000
2021-05-20 19:24:01,384 - classify.py[line:184] - INFO: Epoch 14, toal_loss 12.1840, aver loss 0.1625, train accuracy 0.3312, train auc 0.0000, test accuracy 0.3420, test auc 0.0000
2021-05-20 19:24:01,444 - classify.py[line:184] - INFO: Epoch 15, toal_loss 11.0020, aver loss 0.1375, train accuracy 0.3344, train auc 0.0000, test accuracy 0.3660, test auc 0.0000
2021-05-20 19:24:01,499 - classify.py[line:184] - INFO: Epoch 16, toal_loss 10.9317, aver loss 0.1286, train accuracy 0.3312, train auc 0.0000, test accuracy 0.3720, test auc 0.0000
2021-05-20 19:24:01,556 - classify.py[line:184] - INFO: Epoch 17, toal_loss 10.5412, aver loss 0.1171, train accuracy 0.3406, train auc 0.0000, test accuracy 0.3740, test auc 0.0000
2021-05-20 19:24:01,613 - classify.py[line:184] - INFO: Epoch 18, toal_loss 10.3410, aver loss 0.1089, train accuracy 0.3219, train auc 0.0000, test accuracy 0.3820, test auc 0.0000
2021-05-20 19:24:01,680 - classify.py[line:184] - INFO: Epoch 19, toal_loss 9.9343, aver loss 0.0993, train accuracy 0.3156, train auc 0.0000, test accuracy 0.3660, test auc 0.0000
2021-05-20 19:24:01,743 - classify.py[line:184] - INFO: Epoch 20, toal_loss 10.0278, aver loss 0.0955, train accuracy 0.3375, train auc 0.0000, test accuracy 0.3500, test auc 0.0000
2021-05-20 19:24:01,807 - classify.py[line:184] - INFO: Epoch 21, toal_loss 9.7133, aver loss 0.0883, train accuracy 0.3187, train auc 0.0000, test accuracy 0.3760, test auc 0.0000
