2021-05-20 20:43:06,274 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='CoLA', epoch=30, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=116, seed=1, use_aug=0)
2021-05-20 20:43:09,602 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 30, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-20 20:43:09,842 - classify.py[line:140] - INFO: before training: 0.3178294599056244
2021-05-20 20:43:09,843 - classify.py[line:154] - INFO: ...start training...
2021-05-20 20:43:09,930 - classify.py[line:184] - INFO: Epoch 0, toal_loss 5.5863, aver loss 0.7980, train accuracy 0.3400, train auc 0.0000, test accuracy 0.3236, test auc 0.0000
2021-05-20 20:43:10,014 - classify.py[line:184] - INFO: Epoch 1, toal_loss 5.2715, aver loss 0.3765, train accuracy 0.3433, train auc 0.0000, test accuracy 0.3837, test auc 0.0000
2021-05-20 20:43:10,097 - classify.py[line:184] - INFO: Epoch 2, toal_loss 4.9937, aver loss 0.2378, train accuracy 0.4458, train auc 0.0000, test accuracy 0.4942, test auc 0.0000
2021-05-20 20:43:10,191 - classify.py[line:184] - INFO: Epoch 3, toal_loss 4.8249, aver loss 0.1723, train accuracy 0.5307, train auc 0.0000, test accuracy 0.5988, test auc 0.0000
2021-05-20 20:43:10,280 - classify.py[line:184] - INFO: Epoch 4, toal_loss 4.7210, aver loss 0.1349, train accuracy 0.5864, train auc 0.0000, test accuracy 0.6318, test auc 0.0000
2021-05-20 20:43:10,369 - classify.py[line:184] - INFO: Epoch 5, toal_loss 4.6856, aver loss 0.1116, train accuracy 0.6389, train auc 0.0000, test accuracy 0.6453, test auc 0.0000
2021-05-20 20:43:10,452 - classify.py[line:184] - INFO: Epoch 6, toal_loss 4.6169, aver loss 0.0942, train accuracy 0.6279, train auc 0.0000, test accuracy 0.6764, test auc 0.0000
2021-05-20 20:43:10,541 - classify.py[line:184] - INFO: Epoch 7, toal_loss 4.5679, aver loss 0.0816, train accuracy 0.6545, train auc 0.0000, test accuracy 0.6609, test auc 0.0000
2021-05-20 20:43:10,625 - classify.py[line:184] - INFO: Epoch 8, toal_loss 4.5041, aver loss 0.0715, train accuracy 0.6611, train auc 0.0000, test accuracy 0.6802, test auc 0.0000
2021-05-20 20:43:10,703 - classify.py[line:184] - INFO: Epoch 9, toal_loss 4.4811, aver loss 0.0640, train accuracy 0.6757, train auc 0.0000, test accuracy 0.6899, test auc 0.0000
2021-05-20 20:43:10,785 - classify.py[line:184] - INFO: Epoch 10, toal_loss 4.4822, aver loss 0.0582, train accuracy 0.6745, train auc 0.0000, test accuracy 0.6860, test auc 0.0000
