2021-05-22 13:37:34,263 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='PC', epoch=30, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=124, seed=1, use_aug=0)
2021-05-22 13:37:41,914 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 30, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 13:37:42,241 - classify.py[line:140] - INFO: before training: 0.51573246717453
2021-05-22 13:37:42,241 - classify.py[line:154] - INFO: ...start training...
2021-05-22 13:37:42,850 - classify.py[line:184] - INFO: Epoch 0, toal_loss 18.6786, aver loss 0.6441, train accuracy 0.6429, train auc 0.0000, test accuracy 0.6846, test auc 0.0000
2021-05-22 13:37:43,416 - classify.py[line:184] - INFO: Epoch 1, toal_loss 15.6135, aver loss 0.2692, train accuracy 0.8037, train auc 0.0000, test accuracy 0.7451, test auc 0.0000
2021-05-22 13:37:43,995 - classify.py[line:184] - INFO: Epoch 2, toal_loss 13.6636, aver loss 0.1571, train accuracy 0.8478, train auc 0.0000, test accuracy 0.7737, test auc 0.0000
2021-05-22 13:37:44,560 - classify.py[line:184] - INFO: Epoch 3, toal_loss 12.1124, aver loss 0.1044, train accuracy 0.8538, train auc 0.0000, test accuracy 0.7864, test auc 0.0000
2021-05-22 13:37:45,161 - classify.py[line:184] - INFO: Epoch 4, toal_loss 10.9518, aver loss 0.0755, train accuracy 0.8742, train auc 0.0000, test accuracy 0.7951, test auc 0.0000
2021-05-22 13:37:45,767 - classify.py[line:184] - INFO: Epoch 5, toal_loss 10.3084, aver loss 0.0592, train accuracy 0.8883, train auc 0.0000, test accuracy 0.8065, test auc 0.0000
2021-05-22 13:37:46,370 - classify.py[line:184] - INFO: Epoch 6, toal_loss 9.6217, aver loss 0.0474, train accuracy 0.8899, train auc 0.0000, test accuracy 0.8070, test auc 0.0000
2021-05-22 13:37:46,974 - classify.py[line:184] - INFO: Epoch 7, toal_loss 9.0476, aver loss 0.0390, train accuracy 0.8966, train auc 0.0000, test accuracy 0.8083, test auc 0.0000
2021-05-22 13:37:47,531 - classify.py[line:184] - INFO: Epoch 8, toal_loss 8.6003, aver loss 0.0330, train accuracy 0.8998, train auc 0.0000, test accuracy 0.8130, test auc 0.0000
2021-05-22 13:37:48,104 - classify.py[line:184] - INFO: Epoch 9, toal_loss 8.3631, aver loss 0.0288, train accuracy 0.9046, train auc 0.0000, test accuracy 0.8152, test auc 0.0000
2021-05-22 13:37:48,710 - classify.py[line:184] - INFO: Epoch 10, toal_loss 7.9148, aver loss 0.0248, train accuracy 0.9089, train auc 0.0000, test accuracy 0.8225, test auc 0.0000
