2021-05-22 14:01:22,869 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='PC', epoch=30, gpu=1, l2=0.0001, lr=0.0001, modelfilename='123_Epoch_4_model_1_2_0.683.pt', modelname='TextCNN', modelnum=0, resultnum=124, seed=1, use_aug=1)
2021-05-22 14:01:28,135 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 2, 'poSampleNum': 1, 'max_bound': 0.8, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 14:01:28,449 - classify.py[line:140] - INFO: before training: 0.6915529370307922
2021-05-22 14:01:28,449 - classify.py[line:154] - INFO: ...start training...
2021-05-22 14:01:28,779 - classify.py[line:184] - INFO: Epoch 0, toal_loss 39.4396, aver loss 1.3600, train accuracy 0.6960, train auc 0.0000, test accuracy 0.6991, test auc 0.0000
2021-05-22 14:01:29,154 - classify.py[line:184] - INFO: Epoch 1, toal_loss 33.3676, aver loss 0.5753, train accuracy 0.7106, train auc 0.0000, test accuracy 0.7094, test auc 0.0000
2021-05-22 14:01:29,502 - classify.py[line:184] - INFO: Epoch 2, toal_loss 28.1879, aver loss 0.3240, train accuracy 0.7294, train auc 0.0000, test accuracy 0.7211, test auc 0.0000
2021-05-22 14:01:29,859 - classify.py[line:184] - INFO: Epoch 3, toal_loss 24.6596, aver loss 0.2126, train accuracy 0.7564, train auc 0.0000, test accuracy 0.7349, test auc 0.0000
2021-05-22 14:01:30,205 - classify.py[line:184] - INFO: Epoch 4, toal_loss 21.8215, aver loss 0.1505, train accuracy 0.7774, train auc 0.0000, test accuracy 0.7456, test auc 0.0000
2021-05-22 14:01:30,532 - classify.py[line:184] - INFO: Epoch 5, toal_loss 19.5955, aver loss 0.1126, train accuracy 0.7900, train auc 0.0000, test accuracy 0.7530, test auc 0.0000
2021-05-22 14:01:30,870 - classify.py[line:184] - INFO: Epoch 6, toal_loss 18.2959, aver loss 0.0901, train accuracy 0.8097, train auc 0.0000, test accuracy 0.7575, test auc 0.0000
2021-05-22 14:01:31,238 - classify.py[line:184] - INFO: Epoch 7, toal_loss 16.9399, aver loss 0.0730, train accuracy 0.8140, train auc 0.0000, test accuracy 0.7649, test auc 0.0000
2021-05-22 14:01:31,569 - classify.py[line:184] - INFO: Epoch 8, toal_loss 15.4856, aver loss 0.0593, train accuracy 0.8317, train auc 0.0000, test accuracy 0.7694, test auc 0.0000
2021-05-22 14:01:31,901 - classify.py[line:184] - INFO: Epoch 9, toal_loss 14.4800, aver loss 0.0499, train accuracy 0.8282, train auc 0.0000, test accuracy 0.7802, test auc 0.0000
2021-05-22 14:01:32,224 - classify.py[line:184] - INFO: Epoch 10, toal_loss 13.1133, aver loss 0.0411, train accuracy 0.8395, train auc 0.0000, test accuracy 0.7849, test auc 0.0000
2021-05-22 14:01:32,596 - classify.py[line:184] - INFO: Epoch 11, toal_loss 13.0196, aver loss 0.0374, train accuracy 0.8500, train auc 0.0000, test accuracy 0.7889, test auc 0.0000
2021-05-22 14:01:32,956 - classify.py[line:184] - INFO: Epoch 12, toal_loss 12.2527, aver loss 0.0325, train accuracy 0.8541, train auc 0.0000, test accuracy 0.7906, test auc 0.0000
2021-05-22 14:01:33,314 - classify.py[line:184] - INFO: Epoch 13, toal_loss 11.3466, aver loss 0.0279, train accuracy 0.8557, train auc 0.0000, test accuracy 0.7940, test auc 0.0000
2021-05-22 14:01:33,652 - classify.py[line:184] - INFO: Epoch 14, toal_loss 10.8118, aver loss 0.0249, train accuracy 0.8721, train auc 0.0000, test accuracy 0.7956, test auc 0.0000
2021-05-22 14:01:33,997 - classify.py[line:184] - INFO: Epoch 15, toal_loss 10.3101, aver loss 0.0222, train accuracy 0.8672, train auc 0.0000, test accuracy 0.7947, test auc 0.0000
2021-05-22 14:01:34,325 - classify.py[line:184] - INFO: Epoch 16, toal_loss 10.0527, aver loss 0.0204, train accuracy 0.8788, train auc 0.0000, test accuracy 0.8020, test auc 0.0000
2021-05-22 14:01:34,683 - classify.py[line:184] - INFO: Epoch 17, toal_loss 9.9648, aver loss 0.0191, train accuracy 0.8751, train auc 0.0000, test accuracy 0.8009, test auc 0.0000
2021-05-22 14:01:35,032 - classify.py[line:184] - INFO: Epoch 18, toal_loss 9.2684, aver loss 0.0168, train accuracy 0.8791, train auc 0.0000, test accuracy 0.8021, test auc 0.0000
2021-05-22 14:01:35,382 - classify.py[line:184] - INFO: Epoch 19, toal_loss 8.9725, aver loss 0.0155, train accuracy 0.8890, train auc 0.0000, test accuracy 0.8072, test auc 0.0000
2021-05-22 14:01:35,725 - classify.py[line:184] - INFO: Epoch 20, toal_loss 9.0419, aver loss 0.0148, train accuracy 0.8872, train auc 0.0000, test accuracy 0.8070, test auc 0.0000
2021-05-22 14:01:36,047 - classify.py[line:184] - INFO: Epoch 21, toal_loss 8.2858, aver loss 0.0130, train accuracy 0.8944, train auc 0.0000, test accuracy 0.8067, test auc 0.0000
2021-05-22 14:01:36,401 - classify.py[line:184] - INFO: Epoch 22, toal_loss 8.3285, aver loss 0.0125, train accuracy 0.8960, train auc 0.0000, test accuracy 0.8084, test auc 0.0000
2021-05-22 14:01:36,753 - classify.py[line:184] - INFO: Epoch 23, toal_loss 7.8831, aver loss 0.0113, train accuracy 0.8974, train auc 0.0000, test accuracy 0.8081, test auc 0.0000
2021-05-22 14:01:37,094 - classify.py[line:184] - INFO: Epoch 24, toal_loss 7.7193, aver loss 0.0106, train accuracy 0.8976, train auc 0.0000, test accuracy 0.8077, test auc 0.0000
2021-05-22 14:01:37,448 - classify.py[line:184] - INFO: Epoch 25, toal_loss 7.5988, aver loss 0.0101, train accuracy 0.9106, train auc 0.0000, test accuracy 0.8083, test auc 0.0000
2021-05-22 14:01:37,791 - classify.py[line:184] - INFO: Epoch 26, toal_loss 7.9948, aver loss 0.0102, train accuracy 0.9084, train auc 0.0000, test accuracy 0.8076, test auc 0.0000
2021-05-22 14:01:38,152 - classify.py[line:184] - INFO: Epoch 27, toal_loss 7.5595, aver loss 0.0093, train accuracy 0.9071, train auc 0.0000, test accuracy 0.8103, test auc 0.0000
2021-05-22 14:01:38,499 - classify.py[line:184] - INFO: Epoch 28, toal_loss 7.2500, aver loss 0.0086, train accuracy 0.9100, train auc 0.0000, test accuracy 0.8109, test auc 0.0000
2021-05-22 14:01:38,843 - classify.py[line:184] - INFO: Epoch 29, toal_loss 7.2786, aver loss 0.0084, train accuracy 0.9033, train auc 0.0000, test accuracy 0.8141, test auc 0.0000
2021-05-22 14:01:39,878 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 2, 'poSampleNum': 1, 'max_bound': 0.8, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 14:01:39,897 - classify.py[line:140] - INFO: before training: 0.6947107315063477
2021-05-22 14:01:39,897 - classify.py[line:154] - INFO: ...start training...
2021-05-22 14:01:40,528 - classify.py[line:184] - INFO: Epoch 0, toal_loss 76.5104, aver loss 1.3423, train accuracy 0.6933, train auc 0.0000, test accuracy 0.7042, test auc 0.0000
2021-05-22 14:01:41,241 - classify.py[line:184] - INFO: Epoch 1, toal_loss 52.5070, aver loss 0.4606, train accuracy 0.7339, train auc 0.0000, test accuracy 0.7335, test auc 0.0000
2021-05-22 14:01:41,922 - classify.py[line:184] - INFO: Epoch 2, toal_loss 41.4741, aver loss 0.2425, train accuracy 0.7773, train auc 0.0000, test accuracy 0.7522, test auc 0.0000
2021-05-22 14:01:42,603 - classify.py[line:184] - INFO: Epoch 3, toal_loss 35.5137, aver loss 0.1558, train accuracy 0.8105, train auc 0.0000, test accuracy 0.7643, test auc 0.0000
2021-05-22 14:01:43,286 - classify.py[line:184] - INFO: Epoch 4, toal_loss 30.6715, aver loss 0.1076, train accuracy 0.8308, train auc 0.0000, test accuracy 0.7757, test auc 0.0000
2021-05-22 14:01:43,952 - classify.py[line:184] - INFO: Epoch 5, toal_loss 26.6514, aver loss 0.0779, train accuracy 0.8431, train auc 0.0000, test accuracy 0.7823, test auc 0.0000
2021-05-22 14:01:44,603 - classify.py[line:184] - INFO: Epoch 6, toal_loss 24.3337, aver loss 0.0610, train accuracy 0.8522, train auc 0.0000, test accuracy 0.7917, test auc 0.0000
2021-05-22 14:01:45,271 - classify.py[line:184] - INFO: Epoch 7, toal_loss 22.3948, aver loss 0.0491, train accuracy 0.8651, train auc 0.0000, test accuracy 0.7988, test auc 0.0000
2021-05-22 14:01:45,907 - classify.py[line:184] - INFO: Epoch 8, toal_loss 20.9368, aver loss 0.0408, train accuracy 0.8700, train auc 0.0000, test accuracy 0.8044, test auc 0.0000
2021-05-22 14:01:46,557 - classify.py[line:184] - INFO: Epoch 9, toal_loss 19.4866, aver loss 0.0342, train accuracy 0.8790, train auc 0.0000, test accuracy 0.8039, test auc 0.0000
2021-05-22 14:01:47,236 - classify.py[line:184] - INFO: Epoch 10, toal_loss 18.5518, aver loss 0.0296, train accuracy 0.8826, train auc 0.0000, test accuracy 0.8078, test auc 0.0000
2021-05-22 14:01:47,891 - classify.py[line:184] - INFO: Epoch 11, toal_loss 17.7723, aver loss 0.0260, train accuracy 0.8887, train auc 0.0000, test accuracy 0.8092, test auc 0.0000
2021-05-22 14:01:48,584 - classify.py[line:184] - INFO: Epoch 12, toal_loss 16.6349, aver loss 0.0224, train accuracy 0.8911, train auc 0.0000, test accuracy 0.8126, test auc 0.0000
2021-05-22 14:01:49,288 - classify.py[line:184] - INFO: Epoch 13, toal_loss 16.2304, aver loss 0.0203, train accuracy 0.8911, train auc 0.0000, test accuracy 0.8145, test auc 0.0000
2021-05-22 14:01:49,912 - classify.py[line:184] - INFO: Epoch 14, toal_loss 16.0661, aver loss 0.0188, train accuracy 0.8924, train auc 0.0000, test accuracy 0.8176, test auc 0.0000
2021-05-22 14:01:50,577 - classify.py[line:184] - INFO: Epoch 15, toal_loss 15.0900, aver loss 0.0165, train accuracy 0.8974, train auc 0.0000, test accuracy 0.8156, test auc 0.0000
2021-05-22 14:01:51,241 - classify.py[line:184] - INFO: Epoch 16, toal_loss 15.2082, aver loss 0.0157, train accuracy 0.9010, train auc 0.0000, test accuracy 0.8156, test auc 0.0000
2021-05-22 14:01:51,894 - classify.py[line:184] - INFO: Epoch 17, toal_loss 14.7636, aver loss 0.0144, train accuracy 0.9035, train auc 0.0000, test accuracy 0.8184, test auc 0.0000
2021-05-22 14:01:52,566 - classify.py[line:184] - INFO: Epoch 18, toal_loss 13.8939, aver loss 0.0128, train accuracy 0.9026, train auc 0.0000, test accuracy 0.8209, test auc 0.0000
2021-05-22 14:01:53,199 - classify.py[line:184] - INFO: Epoch 19, toal_loss 13.9719, aver loss 0.0123, train accuracy 0.8996, train auc 0.0000, test accuracy 0.8217, test auc 0.0000
2021-05-22 14:01:53,870 - classify.py[line:184] - INFO: Epoch 20, toal_loss 13.8691, aver loss 0.0116, train accuracy 0.9067, train auc 0.0000, test accuracy 0.8247, test auc 0.0000
2021-05-22 14:01:54,543 - classify.py[line:184] - INFO: Epoch 21, toal_loss 13.4980, aver loss 0.0108, train accuracy 0.9059, train auc 0.0000, test accuracy 0.8235, test auc 0.0000
2021-05-22 14:01:55,221 - classify.py[line:184] - INFO: Epoch 22, toal_loss 13.4301, aver loss 0.0102, train accuracy 0.9098, train auc 0.0000, test accuracy 0.8223, test auc 0.0000
2021-05-22 14:01:55,890 - classify.py[line:184] - INFO: Epoch 23, toal_loss 12.9141, aver loss 0.0094, train accuracy 0.9141, train auc 0.0000, test accuracy 0.8267, test auc 0.0000
2021-05-22 14:01:56,561 - classify.py[line:184] - INFO: Epoch 24, toal_loss 12.4504, aver loss 0.0087, train accuracy 0.9150, train auc 0.0000, test accuracy 0.8249, test auc 0.0000
2021-05-22 14:01:57,258 - classify.py[line:184] - INFO: Epoch 25, toal_loss 12.4800, aver loss 0.0084, train accuracy 0.9144, train auc 0.0000, test accuracy 0.8252, test auc 0.0000
