2021-05-22 22:14:19,655 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=100, gpu=1, l2=0.0001, lr=0.0001, modelfilename='121_Epoch_15_model_2_8_0.623.pt', modelname='TextCNN', modelnum=0, resultnum=129, seed=1, use_aug=1)
2021-05-22 22:14:23,950 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 8, 'poSampleNum': 1, 'max_bound': 1.0, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 22:14:24,279 - classify.py[line:140] - INFO: before training: 0.6281281113624573
2021-05-22 22:14:24,280 - classify.py[line:154] - INFO: ...start training...
2021-05-22 22:14:26,800 - classify.py[line:184] - INFO: Epoch 0, toal_loss 85.2713, aver loss 0.6822, train accuracy 0.7153, train auc 0.0000, test accuracy 0.7588, test auc 0.0000
2021-05-22 22:14:29,363 - classify.py[line:184] - INFO: Epoch 1, toal_loss 62.6855, aver loss 0.2507, train accuracy 0.7888, train auc 0.0000, test accuracy 0.8018, test auc 0.0000
2021-05-22 22:14:31,909 - classify.py[line:184] - INFO: Epoch 2, toal_loss 53.7189, aver loss 0.1433, train accuracy 0.8093, train auc 0.0000, test accuracy 0.8058, test auc 0.0000
2021-05-22 22:14:34,537 - classify.py[line:184] - INFO: Epoch 3, toal_loss 49.7417, aver loss 0.0995, train accuracy 0.8213, train auc 0.0000, test accuracy 0.8213, test auc 0.0000
2021-05-22 22:14:37,135 - classify.py[line:184] - INFO: Epoch 4, toal_loss 47.0114, aver loss 0.0752, train accuracy 0.8351, train auc 0.0000, test accuracy 0.8288, test auc 0.0000
2021-05-22 22:14:39,604 - classify.py[line:184] - INFO: Epoch 5, toal_loss 44.9493, aver loss 0.0599, train accuracy 0.8427, train auc 0.0000, test accuracy 0.8368, test auc 0.0000
2021-05-22 22:14:42,106 - classify.py[line:184] - INFO: Epoch 6, toal_loss 42.7759, aver loss 0.0489, train accuracy 0.8536, train auc 0.0000, test accuracy 0.8413, test auc 0.0000
2021-05-22 22:14:44,687 - classify.py[line:184] - INFO: Epoch 7, toal_loss 41.6720, aver loss 0.0417, train accuracy 0.8581, train auc 0.0000, test accuracy 0.8448, test auc 0.0000
2021-05-22 22:14:47,184 - classify.py[line:184] - INFO: Epoch 8, toal_loss 41.1081, aver loss 0.0365, train accuracy 0.8570, train auc 0.0000, test accuracy 0.8458, test auc 0.0000
2021-05-22 22:14:49,792 - classify.py[line:184] - INFO: Epoch 9, toal_loss 40.2140, aver loss 0.0322, train accuracy 0.8643, train auc 0.0000, test accuracy 0.8448, test auc 0.0000
2021-05-22 22:14:52,428 - classify.py[line:184] - INFO: Epoch 10, toal_loss 39.3507, aver loss 0.0286, train accuracy 0.8631, train auc 0.0000, test accuracy 0.8473, test auc 0.0000
2021-05-22 22:14:55,001 - classify.py[line:184] - INFO: Epoch 11, toal_loss 38.7707, aver loss 0.0258, train accuracy 0.8695, train auc 0.0000, test accuracy 0.8493, test auc 0.0000
2021-05-22 22:14:57,447 - classify.py[line:184] - INFO: Epoch 12, toal_loss 38.3242, aver loss 0.0236, train accuracy 0.8755, train auc 0.0000, test accuracy 0.8624, test auc 0.0000
2021-05-22 22:14:59,879 - classify.py[line:184] - INFO: Epoch 13, toal_loss 37.5609, aver loss 0.0215, train accuracy 0.8731, train auc 0.0000, test accuracy 0.8519, test auc 0.0000
2021-05-22 22:15:02,398 - classify.py[line:184] - INFO: Epoch 14, toal_loss 37.3963, aver loss 0.0199, train accuracy 0.8777, train auc 0.0000, test accuracy 0.8544, test auc 0.0000
2021-05-22 22:15:04,877 - classify.py[line:184] - INFO: Epoch 15, toal_loss 36.0964, aver loss 0.0180, train accuracy 0.8785, train auc 0.0000, test accuracy 0.8589, test auc 0.0000
2021-05-22 22:15:07,439 - classify.py[line:184] - INFO: Epoch 16, toal_loss 35.8002, aver loss 0.0168, train accuracy 0.8802, train auc 0.0000, test accuracy 0.8539, test auc 0.0000
2021-05-22 22:15:09,972 - classify.py[line:184] - INFO: Epoch 17, toal_loss 35.5502, aver loss 0.0158, train accuracy 0.8773, train auc 0.0000, test accuracy 0.8544, test auc 0.0000
