2021-05-22 23:00:24,885 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='IMDB', epoch=500, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=131, seed=1, use_aug=0)
2021-05-22 23:00:38,706 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 500, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 23:00:39,159 - classify.py[line:140] - INFO: before training: 0.499500036239624
2021-05-22 23:00:39,159 - classify.py[line:154] - INFO: ...start training...
2021-05-22 23:00:47,141 - classify.py[line:184] - INFO: Epoch 0, toal_loss 55.6425, aver loss 0.7043, train accuracy 0.5599, train auc 0.0000, test accuracy 0.6160, test auc 0.0000
2021-05-22 23:00:55,060 - classify.py[line:184] - INFO: Epoch 1, toal_loss 49.8939, aver loss 0.3158, train accuracy 0.6616, train auc 0.0000, test accuracy 0.6475, test auc 0.0000
2021-05-22 23:01:02,763 - classify.py[line:184] - INFO: Epoch 2, toal_loss 45.8466, aver loss 0.1934, train accuracy 0.6998, train auc 0.0000, test accuracy 0.7015, test auc 0.0000
2021-05-22 23:01:10,464 - classify.py[line:184] - INFO: Epoch 3, toal_loss 42.4741, aver loss 0.1344, train accuracy 0.7350, train auc 0.0000, test accuracy 0.7170, test auc 0.0000
2021-05-22 23:01:18,088 - classify.py[line:184] - INFO: Epoch 4, toal_loss 39.6893, aver loss 0.1005, train accuracy 0.7502, train auc 0.0000, test accuracy 0.7195, test auc 0.0000
2021-05-22 23:01:25,886 - classify.py[line:184] - INFO: Epoch 5, toal_loss 37.9669, aver loss 0.0801, train accuracy 0.7710, train auc 0.0000, test accuracy 0.7420, test auc 0.0000
2021-05-22 23:01:33,668 - classify.py[line:184] - INFO: Epoch 6, toal_loss 36.6537, aver loss 0.0663, train accuracy 0.7729, train auc 0.0000, test accuracy 0.7555, test auc 0.0000
2021-05-22 23:01:41,377 - classify.py[line:184] - INFO: Epoch 7, toal_loss 35.4495, aver loss 0.0561, train accuracy 0.7931, train auc 0.0000, test accuracy 0.7605, test auc 0.0000
2021-05-22 23:01:49,153 - classify.py[line:184] - INFO: Epoch 8, toal_loss 34.2358, aver loss 0.0482, train accuracy 0.8074, train auc 0.0000, test accuracy 0.7680, test auc 0.0000
2021-05-22 23:01:56,917 - classify.py[line:184] - INFO: Epoch 9, toal_loss 32.7475, aver loss 0.0415, train accuracy 0.8176, train auc 0.0000, test accuracy 0.7710, test auc 0.0000
2021-05-22 23:02:04,717 - classify.py[line:184] - INFO: Epoch 10, toal_loss 31.9528, aver loss 0.0368, train accuracy 0.8222, train auc 0.0000, test accuracy 0.7760, test auc 0.0000
2021-05-22 23:02:12,321 - classify.py[line:184] - INFO: Epoch 11, toal_loss 31.5940, aver loss 0.0333, train accuracy 0.8281, train auc 0.0000, test accuracy 0.7855, test auc 0.0000
2021-05-22 23:02:19,953 - classify.py[line:184] - INFO: Epoch 12, toal_loss 30.8167, aver loss 0.0300, train accuracy 0.8358, train auc 0.0000, test accuracy 0.7745, test auc 0.0000
2021-05-22 23:02:27,731 - classify.py[line:184] - INFO: Epoch 13, toal_loss 29.3872, aver loss 0.0266, train accuracy 0.8386, train auc 0.0000, test accuracy 0.7845, test auc 0.0000
2021-05-22 23:02:35,365 - classify.py[line:184] - INFO: Epoch 14, toal_loss 29.2934, aver loss 0.0247, train accuracy 0.8406, train auc 0.0000, test accuracy 0.7910, test auc 0.0000
2021-05-22 23:02:42,943 - classify.py[line:184] - INFO: Epoch 15, toal_loss 28.1418, aver loss 0.0223, train accuracy 0.8457, train auc 0.0000, test accuracy 0.8045, test auc 0.0000
2021-05-22 23:02:50,579 - classify.py[line:184] - INFO: Epoch 16, toal_loss 27.9476, aver loss 0.0208, train accuracy 0.8536, train auc 0.0000, test accuracy 0.7785, test auc 0.0000
2021-05-22 23:02:58,223 - classify.py[line:184] - INFO: Epoch 17, toal_loss 28.0870, aver loss 0.0198, train accuracy 0.8586, train auc 0.0000, test accuracy 0.7980, test auc 0.0000
2021-05-22 23:03:05,813 - classify.py[line:184] - INFO: Epoch 18, toal_loss 26.8012, aver loss 0.0179, train accuracy 0.8576, train auc 0.0000, test accuracy 0.7950, test auc 0.0000
2021-05-22 23:03:13,431 - classify.py[line:184] - INFO: Epoch 19, toal_loss 26.5157, aver loss 0.0168, train accuracy 0.8584, train auc 0.0000, test accuracy 0.7895, test auc 0.0000
2021-05-22 23:03:21,050 - classify.py[line:184] - INFO: Epoch 20, toal_loss 25.9978, aver loss 0.0157, train accuracy 0.8647, train auc 0.0000, test accuracy 0.8025, test auc 0.0000
2021-05-22 23:03:28,681 - classify.py[line:184] - INFO: Epoch 21, toal_loss 25.6549, aver loss 0.0148, train accuracy 0.8720, train auc 0.0000, test accuracy 0.7935, test auc 0.0000
2021-05-22 23:03:36,218 - classify.py[line:184] - INFO: Epoch 22, toal_loss 24.8122, aver loss 0.0137, train accuracy 0.8685, train auc 0.0000, test accuracy 0.7975, test auc 0.0000
2021-05-22 23:03:43,918 - classify.py[line:184] - INFO: Epoch 23, toal_loss 25.4324, aver loss 0.0134, train accuracy 0.8681, train auc 0.0000, test accuracy 0.7900, test auc 0.0000
2021-05-22 23:03:52,734 - classify.py[line:184] - INFO: Epoch 24, toal_loss 24.7989, aver loss 0.0126, train accuracy 0.8716, train auc 0.0000, test accuracy 0.7950, test auc 0.0000
2021-05-22 23:04:00,292 - classify.py[line:184] - INFO: Epoch 25, toal_loss 23.9173, aver loss 0.0116, train accuracy 0.8780, train auc 0.0000, test accuracy 0.8050, test auc 0.0000
2021-05-22 23:04:07,855 - classify.py[line:184] - INFO: Epoch 26, toal_loss 23.4332, aver loss 0.0110, train accuracy 0.8794, train auc 0.0000, test accuracy 0.8050, test auc 0.0000
2021-05-22 23:04:15,479 - classify.py[line:184] - INFO: Epoch 27, toal_loss 23.1125, aver loss 0.0104, train accuracy 0.8847, train auc 0.0000, test accuracy 0.7965, test auc 0.0000
2021-05-22 23:04:23,087 - classify.py[line:184] - INFO: Epoch 28, toal_loss 22.8606, aver loss 0.0100, train accuracy 0.8825, train auc 0.0000, test accuracy 0.8085, test auc 0.0000
2021-05-22 23:04:30,595 - classify.py[line:184] - INFO: Epoch 29, toal_loss 22.1709, aver loss 0.0094, train accuracy 0.8795, train auc 0.0000, test accuracy 0.7965, test auc 0.0000
2021-05-22 23:04:38,055 - classify.py[line:184] - INFO: Epoch 30, toal_loss 22.3804, aver loss 0.0091, train accuracy 0.8869, train auc 0.0000, test accuracy 0.7975, test auc 0.0000
2021-05-22 23:04:45,526 - classify.py[line:184] - INFO: Epoch 31, toal_loss 21.7254, aver loss 0.0086, train accuracy 0.8863, train auc 0.0000, test accuracy 0.7845, test auc 0.0000
2021-05-22 23:04:53,058 - classify.py[line:184] - INFO: Epoch 32, toal_loss 22.2384, aver loss 0.0085, train accuracy 0.8908, train auc 0.0000, test accuracy 0.8105, test auc 0.0000
2021-05-22 23:05:00,694 - classify.py[line:184] - INFO: Epoch 33, toal_loss 21.5235, aver loss 0.0080, train accuracy 0.8918, train auc 0.0000, test accuracy 0.7915, test auc 0.0000
2021-05-22 23:05:08,312 - classify.py[line:184] - INFO: Epoch 34, toal_loss 21.2016, aver loss 0.0077, train accuracy 0.8896, train auc 0.0000, test accuracy 0.8025, test auc 0.0000
2021-05-22 23:05:18,204 - classify.py[line:184] - INFO: Epoch 35, toal_loss 20.5728, aver loss 0.0072, train accuracy 0.8975, train auc 0.0000, test accuracy 0.7985, test auc 0.0000
2021-05-22 23:05:25,892 - classify.py[line:184] - INFO: Epoch 36, toal_loss 20.9020, aver loss 0.0072, train accuracy 0.8960, train auc 0.0000, test accuracy 0.8005, test auc 0.0000
2021-05-22 23:05:33,501 - classify.py[line:184] - INFO: Epoch 37, toal_loss 20.3893, aver loss 0.0068, train accuracy 0.9007, train auc 0.0000, test accuracy 0.8020, test auc 0.0000
2021-05-22 23:05:41,017 - classify.py[line:184] - INFO: Epoch 38, toal_loss 20.1076, aver loss 0.0065, train accuracy 0.8975, train auc 0.0000, test accuracy 0.7995, test auc 0.0000
2021-05-22 23:05:48,561 - classify.py[line:184] - INFO: Epoch 39, toal_loss 19.7401, aver loss 0.0062, train accuracy 0.9027, train auc 0.0000, test accuracy 0.7995, test auc 0.0000
2021-05-22 23:05:56,231 - classify.py[line:184] - INFO: Epoch 40, toal_loss 19.3123, aver loss 0.0060, train accuracy 0.9011, train auc 0.0000, test accuracy 0.8010, test auc 0.0000
2021-05-22 23:06:03,840 - classify.py[line:184] - INFO: Epoch 41, toal_loss 19.8109, aver loss 0.0060, train accuracy 0.9098, train auc 0.0000, test accuracy 0.7995, test auc 0.0000
2021-05-22 23:06:11,335 - classify.py[line:184] - INFO: Epoch 42, toal_loss 19.1427, aver loss 0.0056, train accuracy 0.9009, train auc 0.0000, test accuracy 0.8055, test auc 0.0000
2021-05-22 23:06:18,897 - classify.py[line:184] - INFO: Epoch 43, toal_loss 19.0997, aver loss 0.0055, train accuracy 0.9039, train auc 0.0000, test accuracy 0.8025, test auc 0.0000
2021-05-22 23:06:26,438 - classify.py[line:184] - INFO: Epoch 44, toal_loss 18.6885, aver loss 0.0053, train accuracy 0.9076, train auc 0.0000, test accuracy 0.7975, test auc 0.0000
2021-05-22 23:06:34,060 - classify.py[line:184] - INFO: Epoch 45, toal_loss 18.4846, aver loss 0.0051, train accuracy 0.9086, train auc 0.0000, test accuracy 0.8090, test auc 0.0000
2021-05-22 23:06:41,574 - classify.py[line:184] - INFO: Epoch 46, toal_loss 18.0583, aver loss 0.0049, train accuracy 0.9128, train auc 0.0000, test accuracy 0.7915, test auc 0.0000
