2021-05-23 01:33:54,127 - classify1.py[line:68] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=132, seed=1, use_aug=0)
2021-05-23 01:33:58,680 - classify1.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 50, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-23 01:33:58,963 - classify1.py[line:140] - INFO: before training: 0.5
2021-05-23 01:33:58,963 - classify1.py[line:154] - INFO: ...start training...
2021-05-23 01:33:59,124 - classify1.py[line:184] - INFO: Epoch 0, toal_loss 7.0209, aver loss 1.0030, train accuracy 0.5165, train auc 0.0000, test accuracy 0.5000, test auc 0.0000
2021-05-23 01:33:59,267 - classify1.py[line:184] - INFO: Epoch 1, toal_loss 6.0506, aver loss 0.4322, train accuracy 0.5165, train auc 0.0000, test accuracy 0.5030, test auc 0.0000
2021-05-23 01:33:59,412 - classify1.py[line:184] - INFO: Epoch 2, toal_loss 5.3167, aver loss 0.2532, train accuracy 0.5254, train auc 0.0000, test accuracy 0.5175, test auc 0.0000
2021-05-23 01:33:59,560 - classify1.py[line:184] - INFO: Epoch 3, toal_loss 4.6656, aver loss 0.1666, train accuracy 0.5707, train auc 0.0000, test accuracy 0.5576, test auc 0.0000
2021-05-23 01:33:59,698 - classify1.py[line:184] - INFO: Epoch 4, toal_loss 4.3458, aver loss 0.1242, train accuracy 0.6589, train auc 0.0000, test accuracy 0.6116, test auc 0.0000
2021-05-23 01:33:59,819 - classify1.py[line:184] - INFO: Epoch 5, toal_loss 4.1288, aver loss 0.0983, train accuracy 0.7310, train auc 0.0000, test accuracy 0.6692, test auc 0.0000
2021-05-23 01:33:59,947 - classify1.py[line:184] - INFO: Epoch 6, toal_loss 3.9576, aver loss 0.0808, train accuracy 0.7857, train auc 0.0000, test accuracy 0.6992, test auc 0.0000
2021-05-23 01:34:00,070 - classify1.py[line:184] - INFO: Epoch 7, toal_loss 3.7008, aver loss 0.0661, train accuracy 0.8091, train auc 0.0000, test accuracy 0.7157, test auc 0.0000
2021-05-23 01:34:00,193 - classify1.py[line:184] - INFO: Epoch 8, toal_loss 3.4487, aver loss 0.0547, train accuracy 0.8147, train auc 0.0000, test accuracy 0.7332, test auc 0.0000
2021-05-23 01:34:00,315 - classify1.py[line:184] - INFO: Epoch 9, toal_loss 3.4347, aver loss 0.0491, train accuracy 0.8164, train auc 0.0000, test accuracy 0.7377, test auc 0.0000
2021-05-23 01:34:00,439 - classify1.py[line:184] - INFO: Epoch 10, toal_loss 3.1806, aver loss 0.0413, train accuracy 0.8253, train auc 0.0000, test accuracy 0.7613, test auc 0.0000
2021-05-23 01:34:00,568 - classify1.py[line:184] - INFO: Epoch 11, toal_loss 3.2183, aver loss 0.0383, train accuracy 0.8304, train auc 0.0000, test accuracy 0.7578, test auc 0.0000
2021-05-23 01:34:00,697 - classify1.py[line:184] - INFO: Epoch 12, toal_loss 3.1485, aver loss 0.0346, train accuracy 0.8438, train auc 0.0000, test accuracy 0.7603, test auc 0.0000
2021-05-23 01:34:00,819 - classify1.py[line:184] - INFO: Epoch 13, toal_loss 3.0836, aver loss 0.0315, train accuracy 0.8192, train auc 0.0000, test accuracy 0.7623, test auc 0.0000
2021-05-23 01:34:00,943 - classify1.py[line:184] - INFO: Epoch 14, toal_loss 2.9972, aver loss 0.0285, train accuracy 0.8616, train auc 0.0000, test accuracy 0.7628, test auc 0.0000
2021-05-23 01:34:01,066 - classify1.py[line:184] - INFO: Epoch 15, toal_loss 2.9142, aver loss 0.0260, train accuracy 0.8543, train auc 0.0000, test accuracy 0.7743, test auc 0.0000
2021-05-23 01:34:01,195 - classify1.py[line:184] - INFO: Epoch 16, toal_loss 2.6874, aver loss 0.0226, train accuracy 0.8409, train auc 0.0000, test accuracy 0.7713, test auc 0.0000
2021-05-23 01:34:01,326 - classify1.py[line:184] - INFO: Epoch 17, toal_loss 2.7519, aver loss 0.0218, train accuracy 0.8705, train auc 0.0000, test accuracy 0.7743, test auc 0.0000
2021-05-23 01:34:01,457 - classify1.py[line:184] - INFO: Epoch 18, toal_loss 2.6505, aver loss 0.0199, train accuracy 0.8409, train auc 0.0000, test accuracy 0.7823, test auc 0.0000
2021-05-23 01:34:01,582 - classify1.py[line:184] - INFO: Epoch 19, toal_loss 2.6877, aver loss 0.0192, train accuracy 0.8594, train auc 0.0000, test accuracy 0.7808, test auc 0.0000
2021-05-23 01:34:01,710 - classify1.py[line:184] - INFO: Epoch 20, toal_loss 2.6324, aver loss 0.0179, train accuracy 0.8571, train auc 0.0000, test accuracy 0.7898, test auc 0.0000
2021-05-23 01:34:01,838 - classify1.py[line:184] - INFO: Epoch 21, toal_loss 2.4753, aver loss 0.0161, train accuracy 0.8515, train auc 0.0000, test accuracy 0.7873, test auc 0.0000
2021-05-23 01:34:01,964 - classify1.py[line:184] - INFO: Epoch 22, toal_loss 2.5058, aver loss 0.0156, train accuracy 0.8482, train auc 0.0000, test accuracy 0.7878, test auc 0.0000
2021-05-23 01:34:02,087 - classify1.py[line:184] - INFO: Epoch 23, toal_loss 2.4080, aver loss 0.0143, train accuracy 0.8772, train auc 0.0000, test accuracy 0.7908, test auc 0.0000
2021-05-23 01:34:02,211 - classify1.py[line:184] - INFO: Epoch 24, toal_loss 2.3674, aver loss 0.0135, train accuracy 0.8839, train auc 0.0000, test accuracy 0.7913, test auc 0.0000
2021-05-23 01:34:02,335 - classify1.py[line:184] - INFO: Epoch 25, toal_loss 2.4227, aver loss 0.0133, train accuracy 0.8795, train auc 0.0000, test accuracy 0.7853, test auc 0.0000
2021-05-23 01:34:02,455 - classify1.py[line:184] - INFO: Epoch 26, toal_loss 2.3425, aver loss 0.0124, train accuracy 0.8884, train auc 0.0000, test accuracy 0.7953, test auc 0.0000
2021-05-23 01:34:02,575 - classify1.py[line:184] - INFO: Epoch 27, toal_loss 2.4037, aver loss 0.0123, train accuracy 0.8906, train auc 0.0000, test accuracy 0.7903, test auc 0.0000
2021-05-23 01:34:02,697 - classify1.py[line:184] - INFO: Epoch 28, toal_loss 2.2509, aver loss 0.0111, train accuracy 0.8862, train auc 0.0000, test accuracy 0.7893, test auc 0.0000
2021-05-23 01:34:02,816 - classify1.py[line:184] - INFO: Epoch 29, toal_loss 2.2042, aver loss 0.0105, train accuracy 0.8833, train auc 0.0000, test accuracy 0.7918, test auc 0.0000
2021-05-23 01:34:02,936 - classify1.py[line:184] - INFO: Epoch 30, toal_loss 2.2005, aver loss 0.0101, train accuracy 0.8766, train auc 0.0000, test accuracy 0.7833, test auc 0.0000
2021-05-23 01:34:03,084 - classify1.py[line:184] - INFO: Epoch 31, toal_loss 2.1706, aver loss 0.0097, train accuracy 0.8655, train auc 0.0000, test accuracy 0.7923, test auc 0.0000
2021-05-23 01:34:03,225 - classify1.py[line:184] - INFO: Epoch 32, toal_loss 2.1596, aver loss 0.0093, train accuracy 0.9018, train auc 0.0000, test accuracy 0.7948, test auc 0.0000
2021-05-23 01:34:03,362 - classify1.py[line:184] - INFO: Epoch 33, toal_loss 2.1898, aver loss 0.0092, train accuracy 0.8906, train auc 0.0000, test accuracy 0.7978, test auc 0.0000
2021-05-23 01:34:03,501 - classify1.py[line:184] - INFO: Epoch 34, toal_loss 2.1844, aver loss 0.0089, train accuracy 0.8951, train auc 0.0000, test accuracy 0.7983, test auc 0.0000
2021-05-23 01:34:03,640 - classify1.py[line:184] - INFO: Epoch 35, toal_loss 2.1270, aver loss 0.0084, train accuracy 0.8906, train auc 0.0000, test accuracy 0.7938, test auc 0.0000
2021-05-23 01:34:03,777 - classify1.py[line:184] - INFO: Epoch 36, toal_loss 2.0563, aver loss 0.0079, train accuracy 0.8929, train auc 0.0000, test accuracy 0.7938, test auc 0.0000
