2021-05-18 22:31:42,512 - classify.py[line:67] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=100, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=96, seed=1, use_aug=0)
2021-05-18 22:31:49,666 - classify.py[line:133] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 100, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 22:31:50,179 - classify.py[line:139] - INFO: before training: 0.5
2021-05-18 22:31:50,179 - classify.py[line:153] - INFO: ...start training...
2021-05-18 22:31:50,662 - classify.py[line:183] - INFO: Epoch 0, toal_loss 12.2242, aver loss 0.9403, train accuracy 0.5184, train auc 0.0000, test accuracy 0.5010, test auc 0.0000
2021-05-18 22:31:51,094 - classify.py[line:183] - INFO: Epoch 1, toal_loss 9.5631, aver loss 0.3678, train accuracy 0.5475, train auc 0.0000, test accuracy 0.5536, test auc 0.0000
2021-05-18 22:31:52,107 - classify.py[line:183] - INFO: Epoch 2, toal_loss 8.2811, aver loss 0.2123, train accuracy 0.6630, train auc 0.0000, test accuracy 0.6522, test auc 0.0000
2021-05-18 22:31:53,071 - classify.py[line:183] - INFO: Epoch 3, toal_loss 7.3173, aver loss 0.1407, train accuracy 0.7569, train auc 0.0000, test accuracy 0.7307, test auc 0.0000
2021-05-18 22:31:53,849 - classify.py[line:183] - INFO: Epoch 4, toal_loss 6.8573, aver loss 0.1055, train accuracy 0.7895, train auc 0.0000, test accuracy 0.7477, test auc 0.0000
2021-05-18 22:31:54,977 - classify.py[line:183] - INFO: Epoch 5, toal_loss 6.4426, aver loss 0.0826, train accuracy 0.8002, train auc 0.0000, test accuracy 0.7728, test auc 0.0000
2021-05-18 22:31:55,928 - classify.py[line:183] - INFO: Epoch 6, toal_loss 5.9568, aver loss 0.0655, train accuracy 0.8183, train auc 0.0000, test accuracy 0.7728, test auc 0.0000
2021-05-18 22:31:56,894 - classify.py[line:183] - INFO: Epoch 7, toal_loss 5.8687, aver loss 0.0564, train accuracy 0.8050, train auc 0.0000, test accuracy 0.7773, test auc 0.0000
2021-05-18 22:31:57,821 - classify.py[line:183] - INFO: Epoch 8, toal_loss 5.4652, aver loss 0.0467, train accuracy 0.8170, train auc 0.0000, test accuracy 0.7823, test auc 0.0000
2021-05-18 22:31:58,718 - classify.py[line:183] - INFO: Epoch 9, toal_loss 5.3618, aver loss 0.0412, train accuracy 0.8338, train auc 0.0000, test accuracy 0.7933, test auc 0.0000
2021-05-18 22:31:59,588 - classify.py[line:183] - INFO: Epoch 10, toal_loss 5.2742, aver loss 0.0369, train accuracy 0.8350, train auc 0.0000, test accuracy 0.7923, test auc 0.0000
2021-05-18 22:32:00,637 - classify.py[line:183] - INFO: Epoch 11, toal_loss 5.0901, aver loss 0.0326, train accuracy 0.8301, train auc 0.0000, test accuracy 0.8078, test auc 0.0000
2021-05-18 22:32:01,261 - classify.py[line:183] - INFO: Epoch 12, toal_loss 5.0740, aver loss 0.0300, train accuracy 0.8436, train auc 0.0000, test accuracy 0.8023, test auc 0.0000
2021-05-18 22:32:02,025 - classify.py[line:183] - INFO: Epoch 13, toal_loss 4.7627, aver loss 0.0262, train accuracy 0.8567, train auc 0.0000, test accuracy 0.8083, test auc 0.0000
2021-05-18 22:32:02,869 - classify.py[line:183] - INFO: Epoch 14, toal_loss 4.6639, aver loss 0.0239, train accuracy 0.8494, train auc 0.0000, test accuracy 0.8098, test auc 0.0000
