2021-05-18 22:33:01,019 - classify.py[line:67] - INFO: Namespace(batch_size=64, dataset='Subj', epoch=100, gpu=1, l2=0.0001, lr=0.0001, modelfilename='88_model.pt', modelname='TextCNN', modelnum=0, resultnum=96, seed=1, use_aug=1)
2021-05-18 22:33:07,986 - classify.py[line:121] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 20, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.0001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 5, 'poSampleNum': 3, 'max_bound': 1.0, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-18 22:33:08,265 - classify.py[line:139] - INFO: before training: 0.4954954981803894
2021-05-18 22:33:08,266 - classify.py[line:153] - INFO: ...start training...
2021-05-18 22:33:08,583 - classify.py[line:183] - INFO: Epoch 0, toal_loss 9.1779, aver loss 0.7060, train accuracy 0.5446, train auc 0.0000, test accuracy 0.6106, test auc 0.0000
2021-05-18 22:33:08,882 - classify.py[line:183] - INFO: Epoch 1, toal_loss 7.9721, aver loss 0.3066, train accuracy 0.6665, train auc 0.0000, test accuracy 0.6787, test auc 0.0000
2021-05-18 22:33:09,166 - classify.py[line:183] - INFO: Epoch 2, toal_loss 7.2537, aver loss 0.1860, train accuracy 0.7148, train auc 0.0000, test accuracy 0.7092, test auc 0.0000
2021-05-18 22:33:09,447 - classify.py[line:183] - INFO: Epoch 3, toal_loss 6.6957, aver loss 0.1288, train accuracy 0.7614, train auc 0.0000, test accuracy 0.7548, test auc 0.0000
2021-05-18 22:33:09,733 - classify.py[line:183] - INFO: Epoch 4, toal_loss 6.2054, aver loss 0.0955, train accuracy 0.7906, train auc 0.0000, test accuracy 0.7588, test auc 0.0000
2021-05-18 22:33:10,041 - classify.py[line:183] - INFO: Epoch 5, toal_loss 5.8475, aver loss 0.0750, train accuracy 0.8303, train auc 0.0000, test accuracy 0.7768, test auc 0.0000
2021-05-18 22:33:10,337 - classify.py[line:183] - INFO: Epoch 6, toal_loss 5.4911, aver loss 0.0603, train accuracy 0.8363, train auc 0.0000, test accuracy 0.7808, test auc 0.0000
2021-05-18 22:33:10,650 - classify.py[line:183] - INFO: Epoch 7, toal_loss 5.2500, aver loss 0.0505, train accuracy 0.8351, train auc 0.0000, test accuracy 0.7983, test auc 0.0000
2021-05-18 22:33:10,948 - classify.py[line:183] - INFO: Epoch 8, toal_loss 4.8460, aver loss 0.0414, train accuracy 0.8605, train auc 0.0000, test accuracy 0.8123, test auc 0.0000
2021-05-18 22:33:11,239 - classify.py[line:183] - INFO: Epoch 9, toal_loss 4.7787, aver loss 0.0368, train accuracy 0.8484, train auc 0.0000, test accuracy 0.8113, test auc 0.0000
2021-05-18 22:33:11,589 - classify.py[line:183] - INFO: Epoch 10, toal_loss 4.7147, aver loss 0.0330, train accuracy 0.8627, train auc 0.0000, test accuracy 0.8188, test auc 0.0000
2021-05-18 22:33:11,989 - classify.py[line:183] - INFO: Epoch 11, toal_loss 4.5320, aver loss 0.0291, train accuracy 0.8628, train auc 0.0000, test accuracy 0.8108, test auc 0.0000
2021-05-18 22:33:12,409 - classify.py[line:183] - INFO: Epoch 12, toal_loss 4.3465, aver loss 0.0257, train accuracy 0.8726, train auc 0.0000, test accuracy 0.8178, test auc 0.0000
2021-05-18 22:33:12,834 - classify.py[line:183] - INFO: Epoch 13, toal_loss 4.2274, aver loss 0.0232, train accuracy 0.8652, train auc 0.0000, test accuracy 0.8193, test auc 0.0000
2021-05-18 22:33:13,261 - classify.py[line:183] - INFO: Epoch 14, toal_loss 4.1184, aver loss 0.0211, train accuracy 0.8713, train auc 0.0000, test accuracy 0.8188, test auc 0.0000
2021-05-18 22:33:13,682 - classify.py[line:183] - INFO: Epoch 15, toal_loss 4.0944, aver loss 0.0197, train accuracy 0.8797, train auc 0.0000, test accuracy 0.8283, test auc 0.0000
2021-05-18 22:33:14,096 - classify.py[line:183] - INFO: Epoch 16, toal_loss 3.9255, aver loss 0.0178, train accuracy 0.8894, train auc 0.0000, test accuracy 0.8228, test auc 0.0000
2021-05-18 22:33:14,486 - classify.py[line:183] - INFO: Epoch 17, toal_loss 3.9196, aver loss 0.0168, train accuracy 0.8833, train auc 0.0000, test accuracy 0.8308, test auc 0.0000
2021-05-18 22:33:14,908 - classify.py[line:183] - INFO: Epoch 18, toal_loss 3.7656, aver loss 0.0152, train accuracy 0.8821, train auc 0.0000, test accuracy 0.8283, test auc 0.0000
2021-05-18 22:33:15,321 - classify.py[line:183] - INFO: Epoch 19, toal_loss 3.7236, aver loss 0.0143, train accuracy 0.8869, train auc 0.0000, test accuracy 0.8303, test auc 0.0000
2021-05-18 22:33:15,655 - classify.py[line:183] - INFO: Epoch 20, toal_loss 3.6643, aver loss 0.0134, train accuracy 0.8990, train auc 0.0000, test accuracy 0.8343, test auc 0.0000
2021-05-18 22:33:15,941 - classify.py[line:183] - INFO: Epoch 21, toal_loss 3.5664, aver loss 0.0125, train accuracy 0.8906, train auc 0.0000, test accuracy 0.8303, test auc 0.0000
2021-05-18 22:33:16,197 - classify.py[line:183] - INFO: Epoch 22, toal_loss 3.4729, aver loss 0.0116, train accuracy 0.9002, train auc 0.0000, test accuracy 0.8188, test auc 0.0000
2021-05-18 22:33:16,507 - classify.py[line:183] - INFO: Epoch 23, toal_loss 3.3790, aver loss 0.0108, train accuracy 0.8965, train auc 0.0000, test accuracy 0.8308, test auc 0.0000
2021-05-18 22:33:16,839 - classify.py[line:183] - INFO: Epoch 24, toal_loss 3.3244, aver loss 0.0102, train accuracy 0.9086, train auc 0.0000, test accuracy 0.8323, test auc 0.0000
2021-05-18 22:33:17,127 - classify.py[line:183] - INFO: Epoch 25, toal_loss 3.3788, aver loss 0.0100, train accuracy 0.9098, train auc 0.0000, test accuracy 0.8328, test auc 0.0000
2021-05-18 22:33:17,405 - classify.py[line:183] - INFO: Epoch 26, toal_loss 3.3726, aver loss 0.0096, train accuracy 0.9170, train auc 0.0000, test accuracy 0.8258, test auc 0.0000
2021-05-18 22:33:17,679 - classify.py[line:183] - INFO: Epoch 27, toal_loss 3.1910, aver loss 0.0088, train accuracy 0.9038, train auc 0.0000, test accuracy 0.8353, test auc 0.0000
2021-05-18 22:33:17,960 - classify.py[line:183] - INFO: Epoch 28, toal_loss 3.3344, aver loss 0.0088, train accuracy 0.9026, train auc 0.0000, test accuracy 0.8373, test auc 0.0000
2021-05-18 22:33:18,244 - classify.py[line:183] - INFO: Epoch 29, toal_loss 3.1375, aver loss 0.0080, train accuracy 0.9050, train auc 0.0000, test accuracy 0.8403, test auc 0.0000
2021-05-18 22:33:18,485 - classify.py[line:183] - INFO: Epoch 30, toal_loss 3.1652, aver loss 0.0079, train accuracy 0.9061, train auc 0.0000, test accuracy 0.8328, test auc 0.0000
2021-05-18 22:33:18,775 - classify.py[line:183] - INFO: Epoch 31, toal_loss 2.9896, aver loss 0.0072, train accuracy 0.9086, train auc 0.0000, test accuracy 0.8313, test auc 0.0000
2021-05-18 22:33:19,059 - classify.py[line:183] - INFO: Epoch 32, toal_loss 3.1099, aver loss 0.0072, train accuracy 0.9146, train auc 0.0000, test accuracy 0.8398, test auc 0.0000
2021-05-18 22:33:19,349 - classify.py[line:183] - INFO: Epoch 33, toal_loss 3.0053, aver loss 0.0068, train accuracy 0.9122, train auc 0.0000, test accuracy 0.8353, test auc 0.0000
2021-05-18 22:33:19,590 - classify.py[line:183] - INFO: Epoch 34, toal_loss 2.9484, aver loss 0.0065, train accuracy 0.9218, train auc 0.0000, test accuracy 0.8333, test auc 0.0000
2021-05-18 22:33:19,830 - classify.py[line:183] - INFO: Epoch 35, toal_loss 2.8832, aver loss 0.0062, train accuracy 0.9194, train auc 0.0000, test accuracy 0.8323, test auc 0.0000
2021-05-18 22:33:20,068 - classify.py[line:183] - INFO: Epoch 36, toal_loss 2.8473, aver loss 0.0059, train accuracy 0.9194, train auc 0.0000, test accuracy 0.8368, test auc 0.0000
2021-05-18 22:33:20,308 - classify.py[line:183] - INFO: Epoch 37, toal_loss 2.8464, aver loss 0.0058, train accuracy 0.9291, train auc 0.0000, test accuracy 0.8398, test auc 0.0000
2021-05-18 22:33:20,731 - classify.py[line:183] - INFO: Epoch 38, toal_loss 2.8022, aver loss 0.0055, train accuracy 0.9267, train auc 0.0000, test accuracy 0.8363, test auc 0.0000
2021-05-18 22:33:21,305 - classify.py[line:183] - INFO: Epoch 39, toal_loss 2.6980, aver loss 0.0052, train accuracy 0.9110, train auc 0.0000, test accuracy 0.8378, test auc 0.0000
2021-05-18 22:33:21,786 - classify.py[line:183] - INFO: Epoch 40, toal_loss 2.7957, aver loss 0.0052, train accuracy 0.9291, train auc 0.0000, test accuracy 0.8408, test auc 0.0000
2021-05-18 22:33:22,281 - classify.py[line:183] - INFO: Epoch 41, toal_loss 2.6417, aver loss 0.0048, train accuracy 0.9290, train auc 0.0000, test accuracy 0.8363, test auc 0.0000
2021-05-18 22:33:22,783 - classify.py[line:183] - INFO: Epoch 42, toal_loss 2.6243, aver loss 0.0047, train accuracy 0.9303, train auc 0.0000, test accuracy 0.8338, test auc 0.0000
2021-05-18 22:33:23,305 - classify.py[line:183] - INFO: Epoch 43, toal_loss 2.6016, aver loss 0.0045, train accuracy 0.9255, train auc 0.0000, test accuracy 0.8378, test auc 0.0000
2021-05-18 22:33:23,734 - classify.py[line:183] - INFO: Epoch 44, toal_loss 2.5215, aver loss 0.0043, train accuracy 0.9278, train auc 0.0000, test accuracy 0.8418, test auc 0.0000
2021-05-18 22:33:24,161 - classify.py[line:183] - INFO: Epoch 45, toal_loss 2.5043, aver loss 0.0042, train accuracy 0.9279, train auc 0.0000, test accuracy 0.8363, test auc 0.0000
2021-05-18 22:33:24,656 - classify.py[line:183] - INFO: Epoch 46, toal_loss 2.3593, aver loss 0.0039, train accuracy 0.9327, train auc 0.0000, test accuracy 0.8378, test auc 0.0000
2021-05-18 22:33:25,090 - classify.py[line:183] - INFO: Epoch 47, toal_loss 2.4868, aver loss 0.0040, train accuracy 0.9363, train auc 0.0000, test accuracy 0.8398, test auc 0.0000
2021-05-18 22:33:25,475 - classify.py[line:183] - INFO: Epoch 48, toal_loss 2.4371, aver loss 0.0038, train accuracy 0.9326, train auc 0.0000, test accuracy 0.8433, test auc 0.0000
2021-05-18 22:33:25,841 - classify.py[line:183] - INFO: Epoch 49, toal_loss 2.4911, aver loss 0.0038, train accuracy 0.9279, train auc 0.0000, test accuracy 0.8413, test auc 0.0000
2021-05-18 22:33:26,188 - classify.py[line:183] - INFO: Epoch 50, toal_loss 2.4012, aver loss 0.0036, train accuracy 0.9351, train auc 0.0000, test accuracy 0.8358, test auc 0.0000
2021-05-18 22:33:26,476 - classify.py[line:183] - INFO: Epoch 51, toal_loss 2.2736, aver loss 0.0034, train accuracy 0.9291, train auc 0.0000, test accuracy 0.8463, test auc 0.0000
2021-05-18 22:33:26,774 - classify.py[line:183] - INFO: Epoch 52, toal_loss 2.3115, aver loss 0.0034, train accuracy 0.9423, train auc 0.0000, test accuracy 0.8373, test auc 0.0000
2021-05-18 22:33:27,072 - classify.py[line:183] - INFO: Epoch 53, toal_loss 2.2185, aver loss 0.0032, train accuracy 0.9435, train auc 0.0000, test accuracy 0.8363, test auc 0.0000
2021-05-18 22:33:27,369 - classify.py[line:183] - INFO: Epoch 54, toal_loss 2.2450, aver loss 0.0031, train accuracy 0.9423, train auc 0.0000, test accuracy 0.8403, test auc 0.0000
