2021-05-19 14:51:39,379 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='PC', epoch=50, gpu=1, l2=0.0001, lr=0.0001, modelfilename='102_model_1_3_0.784.pt', modelname='TextCNN', modelnum=0, resultnum=103, seed=2, use_aug=1)
2021-05-19 14:51:44,541 - classify.py[line:122] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 15, 'Epoch2': 10, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 0.0001, 'learning_rate2': 1e-05, 'batch_size': 64, 'cuda': True, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 0.8, 'kernel_sizes': [2, 3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-19 14:51:44,819 - classify.py[line:140] - INFO: before training: 0.8163978457450867
2021-05-19 14:51:44,819 - classify.py[line:154] - INFO: ...start training...
2021-05-19 14:51:45,175 - classify.py[line:184] - INFO: Epoch 0, toal_loss 8.8184, aver loss 0.3041, train accuracy 0.8770, train auc 0.0000, test accuracy 0.8253, test auc 0.0000
2021-05-19 14:51:45,545 - classify.py[line:184] - INFO: Epoch 1, toal_loss 7.9854, aver loss 0.1377, train accuracy 0.8988, train auc 0.0000, test accuracy 0.8286, test auc 0.0000
2021-05-19 14:51:45,919 - classify.py[line:184] - INFO: Epoch 2, toal_loss 7.4939, aver loss 0.0861, train accuracy 0.9020, train auc 0.0000, test accuracy 0.8342, test auc 0.0000
2021-05-19 14:51:46,297 - classify.py[line:184] - INFO: Epoch 3, toal_loss 6.8726, aver loss 0.0592, train accuracy 0.9074, train auc 0.0000, test accuracy 0.8356, test auc 0.0000
2021-05-19 14:51:46,683 - classify.py[line:184] - INFO: Epoch 4, toal_loss 6.5648, aver loss 0.0453, train accuracy 0.9190, train auc 0.0000, test accuracy 0.8359, test auc 0.0000
2021-05-19 14:51:47,030 - classify.py[line:184] - INFO: Epoch 5, toal_loss 6.3659, aver loss 0.0366, train accuracy 0.9206, train auc 0.0000, test accuracy 0.8392, test auc 0.0000
2021-05-19 14:51:47,393 - classify.py[line:184] - INFO: Epoch 6, toal_loss 6.1367, aver loss 0.0302, train accuracy 0.9244, train auc 0.0000, test accuracy 0.8355, test auc 0.0000
2021-05-19 14:51:47,754 - classify.py[line:184] - INFO: Epoch 7, toal_loss 5.9135, aver loss 0.0255, train accuracy 0.9262, train auc 0.0000, test accuracy 0.8403, test auc 0.0000
2021-05-19 14:51:48,129 - classify.py[line:184] - INFO: Epoch 8, toal_loss 5.6421, aver loss 0.0216, train accuracy 0.9283, train auc 0.0000, test accuracy 0.8386, test auc 0.0000
2021-05-19 14:51:48,499 - classify.py[line:184] - INFO: Epoch 9, toal_loss 5.5971, aver loss 0.0193, train accuracy 0.9305, train auc 0.0000, test accuracy 0.8411, test auc 0.0000
2021-05-19 14:51:48,877 - classify.py[line:184] - INFO: Epoch 10, toal_loss 5.3334, aver loss 0.0167, train accuracy 0.9348, train auc 0.0000, test accuracy 0.8394, test auc 0.0000
